"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"05023",0,"10",70,0,2013,1,"","Cleburne County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",676,6776,6802,6790,50115392,35746179,1243526,568
"05023",0,"10",70,0,2013,2,"","Cleburne County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",674,6867,6939,7229,52435010,19052542,636631,575
"05023",0,"10",70,0,2013,3,"","Cleburne County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",680,6775,6953,7162,50457476,11161070,354012,557
"05023",1,"10",71,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,76,75,76,941593,0,0,957
"05023",1,"10",71,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,75,91,94,955313,0,0,848
"05023",1,"10",71,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,94,91,80,995784,0,0,867
"05023",1,"102",72,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,76,75,76,941593,0,0,957
"05023",1,"102",72,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,75,91,94,955313,0,0,848
"05023",1,"102",72,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,94,91,80,995784,0,0,867
"05023",1,"1021",73,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,47,46,47,558914,0,0,921
"05023",1,"1021",73,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,46,48,49,471210,0,0,760
"05023",1,"1021",73,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,50,50,51,539976,0,0,825
"05023",1,"1024",73,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,21,21,21,291376,0,0,1067
"05023",1,"1024",73,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,21,35,36,367509,0,0,922
"05023",1,"1024",73,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,36,31,21,339830,0,0,891
"05023",1,"1028",73,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,8,8,8,91303,0,0,878
"05023",1,"1028",73,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,8,8,9,116594,0,0,1076
"05023",1,"1028",73,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,8,10,8,115978,0,0,1029
"05023",1,"48-49",74,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,47,46,47,558914,0,0,921
"05023",1,"48-49",74,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,46,48,49,471210,0,0,760
"05023",1,"48-49",74,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,50,50,51,539976,0,0,825
"05023",1,"491",75,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,47,46,47,558914,0,0,921
"05023",1,"491",75,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,46,48,49,471210,0,0,760
"05023",1,"491",75,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,50,50,51,539976,0,0,825
"05023",1,"4911",76,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,47,46,47,558914,0,0,921
"05023",1,"4911",76,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,46,48,49,471210,0,0,760
"05023",1,"4911",76,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,50,50,51,539976,0,0,825
"05023",1,"49111",77,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,47,46,47,558914,0,0,921
"05023",1,"49111",77,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,46,48,49,471210,0,0,760
"05023",1,"49111",77,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,50,50,51,539976,0,0,825
"05023",1,"491110",78,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,47,46,47,558914,0,0,921
"05023",1,"491110",78,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,46,48,49,471210,0,0,760
"05023",1,"491110",78,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,50,50,51,539976,0,0,825
"05023",1,"54",74,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,21,21,291376,0,0,1067
"05023",1,"54",74,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,35,36,367509,0,0,922
"05023",1,"54",74,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,36,31,21,339830,0,0,891
"05023",1,"541",75,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,21,21,291376,0,0,1067
"05023",1,"541",75,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,35,36,367509,0,0,922
"05023",1,"541",75,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,36,31,21,339830,0,0,891
"05023",1,"5413",76,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,21,21,21,291376,0,0,1067
"05023",1,"5413",76,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,21,35,36,367509,0,0,922
"05023",1,"5413",76,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,36,31,21,339830,0,0,891
"05023",1,"54133",77,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,21,21,21,291376,0,0,1067
"05023",1,"54133",77,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,21,35,36,367509,0,0,922
"05023",1,"54133",77,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,36,31,21,339830,0,0,891
"05023",1,"541330",78,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,21,21,21,291376,0,0,1067
"05023",1,"541330",78,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,21,35,36,367509,0,0,922
"05023",1,"541330",78,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,36,31,21,339830,0,0,891
"05023",1,"92",74,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,8,8,8,91303,0,0,878
"05023",1,"92",74,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,8,8,9,116594,0,0,1076
"05023",1,"92",74,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,8,10,8,115978,0,0,1029
"05023",1,"924",75,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,8,8,8,91303,0,0,878
"05023",1,"924",75,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,8,8,9,116594,0,0,1076
"05023",1,"924",75,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,8,10,8,115978,0,0,1029
"05023",1,"9241",76,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,8,8,8,91303,0,0,878
"05023",1,"9241",76,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,8,8,9,116594,0,0,1076
"05023",1,"9241",76,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,8,10,8,115978,0,0,1029
"05023",1,"92412",77,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,8,8,8,91303,0,0,878
"05023",1,"92412",77,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,8,8,9,116594,0,0,1076
"05023",1,"92412",77,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,8,10,8,115978,0,0,1029
"05023",1,"924120",78,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,8,8,8,91303,0,0,878
"05023",1,"924120",78,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,8,8,9,116594,0,0,1076
"05023",1,"924120",78,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,8,10,8,115978,0,0,1029
"05023",1,"926",75,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"05023",1,"926",75,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"05023",1,"926",75,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"05023",1,"9261",76,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"05023",1,"9261",76,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"05023",1,"9261",76,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"05023",1,"92611",77,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"05023",1,"92611",77,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"05023",1,"92611",77,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"05023",1,"926110",78,0,2013,1,"","Cleburne County, Arkansas","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"05023",1,"926110",78,0,2013,2,"","Cleburne County, Arkansas","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"05023",1,"926110",78,0,2013,3,"","Cleburne County, Arkansas","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"05023",2,"10",71,0,2013,1,"","Cleburne County, Arkansas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,99,99,106,599774,0,0,455
"05023",2,"10",71,0,2013,2,"","Cleburne County, Arkansas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,102,104,102,753985,0,0,565
"05023",2,"10",71,0,2013,3,"","Cleburne County, Arkansas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,97,102,101,612332,0,0,471
"05023",2,"102",72,0,2013,1,"","Cleburne County, Arkansas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,99,99,106,599774,0,0,455
"05023",2,"102",72,0,2013,2,"","Cleburne County, Arkansas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,102,104,102,753985,0,0,565
"05023",2,"102",72,0,2013,3,"","Cleburne County, Arkansas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,97,102,101,612332,0,0,471
"05023",2,"1025",73,0,2013,1,"","Cleburne County, Arkansas","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,49,49,56,207392,0,0,311
"05023",2,"1025",73,0,2013,2,"","Cleburne County, Arkansas","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,52,55,53,240499,0,0,347
"05023",2,"1025",73,0,2013,3,"","Cleburne County, Arkansas","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,48,53,52,211696,0,0,319
"05023",2,"1028",73,0,2013,1,"","Cleburne County, Arkansas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,50,50,50,392382,0,0,604
"05023",2,"1028",73,0,2013,2,"","Cleburne County, Arkansas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,50,49,49,513486,0,0,801
"05023",2,"1028",73,0,2013,3,"","Cleburne County, Arkansas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,49,49,49,400636,0,0,629
