"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"05139",0,"10",70,0,2013,1,"","Union County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1370,17674,17757,17926,201470886,116389619,3898930,871
"05139",0,"10",70,0,2013,2,"","Union County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1370,17650,17715,17587,177020365,40231623,1338288,771
"05139",0,"10",70,0,2013,3,"","Union County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1367,17235,17531,17746,175918947,24213945,785421,773
"05139",1,"10",71,0,2013,1,"","Union County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,152,150,144,2150080,0,0,1112
"05139",1,"10",71,0,2013,2,"","Union County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,147,146,148,2004633,0,0,1049
"05139",1,"10",71,0,2013,3,"","Union County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,147,144,144,2180192,0,0,1157
"05139",1,"102",72,0,2013,1,"","Union County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,152,150,144,2150080,0,0,1112
"05139",1,"102",72,0,2013,2,"","Union County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,147,146,148,2004633,0,0,1049
"05139",1,"102",72,0,2013,3,"","Union County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,147,144,144,2180192,0,0,1157
"05139",1,"1021",73,0,2013,1,"","Union County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,87,85,80,1062600,0,0,973
"05139",1,"1021",73,0,2013,2,"","Union County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,81,82,84,878437,0,0,821
"05139",1,"1021",73,0,2013,3,"","Union County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,81,79,79,1060375,0,0,1024
"05139",1,"1024",73,0,2013,1,"","Union County, Arkansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,12,12,12,176923,0,0,1134
"05139",1,"1024",73,0,2013,2,"","Union County, Arkansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,12,12,12,189737,0,0,1216
"05139",1,"1024",73,0,2013,3,"","Union County, Arkansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,12,12,12,164711,0,0,1056
"05139",1,"1025",73,0,2013,1,"","Union County, Arkansas","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,20927,0,0,1610
"05139",1,"1025",73,0,2013,2,"","Union County, Arkansas","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,18461,0,0,1420
"05139",1,"1025",73,0,2013,3,"","Union County, Arkansas","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,21538,0,0,1657
"05139",1,"1028",73,0,2013,1,"","Union County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,52,52,51,889630,0,0,1325
"05139",1,"1028",73,0,2013,2,"","Union County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,53,51,51,917998,0,0,1367
"05139",1,"1028",73,0,2013,3,"","Union County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,53,52,52,933568,0,0,1372
"05139",1,"48-49",74,0,2013,1,"","Union County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,87,85,80,1062600,0,0,973
"05139",1,"48-49",74,0,2013,2,"","Union County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,81,82,84,878437,0,0,821
"05139",1,"48-49",74,0,2013,3,"","Union County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,81,79,79,1060375,0,0,1024
"05139",1,"491",75,0,2013,1,"","Union County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,87,85,80,1062600,0,0,973
"05139",1,"491",75,0,2013,2,"","Union County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,81,82,84,878437,0,0,821
"05139",1,"491",75,0,2013,3,"","Union County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,81,79,79,1060375,0,0,1024
"05139",1,"4911",76,0,2013,1,"","Union County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,87,85,80,1062600,0,0,973
"05139",1,"4911",76,0,2013,2,"","Union County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,81,82,84,878437,0,0,821
"05139",1,"4911",76,0,2013,3,"","Union County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,81,79,79,1060375,0,0,1024
"05139",1,"49111",77,0,2013,1,"","Union County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,87,85,80,1062600,0,0,973
"05139",1,"49111",77,0,2013,2,"","Union County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,81,82,84,878437,0,0,821
"05139",1,"49111",77,0,2013,3,"","Union County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,81,79,79,1060375,0,0,1024
"05139",1,"491110",78,0,2013,1,"","Union County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,87,85,80,1062600,0,0,973
"05139",1,"491110",78,0,2013,2,"","Union County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,81,82,84,878437,0,0,821
"05139",1,"491110",78,0,2013,3,"","Union County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,81,79,79,1060375,0,0,1024
"05139",1,"54",74,0,2013,1,"","Union County, Arkansas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,12,12,12,176923,0,0,1134
"05139",1,"54",74,0,2013,2,"","Union County, Arkansas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,12,12,12,189737,0,0,1216
"05139",1,"54",74,0,2013,3,"","Union County, Arkansas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,12,12,12,164711,0,0,1056
"05139",1,"541",75,0,2013,1,"","Union County, Arkansas","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,12,12,176923,0,0,1134
"05139",1,"541",75,0,2013,2,"","Union County, Arkansas","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,12,12,189737,0,0,1216
"05139",1,"541",75,0,2013,3,"","Union County, Arkansas","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,12,12,164711,0,0,1056
"05139",1,"5413",76,0,2013,1,"","Union County, Arkansas","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,12,12,176923,0,0,1134
"05139",1,"5413",76,0,2013,2,"","Union County, Arkansas","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,12,12,189737,0,0,1216
"05139",1,"5413",76,0,2013,3,"","Union County, Arkansas","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,12,12,164711,0,0,1056
"05139",1,"54133",77,0,2013,1,"","Union County, Arkansas","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,12,12,176923,0,0,1134
"05139",1,"54133",77,0,2013,2,"","Union County, Arkansas","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,12,12,189737,0,0,1216
"05139",1,"54133",77,0,2013,3,"","Union County, Arkansas","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,12,12,164711,0,0,1056
"05139",1,"541330",78,0,2013,1,"","Union County, Arkansas","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,12,12,176923,0,0,1134
"05139",1,"541330",78,0,2013,2,"","Union County, Arkansas","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,12,12,189737,0,0,1216
"05139",1,"541330",78,0,2013,3,"","Union County, Arkansas","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,12,12,164711,0,0,1056
"05139",1,"62",74,0,2013,1,"","Union County, Arkansas","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,20927,0,0,1610
