"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"06009",0,"10",70,0,2013,1,"","Calaveras County, California","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1142,7403,7466,7557,66256009,24481762,1284231,682
"06009",0,"10",70,0,2013,2,"","Calaveras County, California","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1178,7718,7949,8174,66959390,9365612,485877,648
"06009",0,"10",70,0,2013,3,"","Calaveras County, California","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1231,7965,8036,7992,71957180,6762189,349367,692
"06009",1,"10",71,0,2013,1,"","Calaveras County, California","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,112,113,116,1417534,0,0,959
"06009",1,"10",71,0,2013,2,"","Calaveras County, California","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,116,128,142,1500195,0,0,897
"06009",1,"10",71,0,2013,3,"","Calaveras County, California","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,146,144,143,2103750,0,0,1121
"06009",1,"102",72,0,2013,1,"","Calaveras County, California","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,112,113,116,1417534,0,0,959
"06009",1,"102",72,0,2013,2,"","Calaveras County, California","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,116,128,142,1500195,0,0,897
"06009",1,"102",72,0,2013,3,"","Calaveras County, California","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,146,144,143,2103750,0,0,1121
"06009",1,"1021",73,0,2013,1,"","Calaveras County, California","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",17,60,62,64,740076,0,0,918
"06009",1,"1021",73,0,2013,2,"","Calaveras County, California","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,61,62,61,610250,0,0,765
"06009",1,"1021",73,0,2013,3,"","Calaveras County, California","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,60,55,56,674512,0,0,910
"06009",1,"1024",73,0,2013,1,"","Calaveras County, California","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,13,13,135711,0,0,824
"06009",1,"1024",73,0,2013,2,"","Calaveras County, California","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,12,12,158150,0,0,986
"06009",1,"1024",73,0,2013,3,"","Calaveras County, California","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,14,15,16,142790,0,0,732
"06009",1,"1028",73,0,2013,1,"","Calaveras County, California","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,40,38,39,541747,0,0,1069
"06009",1,"1028",73,0,2013,2,"","Calaveras County, California","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,42,54,69,731795,0,0,1023
"06009",1,"1028",73,0,2013,3,"","Calaveras County, California","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,72,74,71,1286448,0,0,1368
"06009",1,"48-49",74,0,2013,1,"","Calaveras County, California","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",17,60,62,64,740076,0,0,918
"06009",1,"48-49",74,0,2013,2,"","Calaveras County, California","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,61,62,61,610250,0,0,765
"06009",1,"48-49",74,0,2013,3,"","Calaveras County, California","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,60,55,56,674512,0,0,910
"06009",1,"491",75,0,2013,1,"","Calaveras County, California","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,60,62,64,740076,0,0,918
"06009",1,"491",75,0,2013,2,"","Calaveras County, California","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,61,62,61,610250,0,0,765
"06009",1,"491",75,0,2013,3,"","Calaveras County, California","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,60,55,56,674512,0,0,910
"06009",1,"4911",76,0,2013,1,"","Calaveras County, California","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",17,60,62,64,740076,0,0,918
"06009",1,"4911",76,0,2013,2,"","Calaveras County, California","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,61,62,61,610250,0,0,765
"06009",1,"4911",76,0,2013,3,"","Calaveras County, California","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,60,55,56,674512,0,0,910
"06009",1,"49111",77,0,2013,1,"","Calaveras County, California","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",17,60,62,64,740076,0,0,918
"06009",1,"49111",77,0,2013,2,"","Calaveras County, California","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",16,61,62,61,610250,0,0,765
"06009",1,"49111",77,0,2013,3,"","Calaveras County, California","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,60,55,56,674512,0,0,910
"06009",1,"491110",78,0,2013,1,"","Calaveras County, California","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",17,60,62,64,740076,0,0,918
"06009",1,"491110",78,0,2013,2,"","Calaveras County, California","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",16,61,62,61,610250,0,0,765
"06009",1,"491110",78,0,2013,3,"","Calaveras County, California","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,60,55,56,674512,0,0,910
"06009",1,"54",74,0,2013,1,"","Calaveras County, California","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,13,13,135711,0,0,824
"06009",1,"54",74,0,2013,2,"","Calaveras County, California","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,13,12,12,158150,0,0,986
"06009",1,"54",74,0,2013,3,"","Calaveras County, California","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,14,15,16,142790,0,0,732
"06009",1,"541",75,0,2013,1,"","Calaveras County, California","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,13,13,135711,0,0,824
"06009",1,"541",75,0,2013,2,"","Calaveras County, California","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,12,12,158150,0,0,986
"06009",1,"541",75,0,2013,3,"","Calaveras County, California","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,15,16,142790,0,0,732
"06009",1,"5413",76,0,2013,1,"","Calaveras County, California","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,13,13,135711,0,0,824
"06009",1,"5413",76,0,2013,2,"","Calaveras County, California","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,12,12,158150,0,0,986
"06009",1,"5413",76,0,2013,3,"","Calaveras County, California","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,14,15,16,142790,0,0,732
"06009",1,"54133",77,0,2013,1,"","Calaveras County, California","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,13,13,135711,0,0,824
"06009",1,"54133",77,0,2013,2,"","Calaveras County, California","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,13,12,12,158150,0,0,986
"06009",1,"54133",77,0,2013,3,"","Calaveras County, California","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,14,15,16,142790,0,0,732
"06009",1,"541330",78,0,2013,1,"","Calaveras County, California","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,12,13,13,135711,0,0,824
"06009",1,"541330",78,0,2013,2,"","Calaveras County, California","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,13,12,12,158150,0,0,986
"06009",1,"541330",78,0,2013,3,"","Calaveras County, California","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,14,15,16,142790,0,0,732
"06009",1,"92",74,0,2013,1,"","Calaveras County, California","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,40,38,39,541747,0,0,1069
"06009",1,"92",74,0,2013,2,"","Calaveras County, California","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,42,54,69,731795,0,0,1023
"06009",1,"92",74,0,2013,3,"","Calaveras County, California","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,72,74,71,1286448,0,0,1368
"06009",1,"922",75,0,2013,1,"","Calaveras County, California","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"06009",1,"922",75,0,2013,2,"","Calaveras County, California","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,2,19517,0,0,2252
"06009",1,"922",75,0,2013,3,"","Calaveras County, California","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,1,7139,0,0,1647
"06009",1,"9221",76,0,2013,1,"","Calaveras County, California","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"06009",1,"9221",76,0,2013,2,"","Calaveras County, California","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,2,19517,0,0,2252
"06009",1,"9221",76,0,2013,3,"","Calaveras County, California","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,1,7139,0,0,1647
"06009",1,"92219",77,0,2013,1,"","Calaveras County, California","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"06009",1,"92219",77,0,2013,2,"","Calaveras County, California","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,2,19517,0,0,2252
"06009",1,"92219",77,0,2013,3,"","Calaveras County, California","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,1,7139,0,0,1647
"06009",1,"922190",78,0,2013,1,"","Calaveras County, California","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"06009",1,"922190",78,0,2013,2,"","Calaveras County, California","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,2,19517,0,0,2252
"06009",1,"922190",78,0,2013,3,"","Calaveras County, California","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,1,7139,0,0,1647
"06009",1,"924",75,0,2013,1,"","Calaveras County, California","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,30,28,30,393592,0,0,1032
"06009",1,"924",75,0,2013,2,"","Calaveras County, California","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,33,45,58,544647,0,0,924
"06009",1,"924",75,0,2013,3,"","Calaveras County, California","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,62,63,60,1088011,0,0,1357
"06009",1,"9241",76,0,2013,1,"","Calaveras County, California","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,30,28,30,393592,0,0,1032
"06009",1,"9241",76,0,2013,2,"","Calaveras County, California","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,33,45,58,544647,0,0,924
"06009",1,"9241",76,0,2013,3,"","Calaveras County, California","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,62,63,60,1088011,0,0,1357
"06009",1,"92412",77,0,2013,1,"","Calaveras County, California","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,30,28,30,393592,0,0,1032
"06009",1,"92412",77,0,2013,2,"","Calaveras County, California","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,33,45,58,544647,0,0,924
"06009",1,"92412",77,0,2013,3,"","Calaveras County, California","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,62,63,60,1088011,0,0,1357
"06009",1,"924120",78,0,2013,1,"","Calaveras County, California","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,30,28,30,393592,0,0,1032
"06009",1,"924120",78,0,2013,2,"","Calaveras County, California","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,33,45,58,544647,0,0,924
"06009",1,"924120",78,0,2013,3,"","Calaveras County, California","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,62,63,60,1088011,0,0,1357
"06009",1,"926",75,0,2013,1,"","Calaveras County, California","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,10,9,148155,0,0,1179
"06009",1,"926",75,0,2013,2,"","Calaveras County, California","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,9,9,9,167631,0,0,1433
"06009",1,"926",75,0,2013,3,"","Calaveras County, California","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,11,10,191298,0,0,1424
"06009",1,"9261",76,0,2013,1,"","Calaveras County, California","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,10,9,148155,0,0,1179
"06009",1,"9261",76,0,2013,2,"","Calaveras County, California","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,9,9,9,167631,0,0,1433
"06009",1,"9261",76,0,2013,3,"","Calaveras County, California","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,11,10,191298,0,0,1424
"06009",1,"92614",77,0,2013,1,"","Calaveras County, California","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,10,10,9,148155,0,0,1179
"06009",1,"92614",77,0,2013,2,"","Calaveras County, California","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,9,9,9,167631,0,0,1433
"06009",1,"92614",77,0,2013,3,"","Calaveras County, California","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,10,11,10,191298,0,0,1424
"06009",1,"926140",78,0,2013,1,"","Calaveras County, California","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,10,10,9,148155,0,0,1179
"06009",1,"926140",78,0,2013,2,"","Calaveras County, California","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,9,9,9,167631,0,0,1433
"06009",1,"926140",78,0,2013,3,"","Calaveras County, California","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,10,11,10,191298,0,0,1424
"06009",2,"10",71,0,2013,1,"","Calaveras County, California","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,57,58,59,762485,0,0,1011
"06009",2,"10",71,0,2013,2,"","Calaveras County, California","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,63,64,65,891475,0,0,1071
"06009",2,"10",71,0,2013,3,"","Calaveras County, California","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,69,63,64,846950,0,0,997
"06009",2,"102",72,0,2013,1,"","Calaveras County, California","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,57,58,59,762485,0,0,1011
"06009",2,"102",72,0,2013,2,"","Calaveras County, California","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,63,64,65,891475,0,0,1071
"06009",2,"102",72,0,2013,3,"","Calaveras County, California","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,69,63,64,846950,0,0,997
"06009",2,"1028",73,0,2013,1,"","Calaveras County, California","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,57,58,59,762485,0,0,1011
"06009",2,"1028",73,0,2013,2,"","Calaveras County, California","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,63,64,65,891475,0,0,1071
"06009",2,"1028",73,0,2013,3,"","Calaveras County, California","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,69,63,64,846950,0,0,997
"06009",2,"92",74,0,2013,1,"","Calaveras County, California","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,57,58,59,762485,0,0,1011
"06009",2,"92",74,0,2013,2,"","Calaveras County, California","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,63,64,65,891475,0,0,1071
"06009",2,"92",74,0,2013,3,"","Calaveras County, California","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,69,63,64,846950,0,0,997
"06009",2,"922",75,0,2013,1,"N","Calaveras County, California","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
