"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"08051",0,"10",70,0,2013,1,"","Gunnison County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1078,7647,7630,7713,65797146,37735710,803322,660
"08051",0,"10",70,0,2013,2,"","Gunnison County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1069,7330,6977,7762,63705204,17632518,363757,666
"08051",0,"10",70,0,2013,3,"","Gunnison County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1073,8173,8101,7683,66747307,17130743,351317,643
"08051",1,"10",71,0,2013,1,"","Gunnison County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,136,130,132,1826471,0,0,1059
"08051",1,"10",71,0,2013,2,"","Gunnison County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,142,182,209,2227129,0,0,964
"08051",1,"10",71,0,2013,3,"","Gunnison County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,208,203,192,2543387,0,0,973
"08051",1,"102",72,0,2013,1,"","Gunnison County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,136,130,132,1826471,0,0,1059
"08051",1,"102",72,0,2013,2,"","Gunnison County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,142,182,209,2227129,0,0,964
"08051",1,"102",72,0,2013,3,"","Gunnison County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,208,203,192,2543387,0,0,973
"08051",1,"1021",73,0,2013,1,"","Gunnison County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,27,26,27,330708,0,0,954
"08051",1,"1021",73,0,2013,2,"","Gunnison County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,26,27,27,255362,0,0,737
"08051",1,"1021",73,0,2013,3,"","Gunnison County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,26,28,27,307675,0,0,877
"08051",1,"1026",73,0,2013,1,"","Gunnison County, Colorado","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,41,41,41,609528,0,0,1144
"08051",1,"1026",73,0,2013,2,"","Gunnison County, Colorado","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,50,76,85,887350,0,0,970
"08051",1,"1026",73,0,2013,3,"","Gunnison County, Colorado","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,84,78,72,913039,0,0,900
"08051",1,"1028",73,0,2013,1,"","Gunnison County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,68,63,64,886235,0,0,1049
"08051",1,"1028",73,0,2013,2,"","Gunnison County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,66,79,97,1084417,0,0,1034
"08051",1,"1028",73,0,2013,3,"","Gunnison County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,98,97,93,1322673,0,0,1060
"08051",1,"48-49",74,0,2013,1,"","Gunnison County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,27,26,27,330708,0,0,954
"08051",1,"48-49",74,0,2013,2,"","Gunnison County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,26,27,27,255362,0,0,737
"08051",1,"48-49",74,0,2013,3,"","Gunnison County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,26,28,27,307675,0,0,877
"08051",1,"491",75,0,2013,1,"","Gunnison County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,27,26,27,330708,0,0,954
"08051",1,"491",75,0,2013,2,"","Gunnison County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,26,27,27,255362,0,0,737
"08051",1,"491",75,0,2013,3,"","Gunnison County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,26,28,27,307675,0,0,877
"08051",1,"4911",76,0,2013,1,"","Gunnison County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,27,26,27,330708,0,0,954
"08051",1,"4911",76,0,2013,2,"","Gunnison County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,26,27,27,255362,0,0,737
"08051",1,"4911",76,0,2013,3,"","Gunnison County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,26,28,27,307675,0,0,877
"08051",1,"49111",77,0,2013,1,"","Gunnison County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,27,26,27,330708,0,0,954
"08051",1,"49111",77,0,2013,2,"","Gunnison County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,26,27,27,255362,0,0,737
"08051",1,"49111",77,0,2013,3,"","Gunnison County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,26,28,27,307675,0,0,877
"08051",1,"491110",78,0,2013,1,"","Gunnison County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,27,26,27,330708,0,0,954
"08051",1,"491110",78,0,2013,2,"","Gunnison County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,26,27,27,255362,0,0,737
"08051",1,"491110",78,0,2013,3,"","Gunnison County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,26,28,27,307675,0,0,877
"08051",1,"71",74,0,2013,1,"","Gunnison County, Colorado","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,41,41,41,609528,0,0,1144
"08051",1,"71",74,0,2013,2,"","Gunnison County, Colorado","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,50,76,85,887350,0,0,970
"08051",1,"71",74,0,2013,3,"","Gunnison County, Colorado","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,84,78,72,913039,0,0,900
"08051",1,"712",75,0,2013,1,"","Gunnison County, Colorado","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,41,41,41,609528,0,0,1144
"08051",1,"712",75,0,2013,2,"","Gunnison County, Colorado","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,50,76,85,887350,0,0,970
"08051",1,"712",75,0,2013,3,"","Gunnison County, Colorado","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,84,78,72,913039,0,0,900
"08051",1,"7121",76,0,2013,1,"","Gunnison County, Colorado","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,41,41,41,609528,0,0,1144
"08051",1,"7121",76,0,2013,2,"","Gunnison County, Colorado","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,50,76,85,887350,0,0,970
"08051",1,"7121",76,0,2013,3,"","Gunnison County, Colorado","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,84,78,72,913039,0,0,900
"08051",1,"71219",77,0,2013,1,"","Gunnison County, Colorado","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,41,41,41,609528,0,0,1144
"08051",1,"71219",77,0,2013,2,"","Gunnison County, Colorado","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,50,76,85,887350,0,0,970
"08051",1,"71219",77,0,2013,3,"","Gunnison County, Colorado","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,84,78,72,913039,0,0,900
"08051",1,"712190",78,0,2013,1,"","Gunnison County, Colorado","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,41,41,41,609528,0,0,1144
"08051",1,"712190",78,0,2013,2,"","Gunnison County, Colorado","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,50,76,85,887350,0,0,970
"08051",1,"712190",78,0,2013,3,"","Gunnison County, Colorado","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,84,78,72,913039,0,0,900
"08051",1,"92",74,0,2013,1,"","Gunnison County, Colorado","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,68,63,64,886235,0,0,1049
"08051",1,"92",74,0,2013,2,"","Gunnison County, Colorado","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,66,79,97,1084417,0,0,1034
"08051",1,"92",74,0,2013,3,"","Gunnison County, Colorado","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,98,97,93,1322673,0,0,1060
"08051",1,"922",75,0,2013,1,"","Gunnison County, Colorado","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,14,13,137991,0,0,777
"08051",1,"922",75,0,2013,2,"","Gunnison County, Colorado","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,13,13,134860,0,0,798
"08051",1,"922",75,0,2013,3,"","Gunnison County, Colorado","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,13,13,140042,0,0,850
"08051",1,"9221",76,0,2013,1,"","Gunnison County, Colorado","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,14,14,13,137991,0,0,777
"08051",1,"9221",76,0,2013,2,"","Gunnison County, Colorado","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,13,13,134860,0,0,798
"08051",1,"9221",76,0,2013,3,"","Gunnison County, Colorado","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,13,13,140042,0,0,850
"08051",1,"92219",77,0,2013,1,"","Gunnison County, Colorado","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,14,14,13,137991,0,0,777
"08051",1,"92219",77,0,2013,2,"","Gunnison County, Colorado","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,13,13,13,134860,0,0,798
"08051",1,"92219",77,0,2013,3,"","Gunnison County, Colorado","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,13,13,140042,0,0,850
