"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"12117",0,"10",70,0,2013,1,"","Seminole County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",13946,157296,159033,160019,1630513540,787124938,29700990,790
"12117",0,"10",70,0,2013,2,"","Seminole County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",13969,160123,160952,159766,1630521305,239421238,8099894,783
"12117",0,"10",70,0,2013,3,"","Seminole County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",14065,160317,161672,162288,1599831553,150007674,5068203,762
"12117",1,"10",71,0,2013,1,"","Seminole County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,1124,1152,1093,17937699,0,0,1229
"12117",1,"10",71,0,2013,2,"","Seminole County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,1160,1068,1004,14544777,0,0,1039
"12117",1,"10",71,0,2013,3,"","Seminole County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,1006,990,999,15728779,0,0,1212
"12117",1,"102",72,0,2013,1,"","Seminole County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,1124,1152,1093,17937699,0,0,1229
"12117",1,"102",72,0,2013,2,"","Seminole County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,1160,1068,1004,14544777,0,0,1039
"12117",1,"102",72,0,2013,3,"","Seminole County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,1006,990,999,15728779,0,0,1212
"12117",1,"1021",73,0,2013,1,"","Seminole County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,897,923,853,14910671,0,0,1287
"12117",1,"1021",73,0,2013,2,"","Seminole County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,924,830,770,10887375,0,0,995
"12117",1,"1021",73,0,2013,3,"","Seminole County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,773,762,769,12406656,0,0,1243
"12117",1,"1028",73,0,2013,1,"","Seminole County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,227,229,240,3027028,0,0,1004
"12117",1,"1028",73,0,2013,2,"","Seminole County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,236,238,234,3657402,0,0,1192
"12117",1,"1028",73,0,2013,3,"","Seminole County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,233,228,230,3322123,0,0,1109
"12117",1,"48-49",74,0,2013,1,"","Seminole County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,897,923,853,14910671,0,0,1287
"12117",1,"48-49",74,0,2013,2,"","Seminole County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,924,830,770,10887375,0,0,995
"12117",1,"48-49",74,0,2013,3,"","Seminole County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,773,762,769,12406656,0,0,1243
"12117",1,"488",75,0,2013,1,"","Seminole County, Florida","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,29,29,28,691962,0,0,1857
"12117",1,"488",75,0,2013,2,"","Seminole County, Florida","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,28,28,27,781439,0,0,2173
"12117",1,"488",75,0,2013,3,"","Seminole County, Florida","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,27,27,27,677749,0,0,1931
"12117",1,"4881",76,0,2013,1,"","Seminole County, Florida","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,29,29,28,691962,0,0,1857
"12117",1,"4881",76,0,2013,2,"","Seminole County, Florida","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,28,28,27,781439,0,0,2173
"12117",1,"4881",76,0,2013,3,"","Seminole County, Florida","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,27,27,27,677749,0,0,1931
