"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"13081",0,"10",70,0,2013,1,"","Crisp County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",584,7837,7893,7987,60349663,31559349,924003,587
"13081",0,"10",70,0,2013,2,"","Crisp County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",586,7838,7858,7845,57351079,12915115,293908,562
"13081",0,"10",70,0,2013,3,"","Crisp County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",589,7850,7893,7895,60602081,7577375,164255,592
"13081",1,"10",71,0,2013,1,"","Crisp County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,49,52,54,689091,0,0,1026
"13081",1,"10",71,0,2013,2,"","Crisp County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,52,54,57,666415,0,0,943
"13081",1,"10",71,0,2013,3,"","Crisp County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,54,52,54,686158,0,0,990
"13081",1,"102",72,0,2013,1,"","Crisp County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,49,52,54,689091,0,0,1026
"13081",1,"102",72,0,2013,2,"","Crisp County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,52,54,57,666415,0,0,943
"13081",1,"102",72,0,2013,3,"","Crisp County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,54,52,54,686158,0,0,990
"13081",1,"1021",73,0,2013,1,"","Crisp County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,31,33,35,420524,0,0,980
"13081",1,"1021",73,0,2013,2,"","Crisp County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,33,35,34,349228,0,0,790
"13081",1,"1021",73,0,2013,3,"","Crisp County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,35,33,35,398999,0,0,894
"13081",1,"1023",73,0,2013,1,"","Crisp County, Georgia","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"13081",1,"1023",73,0,2013,2,"","Crisp County, Georgia","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"13081",1,"1023",73,0,2013,3,"","Crisp County, Georgia","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"13081",1,"1028",73,0,2013,1,"","Crisp County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,18,19,19,268567,0,0,1107
