"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"13139",0,"10",70,0,2013,1,"","Hall County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4250,71900,72285,72635,740890792,362282521,8710750,789
"13139",0,"10",70,0,2013,2,"","Hall County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4284,73268,73978,73743,694699127,137783729,3069580,725
"13139",0,"10",70,0,2013,3,"","Hall County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4311,73520,74237,74143,736528037,80025360,1851726,766
"13139",1,"10",71,0,2013,1,"","Hall County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,449,456,446,7050677,0,0,1204
"13139",1,"10",71,0,2013,2,"","Hall County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,452,445,441,7052076,0,0,1216
"13139",1,"10",71,0,2013,3,"","Hall County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,439,443,437,7491579,0,0,1311
"13139",1,"102",72,0,2013,1,"","Hall County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,449,456,446,7050677,0,0,1204
"13139",1,"102",72,0,2013,2,"","Hall County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,452,445,441,7052076,0,0,1216
"13139",1,"102",72,0,2013,3,"","Hall County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,439,443,437,7491579,0,0,1311
"13139",1,"1021",73,0,2013,1,"","Hall County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,213,218,209,2940593,0,0,1060
"13139",1,"1021",73,0,2013,2,"","Hall County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,218,213,211,2505127,0,0,900
"13139",1,"1021",73,0,2013,3,"","Hall County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,208,207,206,2870611,0,0,1067
"13139",1,"1023",73,0,2013,1,"","Hall County, Georgia","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"13139",1,"1023",73,0,2013,2,"","Hall County, Georgia","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"13139",1,"1023",73,0,2013,3,"","Hall County, Georgia","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"13139",1,"1028",73,0,2013,1,"","Hall County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,236,238,237,4110084,0,0,1334
"13139",1,"1028",73,0,2013,2,"","Hall County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,234,232,230,4546949,0,0,1508
"13139",1,"1028",73,0,2013,3,"","Hall County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,231,236,231,4620968,0,0,1528
"13139",1,"48-49",74,0,2013,1,"","Hall County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,213,218,209,2940593,0,0,1060
"13139",1,"48-49",74,0,2013,2,"","Hall County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,218,213,211,2505127,0,0,900
"13139",1,"48-49",74,0,2013,3,"","Hall County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,208,207,206,2870611,0,0,1067
"13139",1,"491",75,0,2013,1,"","Hall County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,213,218,209,2940593,0,0,1060
"13139",1,"491",75,0,2013,2,"","Hall County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,218,213,211,2505127,0,0,900
"13139",1,"491",75,0,2013,3,"","Hall County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,208,207,206,2870611,0,0,1067
"13139",1,"4911",76,0,2013,1,"","Hall County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,213,218,209,2940593,0,0,1060
"13139",1,"4911",76,0,2013,2,"","Hall County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,218,213,211,2505127,0,0,900
"13139",1,"4911",76,0,2013,3,"","Hall County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,208,207,206,2870611,0,0,1067
"13139",1,"49111",77,0,2013,1,"","Hall County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,213,218,209,2940593,0,0,1060
"13139",1,"49111",77,0,2013,2,"","Hall County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,218,213,211,2505127,0,0,900
"13139",1,"49111",77,0,2013,3,"","Hall County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,208,207,206,2870611,0,0,1067
"13139",1,"491110",78,0,2013,1,"","Hall County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,213,218,209,2940593,0,0,1060
"13139",1,"491110",78,0,2013,2,"","Hall County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,218,213,211,2505127,0,0,900
"13139",1,"491110",78,0,2013,3,"","Hall County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,208,207,206,2870611,0,0,1067
"13139",1,"52",74,0,2013,1,"","Hall County, Georgia","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"13139",1,"52",74,0,2013,2,"","Hall County, Georgia","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"13139",1,"52",74,0,2013,3,"","Hall County, Georgia","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
