"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"13201",0,"10",70,0,2013,1,"","Miller County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",188,1580,1579,1569,10720738,5348801,104831,523
"13201",0,"10",70,0,2013,2,"","Miller County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",191,1581,1631,1600,11591250,2523664,49565,556
"13201",0,"10",70,0,2013,3,"","Miller County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",191,1631,1655,1656,11596632,1349776,27168,542
"13201",1,"10",71,0,2013,1,"","Miller County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,17,17,25,221458,0,0,866
"13201",1,"10",71,0,2013,2,"","Miller County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,17,17,25,229299,0,0,897
"13201",1,"10",71,0,2013,3,"","Miller County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,18,18,18,249448,0,0,1066
"13201",1,"102",72,0,2013,1,"","Miller County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,17,17,25,221458,0,0,866
"13201",1,"102",72,0,2013,2,"","Miller County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,17,17,25,229299,0,0,897
"13201",1,"102",72,0,2013,3,"","Miller County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,18,18,18,249448,0,0,1066
"13201",1,"1021",73,0,2013,1,"","Miller County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,12,155635,0,0,998
"13201",1,"1021",73,0,2013,2,"","Miller County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,13,151574,0,0,945
"13201",1,"1021",73,0,2013,3,"","Miller County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,13,13,13,172437,0,0,1020
"13201",1,"1028",73,0,2013,1,"","Miller County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,5,5,13,65823,0,0,660
"13201",1,"1028",73,0,2013,2,"","Miller County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,5,5,12,77725,0,0,815
"13201",1,"1028",73,0,2013,3,"","Miller County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,5,5,5,77011,0,0,1185
"13201",1,"48-49",74,0,2013,1,"","Miller County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,12,12,155635,0,0,998
"13201",1,"48-49",74,0,2013,2,"","Miller County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,12,13,151574,0,0,945
"13201",1,"48-49",74,0,2013,3,"","Miller County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,13,13,13,172437,0,0,1020
"13201",1,"491",75,0,2013,1,"","Miller County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,12,12,155635,0,0,998
"13201",1,"491",75,0,2013,2,"","Miller County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,12,13,151574,0,0,945
"13201",1,"491",75,0,2013,3,"","Miller County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,13,13,172437,0,0,1020
"13201",1,"4911",76,0,2013,1,"","Miller County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,12,12,155635,0,0,998
"13201",1,"4911",76,0,2013,2,"","Miller County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,12,13,151574,0,0,945
"13201",1,"4911",76,0,2013,3,"","Miller County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,13,13,172437,0,0,1020
"13201",1,"49111",77,0,2013,1,"","Miller County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,12,12,155635,0,0,998
"13201",1,"49111",77,0,2013,2,"","Miller County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,12,13,151574,0,0,945
"13201",1,"49111",77,0,2013,3,"","Miller County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,13,13,13,172437,0,0,1020
"13201",1,"491110",78,0,2013,1,"","Miller County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,12,12,12,155635,0,0,998
"13201",1,"491110",78,0,2013,2,"","Miller County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,12,12,13,151574,0,0,945
"13201",1,"491110",78,0,2013,3,"","Miller County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,13,13,13,172437,0,0,1020
"13201",1,"92",74,0,2013,1,"","Miller County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,5,5,13,65823,0,0,660
"13201",1,"92",74,0,2013,2,"","Miller County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,5,5,12,77725,0,0,815
"13201",1,"92",74,0,2013,3,"","Miller County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,5,5,5,77011,0,0,1185
"13201",1,"924",75,0,2013,1,"","Miller County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,12,49978,0,0,577
"13201",1,"924",75,0,2013,2,"","Miller County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,11,59239,0,0,720
"13201",1,"924",75,0,2013,3,"","Miller County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,4,58525,0,0,1125
"13201",1,"9241",76,0,2013,1,"","Miller County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,12,49978,0,0,577
"13201",1,"9241",76,0,2013,2,"","Miller County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,11,59239,0,0,720
"13201",1,"9241",76,0,2013,3,"","Miller County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,4,58525,0,0,1125
"13201",1,"92412",77,0,2013,1,"","Miller County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,4,12,49978,0,0,577
"13201",1,"92412",77,0,2013,2,"","Miller County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,4,11,59239,0,0,720
"13201",1,"92412",77,0,2013,3,"","Miller County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,4,4,58525,0,0,1125
"13201",1,"924120",78,0,2013,1,"","Miller County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,4,12,49978,0,0,577
