"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"17063",0,"10",70,0,2013,1,"","Grundy County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1248,15811,15850,16198,216067141,96509556,4281981,1042
"17063",0,"10",70,0,2013,2,"","Grundy County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1255,16376,16850,16785,210504012,37627571,1887467,971
"17063",0,"10",70,0,2013,3,"","Grundy County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1257,16500,16776,17175,203785780,22124822,993565,932
"17063",1,"10",71,0,2013,1,"","Grundy County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,109,110,113,1534627,0,0,1067
"17063",1,"10",71,0,2013,2,"","Grundy County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,108,108,103,1470930,0,0,1064
"17063",1,"10",71,0,2013,3,"","Grundy County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,107,109,114,1559845,0,0,1091
"17063",1,"102",72,0,2013,1,"","Grundy County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,109,110,113,1534627,0,0,1067
"17063",1,"102",72,0,2013,2,"","Grundy County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,108,108,103,1470930,0,0,1064
"17063",1,"102",72,0,2013,3,"","Grundy County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,107,109,114,1559845,0,0,1091
"17063",1,"1021",73,0,2013,1,"","Grundy County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,78,79,80,1059612,0,0,1032
"17063",1,"1021",73,0,2013,2,"","Grundy County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,79,78,75,923905,0,0,919
"17063",1,"1021",73,0,2013,3,"","Grundy County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,78,81,82,1067970,0,0,1023
"17063",1,"1023",73,0,2013,1,"","Grundy County, Illinois","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,22546,0,0,1734
"17063",1,"1023",73,0,2013,2,"","Grundy County, Illinois","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,26303,0,0,2023
"17063",1,"1023",73,0,2013,3,"","Grundy County, Illinois","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,26303,0,0,2023
"17063",1,"1024",73,0,2013,1,"","Grundy County, Illinois","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,13,13,174588,0,0,1033
"17063",1,"1024",73,0,2013,2,"","Grundy County, Illinois","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,11,190291,0,0,1255
"17063",1,"1024",73,0,2013,3,"","Grundy County, Illinois","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,12,157412,0,0,1009
"17063",1,"1028",73,0,2013,1,"","Grundy County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,17,17,19,277881,0,0,1210
"17063",1,"1028",73,0,2013,2,"","Grundy County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,16,17,16,330431,0,0,1556
"17063",1,"1028",73,0,2013,3,"","Grundy County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,16,15,19,308160,0,0,1422
"17063",1,"48-49",74,0,2013,1,"","Grundy County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,78,79,80,1059612,0,0,1032
"17063",1,"48-49",74,0,2013,2,"","Grundy County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,79,78,75,923905,0,0,919
"17063",1,"48-49",74,0,2013,3,"","Grundy County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,78,81,82,1067970,0,0,1023
"17063",1,"491",75,0,2013,1,"","Grundy County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,78,79,80,1059612,0,0,1032
"17063",1,"491",75,0,2013,2,"","Grundy County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,79,78,75,923905,0,0,919
"17063",1,"491",75,0,2013,3,"","Grundy County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,78,81,82,1067970,0,0,1023
"17063",1,"4911",76,0,2013,1,"","Grundy County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,78,79,80,1059612,0,0,1032
"17063",1,"4911",76,0,2013,2,"","Grundy County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,79,78,75,923905,0,0,919
"17063",1,"4911",76,0,2013,3,"","Grundy County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,78,81,82,1067970,0,0,1023
"17063",1,"49111",77,0,2013,1,"","Grundy County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,78,79,80,1059612,0,0,1032
"17063",1,"49111",77,0,2013,2,"","Grundy County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,79,78,75,923905,0,0,919
"17063",1,"49111",77,0,2013,3,"","Grundy County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,78,81,82,1067970,0,0,1023
"17063",1,"491110",78,0,2013,1,"","Grundy County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,78,79,80,1059612,0,0,1032
"17063",1,"491110",78,0,2013,2,"","Grundy County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,79,78,75,923905,0,0,919
"17063",1,"491110",78,0,2013,3,"","Grundy County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,78,81,82,1067970,0,0,1023
"17063",1,"52",74,0,2013,1,"","Grundy County, Illinois","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,22546,0,0,1734
"17063",1,"52",74,0,2013,2,"","Grundy County, Illinois","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,26303,0,0,2023
"17063",1,"52",74,0,2013,3,"","Grundy County, Illinois","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,26303,0,0,2023
"17063",1,"522",75,0,2013,1,"","Grundy County, Illinois","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,22546,0,0,1734
"17063",1,"522",75,0,2013,2,"","Grundy County, Illinois","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,26303,0,0,2023
"17063",1,"522",75,0,2013,3,"","Grundy County, Illinois","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,26303,0,0,2023
"17063",1,"5222",76,0,2013,1,"","Grundy County, Illinois","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,22546,0,0,1734
"17063",1,"5222",76,0,2013,2,"","Grundy County, Illinois","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,26303,0,0,2023
"17063",1,"5222",76,0,2013,3,"","Grundy County, Illinois","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,26303,0,0,2023
"17063",1,"52229",77,0,2013,1,"","Grundy County, Illinois","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,22546,0,0,1734
