"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"17085",0,"10",70,0,2013,1,"","Jo Daviess County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",810,7363,7282,7218,54729459,36693329,1456219,578
"17085",0,"10",70,0,2013,2,"","Jo Daviess County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",816,7581,7921,8069,58273049,21071532,874880,571
"17085",0,"10",70,0,2013,3,"","Jo Daviess County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",818,7969,8019,7922,59669927,13732671,560131,576
"17085",1,"10",71,0,2013,1,"","Jo Daviess County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,67,65,63,799459,0,0,946
"17085",1,"10",71,0,2013,2,"","Jo Daviess County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,63,64,70,725978,0,0,850
"17085",1,"10",71,0,2013,3,"","Jo Daviess County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,64,65,63,790226,0,0,950
"17085",1,"102",72,0,2013,1,"","Jo Daviess County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,67,65,63,799459,0,0,946
"17085",1,"102",72,0,2013,2,"","Jo Daviess County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,63,64,70,725978,0,0,850
"17085",1,"102",72,0,2013,3,"","Jo Daviess County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,64,65,63,790226,0,0,950
"17085",1,"1021",73,0,2013,1,"","Jo Daviess County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,58,56,54,681726,0,0,936
"17085",1,"1021",73,0,2013,2,"","Jo Daviess County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,54,56,58,587923,0,0,808
"17085",1,"1021",73,0,2013,3,"","Jo Daviess County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,56,57,55,663263,0,0,911
