"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"17999",0,"10",70,0,2013,1,"","Unknown Or Undefined, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",44603,125957,127855,129866,2572057824,1254996357,60831213,1547
"17999",0,"10",70,0,2013,2,"","Unknown Or Undefined, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",45098,134515,135985,135534,2431688104,422487462,22597739,1382
"17999",0,"10",70,0,2013,3,"","Unknown Or Undefined, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",45521,137372,138441,137560,2448998634,301684773,15773889,1367
"17999",1,"10",71,0,2013,1,"","Unknown Or Undefined, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,297,335,340,7927393,0,0,1882
"17999",1,"10",71,0,2013,2,"","Unknown Or Undefined, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,297,309,314,6856405,0,0,1720
"17999",1,"10",71,0,2013,3,"","Unknown Or Undefined, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,333,355,355,8198531,0,0,1814
"17999",1,"102",72,0,2013,1,"","Unknown Or Undefined, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,297,335,340,7927393,0,0,1882
"17999",1,"102",72,0,2013,2,"","Unknown Or Undefined, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,297,309,314,6856405,0,0,1720
"17999",1,"102",72,0,2013,3,"","Unknown Or Undefined, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,333,355,355,8198531,0,0,1814
"17999",1,"1021",73,0,2013,1,"","Unknown Or Undefined, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,60,64,66,1847074,0,0,2243
"17999",1,"1021",73,0,2013,2,"","Unknown Or Undefined, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,61,69,72,1550650,0,0,1771
"17999",1,"1021",73,0,2013,3,"","Unknown Or Undefined, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,76,96,101,1966729,0,0,1662
