"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"18000",0,"10",50,0,2013,1,"","Indiana -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",159578,2762848,2785876,2807642,30100923298,14467400569,448039968,831
"18000",0,"10",50,0,2013,2,"","Indiana -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",159343,2836189,2869588,2864961,28801616214,4740688982,138678880,775
"18000",0,"10",50,0,2013,3,"","Indiana -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",159521,2819148,2876744,2883635,29162982846,2832033570,81651348,784
"18000",1,"10",51,0,2013,1,"","Indiana -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1248,37515,37740,37454,639459315,0,0,1309
"18000",1,"10",51,0,2013,2,"","Indiana -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1244,37637,37017,36958,578429161,0,0,1196
"18000",1,"10",51,0,2013,3,"","Indiana -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1238,36848,36499,36441,617339725,0,0,1298
"18000",1,"102",52,0,2013,1,"","Indiana -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1248,37515,37740,37454,639459315,0,0,1309
"18000",1,"102",52,0,2013,2,"","Indiana -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1244,37637,37017,36958,578429161,0,0,1196
"18000",1,"102",52,0,2013,3,"","Indiana -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1238,36848,36499,36441,617339725,0,0,1298
"18000",1,"1021",53,0,2013,1,"","Indiana -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",716,12091,12140,11878,180211348,0,0,1152
"18000",1,"1021",53,0,2013,2,"","Indiana -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",712,12153,11771,11783,147811371,0,0,955
"18000",1,"1021",53,0,2013,3,"","Indiana -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",706,11971,11793,11797,172425278,0,0,1119
"18000",1,"1023",53,0,2013,1,"","Indiana -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",15,151,149,148,3105648,0,0,1600
"18000",1,"1023",53,0,2013,2,"","Indiana -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",15,148,148,149,3341519,0,0,1733
"18000",1,"1023",53,0,2013,3,"","Indiana -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",15,148,146,149,3397821,0,0,1770
"18000",1,"1024",53,0,2013,1,"","Indiana -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",19,498,504,499,8749403,0,0,1345
"18000",1,"1024",53,0,2013,2,"","Indiana -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",19,495,496,497,8056385,0,0,1249
"18000",1,"1024",53,0,2013,3,"","Indiana -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",19,493,484,481,8269149,0,0,1309
"18000",1,"1025",53,0,2013,1,"","Indiana -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",17,4953,4935,4906,92060617,0,0,1436
"18000",1,"1025",53,0,2013,2,"","Indiana -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",17,4899,4892,4920,78070350,0,0,1225
"18000",1,"1025",53,0,2013,3,"","Indiana -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",17,4936,4925,4970,91196531,0,0,1419
"18000",1,"1026",53,0,2013,1,"","Indiana -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",9,177,172,193,1778980,0,0,757
"18000",1,"1026",53,0,2013,2,"","Indiana -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",9,183,201,218,2190497,0,0,840
"18000",1,"1026",53,0,2013,3,"","Indiana -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",9,227,202,206,2134172,0,0,776
"18000",1,"1027",53,0,2013,1,"","Indiana -- Statewide","Federal Government","Other services","State, by Supersector -- by ownership sector","All establishment sizes",2,8,7,8,99628,0,0,1000
"18000",1,"1027",53,0,2013,2,"","Indiana -- Statewide","Federal Government","Other services","State, by Supersector -- by ownership sector","All establishment sizes",2,8,7,7,92987,0,0,975
"18000",1,"1027",53,0,2013,3,"","Indiana -- Statewide","Federal Government","Other services","State, by Supersector -- by ownership sector","All establishment sizes",2,7,8,8,102793,0,0,1031
"18000",1,"1028",53,0,2013,1,"","Indiana -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",470,19637,19833,19822,353453691,0,0,1376
"18000",1,"1028",53,0,2013,2,"","Indiana -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",470,19751,19502,19384,338866052,0,0,1334
"18000",1,"1028",53,0,2013,3,"","Indiana -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",470,19066,18941,18830,339813981,0,0,1380
"18000",1,"44-45",54,0,2013,1,"","Indiana -- Statewide","Federal Government","Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",3,94,94,91,551280,0,0,456
"18000",1,"44-45",54,0,2013,2,"","Indiana -- Statewide","Federal Government","Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",3,89,87,85,454074,0,0,401
"18000",1,"44-45",54,0,2013,3,"","Indiana -- Statewide","Federal Government","Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",3,84,82,81,471535,0,0,441
"18000",1,"445",55,0,2013,1,"","Indiana -- Statewide","Federal Government","Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,57,56,54,451280,0,0,624
"18000",1,"445",55,0,2013,2,"","Indiana -- Statewide","Federal Government","Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,52,50,48,354074,0,0,545
"18000",1,"445",55,0,2013,3,"","Indiana -- Statewide","Federal Government","Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,48,45,44,366535,0,0,617
"18000",1,"4451",56,0,2013,1,"","Indiana -- Statewide","Federal Government","Grocery stores","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,57,56,54,451280,0,0,624
"18000",1,"4451",56,0,2013,2,"","Indiana -- Statewide","Federal Government","Grocery stores","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,52,50,48,354074,0,0,545
"18000",1,"4451",56,0,2013,3,"","Indiana -- Statewide","Federal Government","Grocery stores","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,48,45,44,366535,0,0,617
"18000",1,"44511",57,0,2013,1,"","Indiana -- Statewide","Federal Government","Supermarkets and other grocery stores","State, NAICS 5-digit -- by ownership sector","All establishment sizes",2,57,56,54,451280,0,0,624
