"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"19157",0,"10",70,0,2013,1,"","Poweshiek County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",640,9033,9192,9298,88484703,56059564,1246352,742
"19157",0,"10",70,0,2013,2,"","Poweshiek County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",648,9574,9888,10022,89151329,47980690,1267365,698
"19157",0,"10",70,0,2013,3,"","Poweshiek County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",656,10042,10122,10157,94672328,34273180,993660,721
"19157",1,"10",71,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,59,54,56,715824,0,0,977
"19157",1,"10",71,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,57,53,54,626320,0,0,881
"19157",1,"10",71,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,58,53,56,704341,0,0,973
"19157",1,"102",72,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,59,54,56,715824,0,0,977
"19157",1,"102",72,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,57,53,54,626320,0,0,881
"19157",1,"102",72,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,58,53,56,704341,0,0,973
"19157",1,"1021",73,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,43,42,44,554043,0,0,991
"19157",1,"1021",73,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,41,42,43,437822,0,0,802
"19157",1,"1021",73,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,43,42,45,527963,0,0,937
"19157",1,"1028",73,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,16,12,12,161781,0,0,933
"19157",1,"1028",73,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,16,11,11,188498,0,0,1145
"19157",1,"1028",73,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,15,11,11,176378,0,0,1100
"19157",1,"48-49",74,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,43,42,44,554043,0,0,991
"19157",1,"48-49",74,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,41,42,43,437822,0,0,802
"19157",1,"48-49",74,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,43,42,45,527963,0,0,937
"19157",1,"491",75,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,43,42,44,554043,0,0,991
"19157",1,"491",75,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,41,42,43,437822,0,0,802
"19157",1,"491",75,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,43,42,45,527963,0,0,937
"19157",1,"4911",76,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,43,42,44,554043,0,0,991
"19157",1,"4911",76,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,41,42,43,437822,0,0,802
"19157",1,"4911",76,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,43,42,45,527963,0,0,937
"19157",1,"49111",77,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,43,42,44,554043,0,0,991
"19157",1,"49111",77,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,41,42,43,437822,0,0,802
"19157",1,"49111",77,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,43,42,45,527963,0,0,937
"19157",1,"491110",78,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,43,42,44,554043,0,0,991
"19157",1,"491110",78,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,41,42,43,437822,0,0,802
"19157",1,"491110",78,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,43,42,45,527963,0,0,937
"19157",1,"92",74,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,16,12,12,161781,0,0,933
"19157",1,"92",74,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,16,11,11,188498,0,0,1145
"19157",1,"92",74,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,15,11,11,176378,0,0,1100
"19157",1,"924",75,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,49493,0,0,952
"19157",1,"924",75,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,3,3,57742,0,0,1333
"19157",1,"924",75,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,45783,0,0,1174
"19157",1,"9241",76,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,49493,0,0,952
"19157",1,"9241",76,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,3,3,57742,0,0,1333
"19157",1,"9241",76,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,45783,0,0,1174
"19157",1,"92412",77,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,49493,0,0,952
"19157",1,"92412",77,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,3,3,57742,0,0,1333
"19157",1,"92412",77,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,45783,0,0,1174
"19157",1,"924120",78,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,4,49493,0,0,952
"19157",1,"924120",78,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,3,3,57742,0,0,1333
"19157",1,"924120",78,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,45783,0,0,1174
"19157",1,"926",75,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,8,8,112288,0,0,925
"19157",1,"926",75,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,8,8,130756,0,0,1078
"19157",1,"926",75,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,8,8,130595,0,0,1076
"19157",1,"9261",76,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,8,8,112288,0,0,925
"19157",1,"9261",76,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,8,8,130756,0,0,1078
"19157",1,"9261",76,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,8,8,130595,0,0,1076
"19157",1,"92614",77,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,8,8,112288,0,0,925
"19157",1,"92614",77,0,2013,2,"","Poweshiek County, Iowa","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,8,8,130756,0,0,1078
"19157",1,"92614",77,0,2013,3,"","Poweshiek County, Iowa","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,8,8,130595,0,0,1076
"19157",1,"926140",78,0,2013,1,"","Poweshiek County, Iowa","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,8,8,112288,0,0,925
