"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"20003",0,"10",70,0,2013,1,"","Anderson County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",218,1940,1969,1858,12955055,9298733,225402,518
"20003",0,"10",70,0,2013,2,"","Anderson County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",219,2069,2058,2074,14341668,6122414,107674,534
"20003",0,"10",70,0,2013,3,"","Anderson County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",222,2083,2114,2051,15276564,4801371,88551,564
"20003",1,"10",71,0,2013,1,"","Anderson County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,40,37,36,352689,0,0,720
"20003",1,"10",71,0,2013,2,"","Anderson County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,36,34,38,313419,0,0,670
"20003",1,"10",71,0,2013,3,"","Anderson County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,36,39,37,360054,0,0,742
"20003",1,"102",72,0,2013,1,"","Anderson County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,40,37,36,352689,0,0,720
"20003",1,"102",72,0,2013,2,"","Anderson County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,36,34,38,313419,0,0,670
"20003",1,"102",72,0,2013,3,"","Anderson County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,36,39,37,360054,0,0,742
"20003",1,"1021",73,0,2013,1,"","Anderson County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,32,31,30,291470,0,0,723
"20003",1,"1021",73,0,2013,2,"","Anderson County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,30,29,30,244469,0,0,634
"20003",1,"1021",73,0,2013,3,"","Anderson County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,31,32,32,292279,0,0,710
"20003",1,"1028",73,0,2013,1,"","Anderson County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,6,6,61219,0,0,706
"20003",1,"1028",73,0,2013,2,"","Anderson County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,5,8,68950,0,0,837
"20003",1,"1028",73,0,2013,3,"","Anderson County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,5,7,5,67775,0,0,920
"20003",1,"48-49",74,0,2013,1,"","Anderson County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,32,31,30,291470,0,0,723
"20003",1,"48-49",74,0,2013,2,"","Anderson County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,30,29,30,244469,0,0,634
"20003",1,"48-49",74,0,2013,3,"","Anderson County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,31,32,32,292279,0,0,710
"20003",1,"491",75,0,2013,1,"","Anderson County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,32,31,30,291470,0,0,723
"20003",1,"491",75,0,2013,2,"","Anderson County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,30,29,30,244469,0,0,634
"20003",1,"491",75,0,2013,3,"","Anderson County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,31,32,32,292279,0,0,710
"20003",1,"4911",76,0,2013,1,"","Anderson County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,32,31,30,291470,0,0,723
"20003",1,"4911",76,0,2013,2,"","Anderson County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,30,29,30,244469,0,0,634
"20003",1,"4911",76,0,2013,3,"","Anderson County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,31,32,32,292279,0,0,710
"20003",1,"49111",77,0,2013,1,"","Anderson County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,32,31,30,291470,0,0,723
"20003",1,"49111",77,0,2013,2,"","Anderson County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,30,29,30,244469,0,0,634
"20003",1,"49111",77,0,2013,3,"","Anderson County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,31,32,32,292279,0,0,710
"20003",1,"491110",78,0,2013,1,"","Anderson County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,32,31,30,291470,0,0,723
"20003",1,"491110",78,0,2013,2,"","Anderson County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,30,29,30,244469,0,0,634
"20003",1,"491110",78,0,2013,3,"","Anderson County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,31,32,32,292279,0,0,710
"20003",1,"92",74,0,2013,1,"","Anderson County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,8,6,6,61219,0,0,706
"20003",1,"92",74,0,2013,2,"","Anderson County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,5,8,68950,0,0,837
"20003",1,"92",74,0,2013,3,"","Anderson County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,5,7,5,67775,0,0,920
