"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"20039",0,"10",70,0,2013,1,"","Decatur County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",138,929,925,930,5485863,3262478,72974,455
"20039",0,"10",70,0,2013,2,"","Decatur County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",140,933,957,996,5658230,1950973,30516,452
"20039",0,"10",70,0,2013,3,"","Decatur County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",139,970,959,921,5713768,1478070,20687,463
"20039",1,"10",71,0,2013,1,"","Decatur County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,18,19,19,202911,0,0,836
"20039",1,"10",71,0,2013,2,"","Decatur County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,18,22,18,185029,0,0,736
"20039",1,"10",71,0,2013,3,"","Decatur County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,19,17,20,206333,0,0,850
"20039",1,"102",72,0,2013,1,"","Decatur County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,18,19,19,202911,0,0,836
"20039",1,"102",72,0,2013,2,"","Decatur County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,18,22,18,185029,0,0,736
"20039",1,"102",72,0,2013,3,"","Decatur County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,19,17,20,206333,0,0,850
"20039",1,"1021",73,0,2013,1,"","Decatur County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,12,13,13,128563,0,0,781
"20039",1,"1021",73,0,2013,2,"","Decatur County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,12,12,12,98735,0,0,633
"20039",1,"1021",73,0,2013,3,"","Decatur County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,13,11,11,119339,0,0,787
"20039",1,"1028",73,0,2013,1,"","Decatur County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,6,74348,0,0,953
"20039",1,"1028",73,0,2013,2,"","Decatur County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,10,6,86294,0,0,905
"20039",1,"1028",73,0,2013,3,"","Decatur County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,9,86994,0,0,956
"20039",1,"48-49",74,0,2013,1,"","Decatur County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,12,13,13,128563,0,0,781
"20039",1,"48-49",74,0,2013,2,"","Decatur County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,12,12,12,98735,0,0,633
"20039",1,"48-49",74,0,2013,3,"","Decatur County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,13,11,11,119339,0,0,787
"20039",1,"491",75,0,2013,1,"","Decatur County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,12,13,13,128563,0,0,781
"20039",1,"491",75,0,2013,2,"","Decatur County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,12,12,12,98735,0,0,633
"20039",1,"491",75,0,2013,3,"","Decatur County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,13,11,11,119339,0,0,787
"20039",1,"4911",76,0,2013,1,"","Decatur County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,12,13,13,128563,0,0,781
"20039",1,"4911",76,0,2013,2,"","Decatur County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,12,12,12,98735,0,0,633
"20039",1,"4911",76,0,2013,3,"","Decatur County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,13,11,11,119339,0,0,787
"20039",1,"49111",77,0,2013,1,"","Decatur County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,12,13,13,128563,0,0,781
"20039",1,"49111",77,0,2013,2,"","Decatur County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,12,12,12,98735,0,0,633
"20039",1,"49111",77,0,2013,3,"","Decatur County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,13,11,11,119339,0,0,787
"20039",1,"491110",78,0,2013,1,"","Decatur County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,12,13,13,128563,0,0,781
"20039",1,"491110",78,0,2013,2,"","Decatur County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,12,12,12,98735,0,0,633
"20039",1,"491110",78,0,2013,3,"","Decatur County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,13,11,11,119339,0,0,787
"20039",1,"92",74,0,2013,1,"","Decatur County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,6,6,74348,0,0,953
"20039",1,"92",74,0,2013,2,"","Decatur County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,10,6,86294,0,0,905
"20039",1,"92",74,0,2013,3,"","Decatur County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,6,9,86994,0,0,956
"20039",1,"924",75,0,2013,1,"","Decatur County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,26122,0,0,1005
"20039",1,"924",75,0,2013,2,"","Decatur County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,30475,0,0,1172
"20039",1,"924",75,0,2013,3,"","Decatur County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,30475,0,0,1172
"20039",1,"9241",76,0,2013,1,"","Decatur County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,26122,0,0,1005
"20039",1,"9241",76,0,2013,2,"","Decatur County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,30475,0,0,1172
"20039",1,"9241",76,0,2013,3,"","Decatur County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,30475,0,0,1172
"20039",1,"92412",77,0,2013,1,"","Decatur County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,26122,0,0,1005
"20039",1,"92412",77,0,2013,2,"","Decatur County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,30475,0,0,1172
"20039",1,"92412",77,0,2013,3,"","Decatur County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,30475,0,0,1172
"20039",1,"924120",78,0,2013,1,"","Decatur County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,26122,0,0,1005
"20039",1,"924120",78,0,2013,2,"","Decatur County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,30475,0,0,1172
"20039",1,"924120",78,0,2013,3,"","Decatur County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,30475,0,0,1172
"20039",1,"926",75,0,2013,1,"","Decatur County, Kansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,4,48226,0,0,927
"20039",1,"926",75,0,2013,2,"","Decatur County, Kansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,8,4,55819,0,0,805
"20039",1,"926",75,0,2013,3,"","Decatur County, Kansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,7,56519,0,0,870
"20039",1,"9261",76,0,2013,1,"","Decatur County, Kansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,4,48226,0,0,927
"20039",1,"9261",76,0,2013,2,"","Decatur County, Kansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,8,4,55819,0,0,805
"20039",1,"9261",76,0,2013,3,"","Decatur County, Kansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,7,56519,0,0,870
"20039",1,"92611",77,0,2013,1,"","Decatur County, Kansas","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",1,"92611",77,0,2013,2,"","Decatur County, Kansas","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",1,"92611",77,0,2013,3,"","Decatur County, Kansas","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",1,"926110",78,0,2013,1,"","Decatur County, Kansas","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",1,"926110",78,0,2013,2,"","Decatur County, Kansas","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",1,"926110",78,0,2013,3,"","Decatur County, Kansas","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",1,"92614",77,0,2013,1,"","Decatur County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,48226,0,0,927
"20039",1,"92614",77,0,2013,2,"","Decatur County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,8,4,55819,0,0,805
"20039",1,"92614",77,0,2013,3,"","Decatur County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,7,56519,0,0,870
"20039",1,"926140",78,0,2013,1,"","Decatur County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,4,48226,0,0,927
"20039",1,"926140",78,0,2013,2,"","Decatur County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,8,4,55819,0,0,805
"20039",1,"926140",78,0,2013,3,"","Decatur County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,7,56519,0,0,870
"20039",2,"10",71,0,2013,1,"","Decatur County, Kansas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,19,19,19,151900,0,0,615
"20039",2,"10",71,0,2013,2,"","Decatur County, Kansas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,19,18,20,129432,0,0,524
"20039",2,"10",71,0,2013,3,"","Decatur County, Kansas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,20,20,20,149291,0,0,574
"20039",2,"102",72,0,2013,1,"","Decatur County, Kansas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,19,19,19,151900,0,0,615
"20039",2,"102",72,0,2013,2,"","Decatur County, Kansas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,19,18,20,129432,0,0,524
"20039",2,"102",72,0,2013,3,"","Decatur County, Kansas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,20,20,20,149291,0,0,574
"20039",2,"1025",73,0,2013,1,"N","Decatur County, Kansas","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"1025",73,0,2013,2,"N","Decatur County, Kansas","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"1025",73,0,2013,3,"N","Decatur County, Kansas","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"1028",73,0,2013,1,"N","Decatur County, Kansas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0
"20039",2,"1028",73,0,2013,2,"N","Decatur County, Kansas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0
"20039",2,"1028",73,0,2013,3,"N","Decatur County, Kansas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0
"20039",2,"61",74,0,2013,1,"N","Decatur County, Kansas","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"61",74,0,2013,2,"N","Decatur County, Kansas","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"61",74,0,2013,3,"N","Decatur County, Kansas","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"611",75,0,2013,1,"N","Decatur County, Kansas","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"611",75,0,2013,2,"N","Decatur County, Kansas","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"611",75,0,2013,3,"N","Decatur County, Kansas","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"6116",76,0,2013,1,"N","Decatur County, Kansas","State Government","Other schools and instruction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"6116",76,0,2013,2,"N","Decatur County, Kansas","State Government","Other schools and instruction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"6116",76,0,2013,3,"N","Decatur County, Kansas","State Government","Other schools and instruction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"61169",77,0,2013,1,"N","Decatur County, Kansas","State Government","All other schools and instruction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"61169",77,0,2013,2,"N","Decatur County, Kansas","State Government","All other schools and instruction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"61169",77,0,2013,3,"N","Decatur County, Kansas","State Government","All other schools and instruction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"611699",78,0,2013,1,"N","Decatur County, Kansas","State Government","Miscellaneous schools and instruction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"611699",78,0,2013,2,"N","Decatur County, Kansas","State Government","Miscellaneous schools and instruction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"611699",78,0,2013,3,"N","Decatur County, Kansas","State Government","Miscellaneous schools and instruction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"92",74,0,2013,1,"N","Decatur County, Kansas","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0
"20039",2,"92",74,0,2013,2,"N","Decatur County, Kansas","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0
"20039",2,"92",74,0,2013,3,"N","Decatur County, Kansas","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0
"20039",2,"922",75,0,2013,1,"N","Decatur County, Kansas","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"20039",2,"922",75,0,2013,2,"N","Decatur County, Kansas","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"20039",2,"922",75,0,2013,3,"N","Decatur County, Kansas","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"20039",2,"9221",76,0,2013,1,"N","Decatur County, Kansas","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"20039",2,"9221",76,0,2013,2,"N","Decatur County, Kansas","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"20039",2,"9221",76,0,2013,3,"N","Decatur County, Kansas","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"20039",2,"92212",77,0,2013,1,"N","Decatur County, Kansas","State Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"92212",77,0,2013,2,"N","Decatur County, Kansas","State Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"92212",77,0,2013,3,"N","Decatur County, Kansas","State Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"922120",78,0,2013,1,"N","Decatur County, Kansas","State Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"922120",78,0,2013,2,"N","Decatur County, Kansas","State Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"922120",78,0,2013,3,"N","Decatur County, Kansas","State Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"20039",2,"92213",77,0,2013,1,"N","Decatur County, Kansas","State Government","Legal counsel and prosecution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
