"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"20123",0,"10",70,0,2013,1,"","Mitchell County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",273,3450,3434,3441,27453848,19648635,493864,614
"20123",0,"10",70,0,2013,2,"","Mitchell County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",276,3456,3473,3565,27601962,11381678,122490,607
"20123",0,"10",70,0,2013,3,"","Mitchell County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",273,3427,3472,3443,27075005,9286053,84540,604
"20123",1,"10",71,0,2013,1,"","Mitchell County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,26,28,32,292677,0,0,785
"20123",1,"10",71,0,2013,2,"","Mitchell County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,25,28,26,289788,0,0,847
"20123",1,"10",71,0,2013,3,"","Mitchell County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,28,30,29,318008,0,0,844
"20123",1,"102",72,0,2013,1,"","Mitchell County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,26,28,32,292677,0,0,785
"20123",1,"102",72,0,2013,2,"","Mitchell County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,25,28,26,289788,0,0,847
"20123",1,"102",72,0,2013,3,"","Mitchell County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,28,30,29,318008,0,0,844
"20123",1,"1021",73,0,2013,1,"","Mitchell County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,18,20,21,189712,0,0,742
"20123",1,"1021",73,0,2013,2,"","Mitchell County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,17,17,18,168567,0,0,748
"20123",1,"1021",73,0,2013,3,"","Mitchell County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,20,20,21,198330,0,0,750
"20123",1,"1028",73,0,2013,1,"","Mitchell County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,8,8,11,102965,0,0,880
"20123",1,"1028",73,0,2013,2,"","Mitchell County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,8,11,8,121221,0,0,1036
"20123",1,"1028",73,0,2013,3,"","Mitchell County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,8,10,8,119678,0,0,1062
"20123",1,"48-49",74,0,2013,1,"","Mitchell County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,18,20,21,189712,0,0,742
"20123",1,"48-49",74,0,2013,2,"","Mitchell County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,17,17,18,168567,0,0,748
"20123",1,"48-49",74,0,2013,3,"","Mitchell County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,20,20,21,198330,0,0,750
"20123",1,"491",75,0,2013,1,"","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,18,20,21,189712,0,0,742
"20123",1,"491",75,0,2013,2,"","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,17,17,18,168567,0,0,748
"20123",1,"491",75,0,2013,3,"","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,20,20,21,198330,0,0,750
"20123",1,"4911",76,0,2013,1,"","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,18,20,21,189712,0,0,742
"20123",1,"4911",76,0,2013,2,"","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,17,17,18,168567,0,0,748
"20123",1,"4911",76,0,2013,3,"","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,20,20,21,198330,0,0,750
"20123",1,"49111",77,0,2013,1,"","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,18,20,21,189712,0,0,742
"20123",1,"49111",77,0,2013,2,"","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,17,17,18,168567,0,0,748
"20123",1,"49111",77,0,2013,3,"","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,20,20,21,198330,0,0,750
"20123",1,"491110",78,0,2013,1,"","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,18,20,21,189712,0,0,742
"20123",1,"491110",78,0,2013,2,"","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,17,17,18,168567,0,0,748
"20123",1,"491110",78,0,2013,3,"","Mitchell County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,20,20,21,198330,0,0,750
"20123",1,"92",74,0,2013,1,"","Mitchell County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,8,8,11,102965,0,0,880
"20123",1,"92",74,0,2013,2,"","Mitchell County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,8,11,8,121221,0,0,1036
"20123",1,"92",74,0,2013,3,"","Mitchell County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,8,10,8,119678,0,0,1062
"20123",1,"924",75,0,2013,1,"","Mitchell County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,3,3,38083,0,0,976
"20123",1,"924",75,0,2013,2,"","Mitchell County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,3,3,44820,0,0,1149
"20123",1,"924",75,0,2013,3,"","Mitchell County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,3,3,43536,0,0,1116
