"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"21189",0,"10",70,0,2013,1,"","Owsley County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",73,620,602,612,3960758,1504097,33768,498
"21189",0,"10",70,0,2013,2,"","Owsley County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",78,622,622,645,4552772,1021594,27038,556
"21189",0,"10",70,0,2013,3,"","Owsley County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",78,627,635,638,3814937,468573,13661,463
"21189",1,"10",71,0,2013,1,"","Owsley County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,9,8,8,94031,0,0,868
"21189",1,"10",71,0,2013,2,"","Owsley County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,8,7,7,81604,0,0,856
"21189",1,"10",71,0,2013,3,"","Owsley County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,7,9,9,94412,0,0,871
"21189",1,"102",72,0,2013,1,"","Owsley County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,9,8,8,94031,0,0,868
"21189",1,"102",72,0,2013,2,"","Owsley County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,8,7,7,81604,0,0,856
"21189",1,"102",72,0,2013,3,"","Owsley County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,7,9,9,94412,0,0,871
"21189",1,"1021",73,0,2013,1,"","Owsley County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,9,8,8,94031,0,0,868
