"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"21231",0,"10",70,0,2013,1,"","Wayne County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",354,5156,5147,5201,37741371,21325249,1081295,562
"21231",0,"10",70,0,2013,2,"","Wayne County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",361,5299,5312,5283,37716154,9507683,411904,548
"21231",0,"10",70,0,2013,3,"","Wayne County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",361,4615,4712,5072,33576055,4198226,169715,538
"21231",1,"10",71,0,2013,1,"","Wayne County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,35,39,37,455475,0,0,947
"21231",1,"10",71,0,2013,2,"","Wayne County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,37,36,41,458419,0,0,928
"21231",1,"10",71,0,2013,3,"","Wayne County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,39,35,38,498643,0,0,1027
"21231",1,"102",72,0,2013,1,"","Wayne County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,35,39,37,455475,0,0,947
"21231",1,"102",72,0,2013,2,"","Wayne County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,37,36,41,458419,0,0,928
"21231",1,"102",72,0,2013,3,"","Wayne County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,39,35,38,498643,0,0,1027
"21231",1,"1021",73,0,2013,1,"","Wayne County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,24,25,26,332703,0,0,1024
"21231",1,"1021",73,0,2013,2,"","Wayne County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,26,25,26,294586,0,0,883
"21231",1,"1021",73,0,2013,3,"","Wayne County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,28,25,27,329317,0,0,950
"21231",1,"1028",73,0,2013,1,"","Wayne County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,11,14,11,122772,0,0,787
"21231",1,"1028",73,0,2013,2,"","Wayne County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,11,11,15,163833,0,0,1022
"21231",1,"1028",73,0,2013,3,"","Wayne County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,11,10,11,169326,0,0,1221
"21231",1,"48-49",74,0,2013,1,"","Wayne County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,24,25,26,332703,0,0,1024
"21231",1,"48-49",74,0,2013,2,"","Wayne County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,26,25,26,294586,0,0,883
"21231",1,"48-49",74,0,2013,3,"","Wayne County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,28,25,27,329317,0,0,950
"21231",1,"491",75,0,2013,1,"","Wayne County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,24,25,26,332703,0,0,1024
"21231",1,"491",75,0,2013,2,"","Wayne County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,26,25,26,294586,0,0,883
"21231",1,"491",75,0,2013,3,"","Wayne County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,28,25,27,329317,0,0,950
"21231",1,"4911",76,0,2013,1,"","Wayne County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,24,25,26,332703,0,0,1024
"21231",1,"4911",76,0,2013,2,"","Wayne County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,26,25,26,294586,0,0,883
"21231",1,"4911",76,0,2013,3,"","Wayne County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,28,25,27,329317,0,0,950
"21231",1,"49111",77,0,2013,1,"","Wayne County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,24,25,26,332703,0,0,1024
"21231",1,"49111",77,0,2013,2,"","Wayne County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,26,25,26,294586,0,0,883
"21231",1,"49111",77,0,2013,3,"","Wayne County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,28,25,27,329317,0,0,950
"21231",1,"491110",78,0,2013,1,"","Wayne County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,24,25,26,332703,0,0,1024
"21231",1,"491110",78,0,2013,2,"","Wayne County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,26,25,26,294586,0,0,883
"21231",1,"491110",78,0,2013,3,"","Wayne County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,28,25,27,329317,0,0,950
"21231",1,"92",74,0,2013,1,"","Wayne County, Kentucky","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,11,14,11,122772,0,0,787
"21231",1,"92",74,0,2013,2,"","Wayne County, Kentucky","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,11,11,15,163833,0,0,1022
"21231",1,"92",74,0,2013,3,"","Wayne County, Kentucky","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,11,10,11,169326,0,0,1221
"21231",1,"924",75,0,2013,1,"","Wayne County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,7,4,49357,0,0,759
"21231",1,"924",75,0,2013,2,"","Wayne County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,8,57633,0,0,831
"21231",1,"924",75,0,2013,3,"","Wayne County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,4,58012,0,0,1116
"21231",1,"9241",76,0,2013,1,"","Wayne County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,7,4,49357,0,0,759
"21231",1,"9241",76,0,2013,2,"","Wayne County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,8,57633,0,0,831
"21231",1,"9241",76,0,2013,3,"","Wayne County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,4,58012,0,0,1116
"21231",1,"92412",77,0,2013,1,"","Wayne County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,7,4,49357,0,0,759
"21231",1,"92412",77,0,2013,2,"","Wayne County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,4,8,57633,0,0,831
"21231",1,"92412",77,0,2013,3,"","Wayne County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,4,4,58012,0,0,1116
"21231",1,"924120",78,0,2013,1,"","Wayne County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,7,4,49357,0,0,759
"21231",1,"924120",78,0,2013,2,"","Wayne County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,4,8,57633,0,0,831
"21231",1,"924120",78,0,2013,3,"","Wayne County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,4,4,58012,0,0,1116
"21231",1,"926",75,0,2013,1,"","Wayne County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,7,7,73415,0,0,807
"21231",1,"926",75,0,2013,2,"","Wayne County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,7,7,106200,0,0,1167
"21231",1,"926",75,0,2013,3,"","Wayne County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,6,7,111314,0,0,1284
"21231",1,"9261",76,0,2013,1,"","Wayne County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,7,7,73415,0,0,807
"21231",1,"9261",76,0,2013,2,"","Wayne County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,7,7,106200,0,0,1167
"21231",1,"9261",76,0,2013,3,"","Wayne County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,6,7,111314,0,0,1284
"21231",1,"92611",77,0,2013,1,"","Wayne County, Kentucky","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,536,0,0,41
"21231",1,"92611",77,0,2013,2,"","Wayne County, Kentucky","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,805,0,0,62
"21231",1,"92611",77,0,2013,3,"","Wayne County, Kentucky","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,0,1,514,0,0,59
"21231",1,"926110",78,0,2013,1,"","Wayne County, Kentucky","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,536,0,0,41
"21231",1,"926110",78,0,2013,2,"","Wayne County, Kentucky","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,805,0,0,62
"21231",1,"926110",78,0,2013,3,"","Wayne County, Kentucky","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,0,1,514,0,0,59
"21231",1,"92614",77,0,2013,1,"","Wayne County, Kentucky","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,72879,0,0,934
"21231",1,"92614",77,0,2013,2,"","Wayne County, Kentucky","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,105395,0,0,1351
"21231",1,"92614",77,0,2013,3,"","Wayne County, Kentucky","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,110800,0,0,1421
"21231",1,"926140",78,0,2013,1,"","Wayne County, Kentucky","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,72879,0,0,934
"21231",1,"926140",78,0,2013,2,"","Wayne County, Kentucky","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,105395,0,0,1351
"21231",1,"926140",78,0,2013,3,"","Wayne County, Kentucky","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,110800,0,0,1421
"21231",2,"10",71,0,2013,1,"","Wayne County, Kentucky","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,160,161,162,1467747,0,0,701
"21231",2,"10",71,0,2013,2,"","Wayne County, Kentucky","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,162,162,163,1482056,0,0,702
"21231",2,"10",71,0,2013,3,"","Wayne County, Kentucky","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,162,163,163,1484452,0,0,702
"21231",2,"102",72,0,2013,1,"","Wayne County, Kentucky","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,160,161,162,1467747,0,0,701
