"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"24029",0,"10",70,0,2013,1,"","Kent County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",761,7123,7204,7432,65853839,29322345,1124029,698
"24029",0,"10",70,0,2013,2,"","Kent County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",759,7542,7792,7972,67591248,11480667,525582,669
"24029",0,"10",70,0,2013,3,"","Kent County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",742,7921,7945,7696,70376568,6462486,271851,689
"24029",1,"10",71,0,2013,1,"","Kent County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,67,65,62,793144,0,0,943
"24029",1,"10",71,0,2013,2,"","Kent County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,63,59,58,698134,0,0,895
"24029",1,"10",71,0,2013,3,"","Kent County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,60,58,62,817029,0,0,1047
"24029",1,"102",72,0,2013,1,"","Kent County, Maryland","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,67,65,62,793144,0,0,943
"24029",1,"102",72,0,2013,2,"","Kent County, Maryland","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,63,59,58,698134,0,0,895
"24029",1,"102",72,0,2013,3,"","Kent County, Maryland","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,60,58,62,817029,0,0,1047
"24029",1,"1021",73,0,2013,1,"","Kent County, Maryland","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,54,53,52,646172,0,0,938
"24029",1,"1021",73,0,2013,2,"","Kent County, Maryland","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,53,49,48,551154,0,0,848
"24029",1,"1021",73,0,2013,3,"","Kent County, Maryland","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,49,47,49,668819,0,0,1064
"24029",1,"1028",73,0,2013,1,"","Kent County, Maryland","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,13,12,10,146972,0,0,969
"24029",1,"1028",73,0,2013,2,"","Kent County, Maryland","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,10,10,10,146980,0,0,1131
"24029",1,"1028",73,0,2013,3,"","Kent County, Maryland","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,11,11,13,148210,0,0,977
"24029",1,"48-49",74,0,2013,1,"","Kent County, Maryland","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,54,53,52,646172,0,0,938
"24029",1,"48-49",74,0,2013,2,"","Kent County, Maryland","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,53,49,48,551154,0,0,848
"24029",1,"48-49",74,0,2013,3,"","Kent County, Maryland","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,49,47,49,668819,0,0,1064
"24029",1,"491",75,0,2013,1,"","Kent County, Maryland","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,54,53,52,646172,0,0,938
"24029",1,"491",75,0,2013,2,"","Kent County, Maryland","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,53,49,48,551154,0,0,848
"24029",1,"491",75,0,2013,3,"","Kent County, Maryland","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,49,47,49,668819,0,0,1064
"24029",1,"4911",76,0,2013,1,"","Kent County, Maryland","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,54,53,52,646172,0,0,938
"24029",1,"4911",76,0,2013,2,"","Kent County, Maryland","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,53,49,48,551154,0,0,848
"24029",1,"4911",76,0,2013,3,"","Kent County, Maryland","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,49,47,49,668819,0,0,1064
"24029",1,"49111",77,0,2013,1,"","Kent County, Maryland","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,54,53,52,646172,0,0,938
"24029",1,"49111",77,0,2013,2,"","Kent County, Maryland","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,53,49,48,551154,0,0,848
"24029",1,"49111",77,0,2013,3,"","Kent County, Maryland","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,49,47,49,668819,0,0,1064
"24029",1,"491110",78,0,2013,1,"","Kent County, Maryland","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,54,53,52,646172,0,0,938
"24029",1,"491110",78,0,2013,2,"","Kent County, Maryland","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,53,49,48,551154,0,0,848
"24029",1,"491110",78,0,2013,3,"","Kent County, Maryland","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,49,47,49,668819,0,0,1064
"24029",1,"92",74,0,2013,1,"","Kent County, Maryland","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,13,12,10,146972,0,0,969
"24029",1,"92",74,0,2013,2,"","Kent County, Maryland","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,10,10,10,146980,0,0,1131
"24029",1,"92",74,0,2013,3,"","Kent County, Maryland","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,11,11,13,148210,0,0,977
"24029",1,"924",75,0,2013,1,"","Kent County, Maryland","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,6,5,97985,0,0,1256
"24029",1,"924",75,0,2013,2,"","Kent County, Maryland","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,5,5,89785,0,0,1381
"24029",1,"924",75,0,2013,3,"","Kent County, Maryland","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,6,6,91132,0,0,1168
"24029",1,"9241",76,0,2013,1,"","Kent County, Maryland","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,6,5,97985,0,0,1256
"24029",1,"9241",76,0,2013,2,"","Kent County, Maryland","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,5,5,89785,0,0,1381
"24029",1,"9241",76,0,2013,3,"","Kent County, Maryland","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,6,6,91132,0,0,1168
"24029",1,"92412",77,0,2013,1,"","Kent County, Maryland","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,6,5,97985,0,0,1256
"24029",1,"92412",77,0,2013,2,"","Kent County, Maryland","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,5,5,5,89785,0,0,1381
"24029",1,"92412",77,0,2013,3,"","Kent County, Maryland","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,6,6,91132,0,0,1168
"24029",1,"924120",78,0,2013,1,"","Kent County, Maryland","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,6,5,97985,0,0,1256
"24029",1,"924120",78,0,2013,2,"","Kent County, Maryland","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,5,5,5,89785,0,0,1381
"24029",1,"924120",78,0,2013,3,"","Kent County, Maryland","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,6,6,91132,0,0,1168
"24029",1,"926",75,0,2013,1,"","Kent County, Maryland","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,6,6,5,48987,0,0,665
"24029",1,"926",75,0,2013,2,"","Kent County, Maryland","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,5,5,5,57195,0,0,880
"24029",1,"926",75,0,2013,3,"","Kent County, Maryland","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,5,5,7,57078,0,0,775
"24029",1,"9261",76,0,2013,1,"","Kent County, Maryland","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,6,6,5,48987,0,0,665
"24029",1,"9261",76,0,2013,2,"","Kent County, Maryland","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,5,5,5,57195,0,0,880
"24029",1,"9261",76,0,2013,3,"","Kent County, Maryland","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,5,5,7,57078,0,0,775
"24029",1,"92611",77,0,2013,1,"","Kent County, Maryland","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,1,1995,0,0,92
"24029",1,"92611",77,0,2013,2,"","Kent County, Maryland","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,2371,0,0,182
"24029",1,"92611",77,0,2013,3,"","Kent County, Maryland","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,2063,0,0,159
"24029",1,"926110",78,0,2013,1,"","Kent County, Maryland","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,1,1995,0,0,92
"24029",1,"926110",78,0,2013,2,"","Kent County, Maryland","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,2371,0,0,182
"24029",1,"926110",78,0,2013,3,"","Kent County, Maryland","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,2063,0,0,159
"24029",1,"92614",77,0,2013,1,"","Kent County, Maryland","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,4,4,46992,0,0,904
"24029",1,"92614",77,0,2013,2,"","Kent County, Maryland","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,4,4,54824,0,0,1054
"24029",1,"92614",77,0,2013,3,"","Kent County, Maryland","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,4,6,55015,0,0,907
"24029",1,"926140",78,0,2013,1,"","Kent County, Maryland","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,4,4,46992,0,0,904
"24029",1,"926140",78,0,2013,2,"","Kent County, Maryland","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,4,4,54824,0,0,1054
"24029",1,"926140",78,0,2013,3,"","Kent County, Maryland","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,4,6,55015,0,0,907
"24029",2,"10",71,0,2013,1,"N","Kent County, Maryland","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0
"24029",2,"10",71,0,2013,2,"N","Kent County, Maryland","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0
"24029",2,"10",71,0,2013,3,"N","Kent County, Maryland","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0
"24029",2,"102",72,0,2013,1,"N","Kent County, Maryland","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0
"24029",2,"102",72,0,2013,2,"N","Kent County, Maryland","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0
"24029",2,"102",72,0,2013,3,"N","Kent County, Maryland","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0
"24029",2,"1025",73,0,2013,1,"N","Kent County, Maryland","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"24029",2,"1025",73,0,2013,2,"N","Kent County, Maryland","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"24029",2,"1025",73,0,2013,3,"N","Kent County, Maryland","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"24029",2,"1028",73,0,2013,1,"N","Kent County, Maryland","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0
"24029",2,"1028",73,0,2013,2,"N","Kent County, Maryland","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0
"24029",2,"1028",73,0,2013,3,"N","Kent County, Maryland","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0
"24029",2,"62",74,0,2013,1,"N","Kent County, Maryland","State Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"24029",2,"62",74,0,2013,2,"N","Kent County, Maryland","State Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"24029",2,"62",74,0,2013,3,"N","Kent County, Maryland","State Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"24029",2,"622",75,0,2013,1,"N","Kent County, Maryland","State Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"24029",2,"622",75,0,2013,2,"N","Kent County, Maryland","State Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"24029",2,"622",75,0,2013,3,"N","Kent County, Maryland","State Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
