"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"26057",0,"10",70,0,2013,1,"","Gratiot County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",745,12371,12447,12433,123840376,51575510,2774814,767
"26057",0,"10",70,0,2013,2,"","Gratiot County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",747,12685,12896,12725,117397755,20021286,1111436,707
"26057",0,"10",70,0,2013,3,"","Gratiot County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",748,12438,12646,12919,115069856,9957789,499546,699
"26057",1,"10",71,0,2013,1,"","Gratiot County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,69,74,78,909676,0,0,950
"26057",1,"10",71,0,2013,2,"","Gratiot County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,70,71,71,773341,0,0,842
"26057",1,"10",71,0,2013,3,"","Gratiot County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,73,73,68,845741,0,0,912
"26057",1,"102",72,0,2013,1,"","Gratiot County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,69,74,78,909676,0,0,950
"26057",1,"102",72,0,2013,2,"","Gratiot County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,70,71,71,773341,0,0,842
"26057",1,"102",72,0,2013,3,"","Gratiot County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,73,73,68,845741,0,0,912
"26057",1,"1021",73,0,2013,1,"","Gratiot County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,60,65,65,791287,0,0,961
"26057",1,"1021",73,0,2013,2,"","Gratiot County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,62,63,63,652792,0,0,801
"26057",1,"1021",73,0,2013,3,"","Gratiot County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,65,65,56,724952,0,0,899
"26057",1,"1028",73,0,2013,1,"","Gratiot County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,9,9,13,118389,0,0,881
"26057",1,"1028",73,0,2013,2,"","Gratiot County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,8,8,8,120549,0,0,1159
"26057",1,"1028",73,0,2013,3,"","Gratiot County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,8,12,120789,0,0,996
