"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"26071",0,"10",70,0,2013,1,"","Iron County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",387,3552,3508,3558,27290659,12603897,589343,593
"26071",0,"10",70,0,2013,2,"","Iron County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",383,3497,3607,3707,27886702,5470869,244646,595
"26071",0,"10",70,0,2013,3,"","Iron County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",379,3709,3670,3643,29788750,3908661,183479,624
"26071",1,"10",71,0,2013,1,"","Iron County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,35,34,35,400324,0,0,888
"26071",1,"10",71,0,2013,2,"","Iron County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,35,36,37,362101,0,0,774
"26071",1,"10",71,0,2013,3,"","Iron County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,36,37,36,383001,0,0,811
"26071",1,"102",72,0,2013,1,"","Iron County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,35,34,35,400324,0,0,888
"26071",1,"102",72,0,2013,2,"","Iron County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,35,36,37,362101,0,0,774
"26071",1,"102",72,0,2013,3,"","Iron County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,36,37,36,383001,0,0,811
"26071",1,"1021",73,0,2013,1,"","Iron County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,32,31,32,357657,0,0,869
"26071",1,"1021",73,0,2013,2,"","Iron County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,32,33,34,318393,0,0,742
"26071",1,"1021",73,0,2013,3,"","Iron County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,33,34,33,337937,0,0,780
"26071",1,"1028",73,0,2013,1,"","Iron County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,3,3,3,42667,0,0,1094
"26071",1,"1028",73,0,2013,2,"","Iron County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,3,3,3,43708,0,0,1121
"26071",1,"1028",73,0,2013,3,"","Iron County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,3,3,3,45064,0,0,1155
"26071",1,"48-49",74,0,2013,1,"","Iron County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,32,31,32,357657,0,0,869
"26071",1,"48-49",74,0,2013,2,"","Iron County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,32,33,34,318393,0,0,742
"26071",1,"48-49",74,0,2013,3,"","Iron County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,33,34,33,337937,0,0,780
"26071",1,"491",75,0,2013,1,"","Iron County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,32,31,32,357657,0,0,869
"26071",1,"491",75,0,2013,2,"","Iron County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,32,33,34,318393,0,0,742
"26071",1,"491",75,0,2013,3,"","Iron County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,33,34,33,337937,0,0,780
"26071",1,"4911",76,0,2013,1,"","Iron County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,32,31,32,357657,0,0,869
"26071",1,"4911",76,0,2013,2,"","Iron County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,32,33,34,318393,0,0,742
"26071",1,"4911",76,0,2013,3,"","Iron County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,33,34,33,337937,0,0,780
"26071",1,"49111",77,0,2013,1,"","Iron County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,32,31,32,357657,0,0,869
"26071",1,"49111",77,0,2013,2,"","Iron County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,32,33,34,318393,0,0,742
"26071",1,"49111",77,0,2013,3,"","Iron County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,33,34,33,337937,0,0,780
"26071",1,"491110",78,0,2013,1,"","Iron County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,32,31,32,357657,0,0,869
"26071",1,"491110",78,0,2013,2,"","Iron County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,32,33,34,318393,0,0,742
"26071",1,"491110",78,0,2013,3,"","Iron County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,33,34,33,337937,0,0,780
"26071",1,"92",74,0,2013,1,"","Iron County, Michigan","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,3,3,3,42667,0,0,1094
"26071",1,"92",74,0,2013,2,"","Iron County, Michigan","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,3,3,3,43708,0,0,1121
"26071",1,"92",74,0,2013,3,"","Iron County, Michigan","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,3,3,3,45064,0,0,1155
"26071",1,"924",75,0,2013,1,"","Iron County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,10552,0,0,812
"26071",1,"924",75,0,2013,2,"","Iron County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,11553,0,0,889
"26071",1,"924",75,0,2013,3,"","Iron County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,11553,0,0,889
"26071",1,"9241",76,0,2013,1,"","Iron County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,10552,0,0,812
"26071",1,"9241",76,0,2013,2,"","Iron County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,11553,0,0,889
"26071",1,"9241",76,0,2013,3,"","Iron County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,11553,0,0,889
"26071",1,"92412",77,0,2013,1,"","Iron County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,10552,0,0,812
"26071",1,"92412",77,0,2013,2,"","Iron County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,11553,0,0,889
"26071",1,"92412",77,0,2013,3,"","Iron County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,11553,0,0,889
"26071",1,"924120",78,0,2013,1,"","Iron County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,10552,0,0,812
"26071",1,"924120",78,0,2013,2,"","Iron County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,11553,0,0,889
"26071",1,"924120",78,0,2013,3,"","Iron County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,11553,0,0,889
"26071",1,"926",75,0,2013,1,"","Iron County, Michigan","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,15169,0,0,1167
"26071",1,"926",75,0,2013,2,"","Iron County, Michigan","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,17630,0,0,1356
"26071",1,"926",75,0,2013,3,"","Iron County, Michigan","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,18018,0,0,1386
"26071",1,"9261",76,0,2013,1,"","Iron County, Michigan","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,15169,0,0,1167
"26071",1,"9261",76,0,2013,2,"","Iron County, Michigan","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,17630,0,0,1356
"26071",1,"9261",76,0,2013,3,"","Iron County, Michigan","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,18018,0,0,1386
"26071",1,"92614",77,0,2013,1,"","Iron County, Michigan","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,15169,0,0,1167
"26071",1,"92614",77,0,2013,2,"","Iron County, Michigan","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,17630,0,0,1356
"26071",1,"92614",77,0,2013,3,"","Iron County, Michigan","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,18018,0,0,1386
"26071",1,"926140",78,0,2013,1,"","Iron County, Michigan","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,15169,0,0,1167
"26071",1,"926140",78,0,2013,2,"","Iron County, Michigan","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,17630,0,0,1356
"26071",1,"926140",78,0,2013,3,"","Iron County, Michigan","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,18018,0,0,1386
"26071",1,"928",75,0,2013,1,"","Iron County, Michigan","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,16946,0,0,1304
"26071",1,"928",75,0,2013,2,"","Iron County, Michigan","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,14525,0,0,1117
"26071",1,"928",75,0,2013,3,"","Iron County, Michigan","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,15493,0,0,1192
"26071",1,"9281",76,0,2013,1,"","Iron County, Michigan","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,16946,0,0,1304
"26071",1,"9281",76,0,2013,2,"","Iron County, Michigan","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,14525,0,0,1117
"26071",1,"9281",76,0,2013,3,"","Iron County, Michigan","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,15493,0,0,1192
"26071",1,"92811",77,0,2013,1,"","Iron County, Michigan","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,16946,0,0,1304
