"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"26125",0,"10",70,0,2013,1,"","Oakland County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",38643,662908,664344,668002,9265815323,4096368473,226698441,1072
"26125",0,"10",70,0,2013,2,"","Oakland County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",38400,669979,682507,687462,8977990895,1259586592,65465139,1016
"26125",0,"10",70,0,2013,3,"","Oakland County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",38398,672277,676950,678377,8810177604,728116485,36835521,1003
"26125",1,"10",71,0,2013,1,"","Oakland County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",70,4840,4787,4639,83426843,0,0,1350
"26125",1,"10",71,0,2013,2,"","Oakland County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",70,4794,4708,4707,73338858,0,0,1191
"26125",1,"10",71,0,2013,3,"","Oakland County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",69,4688,4666,4554,80268730,0,0,1332
"26125",1,"102",72,0,2013,1,"","Oakland County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",70,4840,4787,4639,83426843,0,0,1350
"26125",1,"102",72,0,2013,2,"","Oakland County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",70,4794,4708,4707,73338858,0,0,1191
"26125",1,"102",72,0,2013,3,"","Oakland County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",69,4688,4666,4554,80268730,0,0,1332
"26125",1,"1021",73,0,2013,1,"","Oakland County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",40,3596,3602,3465,59328483,0,0,1284
"26125",1,"1021",73,0,2013,2,"","Oakland County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",40,3616,3531,3535,47638494,0,0,1029
"26125",1,"1021",73,0,2013,3,"","Oakland County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",40,3512,3486,3473,57237737,0,0,1261
"26125",1,"1024",73,0,2013,1,"","Oakland County, Michigan","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,22,23,515973,0,0,1777
"26125",1,"1024",73,0,2013,2,"","Oakland County, Michigan","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,24,24,24,610538,0,0,1957
"26125",1,"1024",73,0,2013,3,"","Oakland County, Michigan","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,24,25,24,646860,0,0,2045
"26125",1,"1027",73,0,2013,1,"","Oakland County, Michigan","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,14,14,14,225414,0,0,1239
"26125",1,"1027",73,0,2013,2,"","Oakland County, Michigan","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,14,16,16,184506,0,0,926
"26125",1,"1027",73,0,2013,3,"","Oakland County, Michigan","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,16,19,19,273236,0,0,1168
"26125",1,"1028",73,0,2013,1,"","Oakland County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",28,1208,1149,1137,23356973,0,0,1543
"26125",1,"1028",73,0,2013,2,"","Oakland County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",28,1140,1137,1132,24905320,0,0,1686
"26125",1,"1028",73,0,2013,3,"","Oakland County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",27,1136,1136,1038,22110897,0,0,1542
"26125",1,"48-49",74,0,2013,1,"","Oakland County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",40,3596,3602,3465,59328483,0,0,1284
"26125",1,"48-49",74,0,2013,2,"","Oakland County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",40,3616,3531,3535,47638494,0,0,1029
"26125",1,"48-49",74,0,2013,3,"","Oakland County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",40,3512,3486,3473,57237737,0,0,1261
"26125",1,"491",75,0,2013,1,"","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",40,3596,3602,3465,59328483,0,0,1284
"26125",1,"491",75,0,2013,2,"","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",40,3616,3531,3535,47638494,0,0,1029
"26125",1,"491",75,0,2013,3,"","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",40,3512,3486,3473,57237737,0,0,1261
"26125",1,"4911",76,0,2013,1,"","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",40,3596,3602,3465,59328483,0,0,1284
"26125",1,"4911",76,0,2013,2,"","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",40,3616,3531,3535,47638494,0,0,1029
"26125",1,"4911",76,0,2013,3,"","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",40,3512,3486,3473,57237737,0,0,1261
"26125",1,"49111",77,0,2013,1,"","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",40,3596,3602,3465,59328483,0,0,1284
"26125",1,"49111",77,0,2013,2,"","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",40,3616,3531,3535,47638494,0,0,1029
"26125",1,"49111",77,0,2013,3,"","Oakland County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",40,3512,3486,3473,57237737,0,0,1261
