"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"27079",0,"10",70,0,2013,1,"","Le Sueur County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",700,7581,7633,7679,64124109,48564238,1330476,646
"27079",0,"10",70,0,2013,2,"","Le Sueur County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",709,7958,8330,8563,69871844,43889648,1352067,649
"27079",0,"10",70,0,2013,3,"","Le Sueur County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",711,8281,8511,8519,74238618,34557250,1162136,677
"27079",1,"10",71,0,2013,1,"","Le Sueur County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,68,71,75,899749,0,0,970
"27079",1,"10",71,0,2013,2,"","Le Sueur County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,72,71,72,798277,0,0,857
"27079",1,"10",71,0,2013,3,"","Le Sueur County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,75,71,70,869778,0,0,929
"27079",1,"102",72,0,2013,1,"","Le Sueur County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,68,71,75,899749,0,0,970
"27079",1,"102",72,0,2013,2,"","Le Sueur County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,72,71,72,798277,0,0,857
"27079",1,"102",72,0,2013,3,"","Le Sueur County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,75,71,70,869778,0,0,929
"27079",1,"1021",73,0,2013,1,"","Le Sueur County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,60,63,64,789896,0,0,975
"27079",1,"1021",73,0,2013,2,"","Le Sueur County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,64,63,64,669973,0,0,809
"27079",1,"1021",73,0,2013,3,"","Le Sueur County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,67,63,62,741390,0,0,891
"27079",1,"1028",73,0,2013,1,"","Le Sueur County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,8,8,11,109853,0,0,939
