"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"27135",0,"10",70,0,2013,1,"","Roseau County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",446,8319,8398,8394,99577195,68994244,1859399,915
"27135",0,"10",70,0,2013,2,"","Roseau County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",449,8384,8521,8725,82884500,47849097,1199063,746
"27135",0,"10",70,0,2013,3,"","Roseau County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",450,8390,8486,8807,87301535,38458579,883632,784
"27135",1,"10",71,0,2013,1,"","Roseau County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,99,96,96,1703825,0,0,1351
"27135",1,"10",71,0,2013,2,"","Roseau County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,98,96,96,1776344,0,0,1414
"27135",1,"10",71,0,2013,3,"","Roseau County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,94,99,100,1882689,0,0,1483
"27135",1,"102",72,0,2013,1,"","Roseau County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,99,96,96,1703825,0,0,1351
"27135",1,"102",72,0,2013,2,"","Roseau County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,98,96,96,1776344,0,0,1414
"27135",1,"102",72,0,2013,3,"","Roseau County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,94,99,100,1882689,0,0,1483
"27135",1,"1021",73,0,2013,1,"","Roseau County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,31,28,28,357503,0,0,948
"27135",1,"1021",73,0,2013,2,"","Roseau County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,28,28,29,266918,0,0,725
"27135",1,"1021",73,0,2013,3,"","Roseau County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,27,31,29,304616,0,0,808
"27135",1,"1023",73,0,2013,1,"","Roseau County, Minnesota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"27135",1,"1023",73,0,2013,2,"","Roseau County, Minnesota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"27135",1,"1023",73,0,2013,3,"","Roseau County, Minnesota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"27135",1,"1028",73,0,2013,1,"","Roseau County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,68,68,68,1346322,0,0,1523
"27135",1,"1028",73,0,2013,2,"","Roseau County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,70,68,67,1509426,0,0,1699
"27135",1,"1028",73,0,2013,3,"","Roseau County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,67,68,71,1578073,0,0,1768
"27135",1,"48-49",74,0,2013,1,"","Roseau County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,31,28,28,357503,0,0,948
"27135",1,"48-49",74,0,2013,2,"","Roseau County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,28,28,29,266918,0,0,725
"27135",1,"48-49",74,0,2013,3,"","Roseau County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,27,31,29,304616,0,0,808
"27135",1,"491",75,0,2013,1,"","Roseau County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,31,28,28,357503,0,0,948
"27135",1,"491",75,0,2013,2,"","Roseau County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,28,28,29,266918,0,0,725
"27135",1,"491",75,0,2013,3,"","Roseau County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,27,31,29,304616,0,0,808
"27135",1,"4911",76,0,2013,1,"","Roseau County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,31,28,28,357503,0,0,948
"27135",1,"4911",76,0,2013,2,"","Roseau County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,28,28,29,266918,0,0,725
"27135",1,"4911",76,0,2013,3,"","Roseau County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,27,31,29,304616,0,0,808
"27135",1,"49111",77,0,2013,1,"","Roseau County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,31,28,28,357503,0,0,948
"27135",1,"49111",77,0,2013,2,"","Roseau County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,28,28,29,266918,0,0,725
"27135",1,"49111",77,0,2013,3,"","Roseau County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,27,31,29,304616,0,0,808
"27135",1,"491110",78,0,2013,1,"","Roseau County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,31,28,28,357503,0,0,948
"27135",1,"491110",78,0,2013,2,"","Roseau County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,28,28,29,266918,0,0,725
"27135",1,"491110",78,0,2013,3,"","Roseau County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,27,31,29,304616,0,0,808
"27135",1,"52",74,0,2013,1,"","Roseau County, Minnesota","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"27135",1,"52",74,0,2013,2,"","Roseau County, Minnesota","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"27135",1,"52",74,0,2013,3,"","Roseau County, Minnesota","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"27135",1,"522",75,0,2013,1,"","Roseau County, Minnesota","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
