"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"28009",0,"10",70,0,2013,1,"","Benton County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",95,1325,1338,1333,9684615,6091855,88568,559
"28009",0,"10",70,0,2013,2,"","Benton County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",95,1347,1363,1359,9983797,4496742,70557,566
"28009",0,"10",70,0,2013,3,"","Benton County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",93,1276,1285,1288,9263936,2182392,30816,555
"28009",1,"10",71,0,2013,1,"","Benton County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,48,48,50,981318,0,0,1551
"28009",1,"10",71,0,2013,2,"","Benton County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,50,51,50,1095410,0,0,1674
"28009",1,"10",71,0,2013,3,"","Benton County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,47,47,47,853312,0,0,1397
"28009",1,"102",72,0,2013,1,"","Benton County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,48,48,50,981318,0,0,1551
"28009",1,"102",72,0,2013,2,"","Benton County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,50,51,50,1095410,0,0,1674
"28009",1,"102",72,0,2013,3,"","Benton County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,47,47,47,853312,0,0,1397
"28009",1,"1021",73,0,2013,1,"","Benton County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,47,47,49,971502,0,0,1568
"28009",1,"1021",73,0,2013,2,"","Benton County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,49,50,49,1083958,0,0,1690
"28009",1,"1021",73,0,2013,3,"","Benton County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,46,46,46,841860,0,0,1408
"28009",1,"1028",73,0,2013,1,"","Benton County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,1,1,1,9816,0,0,755
"28009",1,"1028",73,0,2013,2,"","Benton County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,1,1,1,11452,0,0,881
"28009",1,"1028",73,0,2013,3,"","Benton County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,1,1,1,11452,0,0,881
"28009",1,"22",74,0,2013,1,"","Benton County, Mississippi","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,29,30,31,768616,0,0,1971
"28009",1,"22",74,0,2013,2,"","Benton County, Mississippi","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,31,31,30,930720,0,0,2335
"28009",1,"22",74,0,2013,3,"","Benton County, Mississippi","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,29,28,28,662596,0,0,1799
"28009",1,"221",75,0,2013,1,"","Benton County, Mississippi","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,29,30,31,768616,0,0,1971
"28009",1,"221",75,0,2013,2,"","Benton County, Mississippi","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,31,31,30,930720,0,0,2335
"28009",1,"221",75,0,2013,3,"","Benton County, Mississippi","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,29,28,28,662596,0,0,1799
"28009",1,"2211",76,0,2013,1,"","Benton County, Mississippi","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,29,30,31,768616,0,0,1971
"28009",1,"2211",76,0,2013,2,"","Benton County, Mississippi","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,31,31,30,930720,0,0,2335
"28009",1,"2211",76,0,2013,3,"","Benton County, Mississippi","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,29,28,28,662596,0,0,1799
"28009",1,"22112",77,0,2013,1,"","Benton County, Mississippi","Federal Government","Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,29,30,31,768616,0,0,1971
"28009",1,"22112",77,0,2013,2,"","Benton County, Mississippi","Federal Government","Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,31,31,30,930720,0,0,2335
"28009",1,"22112",77,0,2013,3,"","Benton County, Mississippi","Federal Government","Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,29,28,28,662596,0,0,1799
"28009",1,"221121",78,0,2013,1,"","Benton County, Mississippi","Federal Government","Electric bulk power transmission and control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,29,30,31,768616,0,0,1971
"28009",1,"221121",78,0,2013,2,"","Benton County, Mississippi","Federal Government","Electric bulk power transmission and control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,31,31,30,930720,0,0,2335
"28009",1,"221121",78,0,2013,3,"","Benton County, Mississippi","Federal Government","Electric bulk power transmission and control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,29,28,28,662596,0,0,1799
"28009",1,"48-49",74,0,2013,1,"","Benton County, Mississippi","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,18,17,18,202886,0,0,883
"28009",1,"48-49",74,0,2013,2,"","Benton County, Mississippi","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,18,19,19,153238,0,0,631
"28009",1,"48-49",74,0,2013,3,"","Benton County, Mississippi","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,17,18,18,179264,0,0,781
"28009",1,"491",75,0,2013,1,"","Benton County, Mississippi","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,18,17,18,202886,0,0,883
"28009",1,"491",75,0,2013,2,"","Benton County, Mississippi","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,18,19,19,153238,0,0,631
"28009",1,"491",75,0,2013,3,"","Benton County, Mississippi","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,17,18,18,179264,0,0,781
"28009",1,"4911",76,0,2013,1,"","Benton County, Mississippi","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,18,17,18,202886,0,0,883
"28009",1,"4911",76,0,2013,2,"","Benton County, Mississippi","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,18,19,19,153238,0,0,631
"28009",1,"4911",76,0,2013,3,"","Benton County, Mississippi","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,17,18,18,179264,0,0,781
"28009",1,"49111",77,0,2013,1,"","Benton County, Mississippi","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,18,17,18,202886,0,0,883
"28009",1,"49111",77,0,2013,2,"","Benton County, Mississippi","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,18,19,19,153238,0,0,631
"28009",1,"49111",77,0,2013,3,"","Benton County, Mississippi","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,17,18,18,179264,0,0,781
"28009",1,"491110",78,0,2013,1,"","Benton County, Mississippi","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,18,17,18,202886,0,0,883
"28009",1,"491110",78,0,2013,2,"","Benton County, Mississippi","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,18,19,19,153238,0,0,631
"28009",1,"491110",78,0,2013,3,"","Benton County, Mississippi","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,17,18,18,179264,0,0,781
"28009",1,"92",74,0,2013,1,"","Benton County, Mississippi","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,1,1,1,9816,0,0,755
"28009",1,"92",74,0,2013,2,"","Benton County, Mississippi","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,1,1,1,11452,0,0,881
"28009",1,"92",74,0,2013,3,"","Benton County, Mississippi","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,1,1,1,11452,0,0,881
"28009",1,"924",75,0,2013,1,"","Benton County, Mississippi","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,1,1,1,9816,0,0,755
"28009",1,"924",75,0,2013,2,"","Benton County, Mississippi","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,1,1,1,11452,0,0,881
