"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"28145",0,"10",70,0,2013,1,"","Union County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",491,9744,9776,9839,84148386,61206900,671821,661
"28145",0,"10",70,0,2013,2,"","Union County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",491,9946,9837,9962,95021527,35356995,441256,737
"28145",0,"10",70,0,2013,3,"","Union County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",493,9792,9664,9722,85266284,16724288,222923,674
"28145",1,"10",71,0,2013,1,"","Union County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,47,47,49,609210,0,0,983
"28145",1,"10",71,0,2013,2,"","Union County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,49,50,51,552413,0,0,850
"28145",1,"10",71,0,2013,3,"","Union County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,49,52,52,628106,0,0,947
"28145",1,"102",72,0,2013,1,"","Union County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,47,47,49,609210,0,0,983
"28145",1,"102",72,0,2013,2,"","Union County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,49,50,51,552413,0,0,850
"28145",1,"102",72,0,2013,3,"","Union County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,49,52,52,628106,0,0,947
"28145",1,"1021",73,0,2013,1,"","Union County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,38,39,41,506109,0,0,990
"28145",1,"1021",73,0,2013,2,"","Union County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,41,42,43,433124,0,0,793
"28145",1,"1021",73,0,2013,3,"","Union County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,41,44,44,507229,0,0,907
"28145",1,"1028",73,0,2013,1,"","Union County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,9,8,8,103101,0,0,952
"28145",1,"1028",73,0,2013,2,"","Union County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,8,8,8,119289,0,0,1147
"28145",1,"1028",73,0,2013,3,"","Union County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,8,8,8,120877,0,0,1162
"28145",1,"48-49",74,0,2013,1,"","Union County, Mississippi","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,38,39,41,506109,0,0,990
"28145",1,"48-49",74,0,2013,2,"","Union County, Mississippi","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,41,42,43,433124,0,0,793
"28145",1,"48-49",74,0,2013,3,"","Union County, Mississippi","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,41,44,44,507229,0,0,907
"28145",1,"491",75,0,2013,1,"","Union County, Mississippi","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,38,39,41,506109,0,0,990
"28145",1,"491",75,0,2013,2,"","Union County, Mississippi","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,41,42,43,433124,0,0,793
"28145",1,"491",75,0,2013,3,"","Union County, Mississippi","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,41,44,44,507229,0,0,907
"28145",1,"4911",76,0,2013,1,"","Union County, Mississippi","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,38,39,41,506109,0,0,990
"28145",1,"4911",76,0,2013,2,"","Union County, Mississippi","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,41,42,43,433124,0,0,793
"28145",1,"4911",76,0,2013,3,"","Union County, Mississippi","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,41,44,44,507229,0,0,907
"28145",1,"49111",77,0,2013,1,"","Union County, Mississippi","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,38,39,41,506109,0,0,990
"28145",1,"49111",77,0,2013,2,"","Union County, Mississippi","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,41,42,43,433124,0,0,793
"28145",1,"49111",77,0,2013,3,"","Union County, Mississippi","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,41,44,44,507229,0,0,907
"28145",1,"491110",78,0,2013,1,"","Union County, Mississippi","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,38,39,41,506109,0,0,990
"28145",1,"491110",78,0,2013,2,"","Union County, Mississippi","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,41,42,43,433124,0,0,793
"28145",1,"491110",78,0,2013,3,"","Union County, Mississippi","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,41,44,44,507229,0,0,907
"28145",1,"92",74,0,2013,1,"","Union County, Mississippi","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,9,8,8,103101,0,0,952
"28145",1,"92",74,0,2013,2,"","Union County, Mississippi","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,8,8,8,119289,0,0,1147
"28145",1,"92",74,0,2013,3,"","Union County, Mississippi","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,8,8,8,120877,0,0,1162
"28145",1,"921",75,0,2013,1,"","Union County, Mississippi","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"28145",1,"921",75,0,2013,2,"","Union County, Mississippi","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"28145",1,"921",75,0,2013,3,"","Union County, Mississippi","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"28145",1,"9211",76,0,2013,1,"","Union County, Mississippi","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"28145",1,"9211",76,0,2013,2,"","Union County, Mississippi","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"28145",1,"9211",76,0,2013,3,"","Union County, Mississippi","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"28145",1,"92119",77,0,2013,1,"","Union County, Mississippi","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"28145",1,"92119",77,0,2013,2,"","Union County, Mississippi","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"28145",1,"92119",77,0,2013,3,"","Union County, Mississippi","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
