"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"28159",0,"10",70,0,2013,1,"","Winston County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",373,4592,4606,4570,35867832,24241419,641633,601
"28159",0,"10",70,0,2013,2,"","Winston County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",374,4591,4566,4496,36828803,12287693,243995,622
"28159",0,"10",70,0,2013,3,"","Winston County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",375,4545,4547,4623,35531275,6812836,106775,598
"28159",1,"10",71,0,2013,1,"","Winston County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,36,36,36,454873,0,0,972
"28159",1,"10",71,0,2013,2,"","Winston County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,36,35,34,414795,0,0,912
"28159",1,"10",71,0,2013,3,"","Winston County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,36,39,38,456864,0,0,933
"28159",1,"102",72,0,2013,1,"","Winston County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,36,36,36,454873,0,0,972
"28159",1,"102",72,0,2013,2,"","Winston County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,36,35,34,414795,0,0,912
"28159",1,"102",72,0,2013,3,"","Winston County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,36,39,38,456864,0,0,933
"28159",1,"1021",73,0,2013,1,"","Winston County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,25,25,25,329293,0,0,1013
"28159",1,"1021",73,0,2013,2,"","Winston County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,25,24,23,268616,0,0,861
"28159",1,"1021",73,0,2013,3,"","Winston County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,25,26,26,312375,0,0,936
"28159",1,"1028",73,0,2013,1,"","Winston County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,11,11,11,125580,0,0,878
"28159",1,"1028",73,0,2013,2,"","Winston County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,11,11,11,146179,0,0,1022
