"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"29127",0,"10",70,0,2013,1,"","Marion County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",976,12888,12917,13170,101559367,55689816,1192594,601
"29127",0,"10",70,0,2013,2,"","Marion County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",977,13562,13621,13456,107028129,32507180,916535,608
"29127",0,"10",70,0,2013,3,"","Marion County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",973,13106,12966,13404,105082926,19250989,525448,614
"29127",1,"10",71,0,2013,1,"","Marion County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,99,99,96,1353718,0,0,1063
"29127",1,"10",71,0,2013,2,"","Marion County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,98,102,103,1474225,0,0,1123
"29127",1,"10",71,0,2013,3,"","Marion County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,106,103,101,1496848,0,0,1114
"29127",1,"102",72,0,2013,1,"","Marion County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,99,99,96,1353718,0,0,1063
"29127",1,"102",72,0,2013,2,"","Marion County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,98,102,103,1474225,0,0,1123
"29127",1,"102",72,0,2013,3,"","Marion County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,106,103,101,1496848,0,0,1114
"29127",1,"1021",73,0,2013,1,"","Marion County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,55,55,52,711819,0,0,1014
"29127",1,"1021",73,0,2013,2,"","Marion County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,55,59,61,707983,0,0,934
"29127",1,"1021",73,0,2013,3,"","Marion County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,62,59,57,799173,0,0,1036
"29127",1,"1024",73,0,2013,1,"","Marion County, Missouri","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,13,13,175386,0,0,1038
"29127",1,"1024",73,0,2013,2,"","Marion County, Missouri","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,12,226073,0,0,1449
"29127",1,"1024",73,0,2013,3,"","Marion County, Missouri","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,12,166492,0,0,1067
"29127",1,"1028",73,0,2013,1,"","Marion County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,31,31,31,466513,0,0,1158
"29127",1,"1028",73,0,2013,2,"","Marion County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,31,31,30,540169,0,0,1355
"29127",1,"1028",73,0,2013,3,"","Marion County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,32,32,32,531183,0,0,1277
"29127",1,"48-49",74,0,2013,1,"","Marion County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,55,55,52,711819,0,0,1014
"29127",1,"48-49",74,0,2013,2,"","Marion County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,55,59,61,707983,0,0,934
"29127",1,"48-49",74,0,2013,3,"","Marion County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,62,59,57,799173,0,0,1036
"29127",1,"491",75,0,2013,1,"","Marion County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,55,55,52,711819,0,0,1014
"29127",1,"491",75,0,2013,2,"","Marion County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,55,59,61,707983,0,0,934
"29127",1,"491",75,0,2013,3,"","Marion County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,62,59,57,799173,0,0,1036
"29127",1,"4911",76,0,2013,1,"","Marion County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,55,55,52,711819,0,0,1014
"29127",1,"4911",76,0,2013,2,"","Marion County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,55,59,61,707983,0,0,934
"29127",1,"4911",76,0,2013,3,"","Marion County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,62,59,57,799173,0,0,1036
"29127",1,"49111",77,0,2013,1,"","Marion County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,55,55,52,711819,0,0,1014
"29127",1,"49111",77,0,2013,2,"","Marion County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,55,59,61,707983,0,0,934
"29127",1,"49111",77,0,2013,3,"","Marion County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,62,59,57,799173,0,0,1036
"29127",1,"491110",78,0,2013,1,"","Marion County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,55,55,52,711819,0,0,1014
