"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"29165",0,"10",70,0,2013,1,"","Platte County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2431,39316,38627,39160,394517433,249653928,5489347,777
"29165",0,"10",70,0,2013,2,"","Platte County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2445,39848,40167,39852,419488242,111844821,2470494,808
"29165",0,"10",70,0,2013,3,"","Platte County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2478,38790,39139,39364,383298406,57351115,1305390,754
"29165",1,"10",71,0,2013,1,"","Platte County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,500,498,502,9197401,0,0,1415
"29165",1,"10",71,0,2013,2,"","Platte County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,497,504,502,9395668,0,0,1443
"29165",1,"10",71,0,2013,3,"","Platte County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,502,500,496,9299667,0,0,1433
"29165",1,"102",72,0,2013,1,"","Platte County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,500,498,502,9197401,0,0,1415
"29165",1,"102",72,0,2013,2,"","Platte County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,497,504,502,9395668,0,0,1443
"29165",1,"102",72,0,2013,3,"","Platte County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,502,500,496,9299667,0,0,1433
"29165",1,"1021",73,0,2013,1,"","Platte County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,173,177,178,2891791,0,0,1264
"29165",1,"1021",73,0,2013,2,"","Platte County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,176,185,187,2435019,0,0,1025
"29165",1,"1021",73,0,2013,3,"","Platte County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,186,186,181,2797032,0,0,1167
"29165",1,"1024",73,0,2013,1,"","Platte County, Missouri","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,100437,0,0,1288
"29165",1,"1024",73,0,2013,2,"","Platte County, Missouri","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,112258,0,0,1439
"29165",1,"1024",73,0,2013,3,"","Platte County, Missouri","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,92638,0,0,1188
"29165",1,"1028",73,0,2013,1,"","Platte County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,321,315,318,6205173,0,0,1501
"29165",1,"1028",73,0,2013,2,"","Platte County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,315,313,309,6848391,0,0,1687
"29165",1,"1028",73,0,2013,3,"","Platte County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,310,308,309,6409997,0,0,1596
"29165",1,"48-49",74,0,2013,1,"","Platte County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,173,177,178,2891791,0,0,1264
"29165",1,"48-49",74,0,2013,2,"","Platte County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,176,185,187,2435019,0,0,1025
"29165",1,"48-49",74,0,2013,3,"","Platte County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,186,186,181,2797032,0,0,1167
"29165",1,"491",75,0,2013,1,"","Platte County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,173,177,178,2891791,0,0,1264
"29165",1,"491",75,0,2013,2,"","Platte County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,176,185,187,2435019,0,0,1025
"29165",1,"491",75,0,2013,3,"","Platte County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,186,186,181,2797032,0,0,1167
"29165",1,"4911",76,0,2013,1,"","Platte County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,173,177,178,2891791,0,0,1264
"29165",1,"4911",76,0,2013,2,"","Platte County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,176,185,187,2435019,0,0,1025
"29165",1,"4911",76,0,2013,3,"","Platte County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,186,186,181,2797032,0,0,1167
"29165",1,"49111",77,0,2013,1,"","Platte County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,173,177,178,2891791,0,0,1264
"29165",1,"49111",77,0,2013,2,"","Platte County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,176,185,187,2435019,0,0,1025
"29165",1,"49111",77,0,2013,3,"","Platte County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,186,186,181,2797032,0,0,1167
"29165",1,"491110",78,0,2013,1,"","Platte County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,173,177,178,2891791,0,0,1264
"29165",1,"491110",78,0,2013,2,"","Platte County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,176,185,187,2435019,0,0,1025
"29165",1,"491110",78,0,2013,3,"","Platte County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,186,186,181,2797032,0,0,1167
"29165",1,"54",74,0,2013,1,"","Platte County, Missouri","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,100437,0,0,1288
"29165",1,"54",74,0,2013,2,"","Platte County, Missouri","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,112258,0,0,1439
"29165",1,"54",74,0,2013,3,"","Platte County, Missouri","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,92638,0,0,1188
"29165",1,"541",75,0,2013,1,"","Platte County, Missouri","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,100437,0,0,1288
"29165",1,"541",75,0,2013,2,"","Platte County, Missouri","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,112258,0,0,1439
"29165",1,"541",75,0,2013,3,"","Platte County, Missouri","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,92638,0,0,1188
"29165",1,"5413",76,0,2013,1,"","Platte County, Missouri","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,100437,0,0,1288
"29165",1,"5413",76,0,2013,2,"","Platte County, Missouri","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,112258,0,0,1439
"29165",1,"5413",76,0,2013,3,"","Platte County, Missouri","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,92638,0,0,1188
"29165",1,"54133",77,0,2013,1,"","Platte County, Missouri","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,100437,0,0,1288
"29165",1,"54133",77,0,2013,2,"","Platte County, Missouri","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,112258,0,0,1439
"29165",1,"54133",77,0,2013,3,"","Platte County, Missouri","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,92638,0,0,1188
"29165",1,"541330",78,0,2013,1,"","Platte County, Missouri","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,100437,0,0,1288
"29165",1,"541330",78,0,2013,2,"","Platte County, Missouri","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,112258,0,0,1439
"29165",1,"541330",78,0,2013,3,"","Platte County, Missouri","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,92638,0,0,1188
"29165",1,"92",74,0,2013,1,"","Platte County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",12,321,315,318,6205173,0,0,1501
"29165",1,"92",74,0,2013,2,"","Platte County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",12,315,313,309,6848391,0,0,1687
"29165",1,"92",74,0,2013,3,"","Platte County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,310,308,309,6409997,0,0,1596
"29165",1,"921",75,0,2013,1,"","Platte County, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,20964,0,0,1613
"29165",1,"921",75,0,2013,2,"","Platte County, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,17410,0,0,1339
"29165",1,"921",75,0,2013,3,"","Platte County, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,20311,0,0,1562
"29165",1,"9211",76,0,2013,1,"","Platte County, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,20964,0,0,1613
"29165",1,"9211",76,0,2013,2,"","Platte County, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,17410,0,0,1339
"29165",1,"9211",76,0,2013,3,"","Platte County, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,20311,0,0,1562
"29165",1,"92119",77,0,2013,1,"","Platte County, Missouri","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,20964,0,0,1613
"29165",1,"92119",77,0,2013,2,"","Platte County, Missouri","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,17410,0,0,1339
"29165",1,"92119",77,0,2013,3,"","Platte County, Missouri","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,20311,0,0,1562
"29165",1,"921190",78,0,2013,1,"","Platte County, Missouri","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,20964,0,0,1613
"29165",1,"921190",78,0,2013,2,"","Platte County, Missouri","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,17410,0,0,1339
"29165",1,"921190",78,0,2013,3,"","Platte County, Missouri","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,20311,0,0,1562
"29165",1,"922",75,0,2013,1,"","Platte County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,93,92,92,1970864,0,0,1642
"29165",1,"922",75,0,2013,2,"","Platte County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,90,89,87,2163603,0,0,1877
"29165",1,"922",75,0,2013,3,"","Platte County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,88,88,87,2137413,0,0,1875
"29165",1,"9221",76,0,2013,1,"","Platte County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,93,92,92,1970864,0,0,1642
"29165",1,"9221",76,0,2013,2,"","Platte County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,90,89,87,2163603,0,0,1877
"29165",1,"9221",76,0,2013,3,"","Platte County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,88,88,87,2137413,0,0,1875
"29165",1,"92212",77,0,2013,1,"","Platte County, Missouri","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,82,81,81,1775350,0,0,1679
