"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"31025",0,"10",70,0,2013,1,"","Cass County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",662,4744,4713,4849,39906320,19828510,331623,644
"31025",0,"10",70,0,2013,2,"","Cass County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",672,4981,5253,5458,42042479,6842805,130355,618
"31025",0,"10",70,0,2013,3,"","Cass County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",675,5318,5262,5205,42121851,4299842,81317,616
"31025",1,"10",71,0,2013,1,"","Cass County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,64,62,68,695128,0,0,827
"31025",1,"10",71,0,2013,2,"","Cass County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,65,64,69,610304,0,0,711
"31025",1,"10",71,0,2013,3,"","Cass County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,64,73,66,682439,0,0,776
"31025",1,"102",72,0,2013,1,"","Cass County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,64,62,68,695128,0,0,827
"31025",1,"102",72,0,2013,2,"","Cass County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,65,64,69,610304,0,0,711
"31025",1,"102",72,0,2013,3,"","Cass County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,64,73,66,682439,0,0,776
"31025",1,"1021",73,0,2013,1,"","Cass County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,54,52,54,584028,0,0,842
"31025",1,"1021",73,0,2013,2,"","Cass County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,51,54,55,481044,0,0,694
"31025",1,"1021",73,0,2013,3,"","Cass County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,53,58,55,537809,0,0,748
"31025",1,"1028",73,0,2013,1,"","Cass County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,10,10,14,111100,0,0,754
"31025",1,"1028",73,0,2013,2,"","Cass County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,14,10,14,129260,0,0,785
"31025",1,"1028",73,0,2013,3,"","Cass County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,11,15,11,144630,0,0,902
"31025",1,"48-49",74,0,2013,1,"","Cass County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,54,52,54,584028,0,0,842
"31025",1,"48-49",74,0,2013,2,"","Cass County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,51,54,55,481044,0,0,694
"31025",1,"48-49",74,0,2013,3,"","Cass County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,53,58,55,537809,0,0,748
"31025",1,"491",75,0,2013,1,"","Cass County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,54,52,54,584028,0,0,842
"31025",1,"491",75,0,2013,2,"","Cass County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,51,54,55,481044,0,0,694
"31025",1,"491",75,0,2013,3,"","Cass County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,53,58,55,537809,0,0,748
"31025",1,"4911",76,0,2013,1,"","Cass County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,54,52,54,584028,0,0,842
"31025",1,"4911",76,0,2013,2,"","Cass County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,51,54,55,481044,0,0,694
"31025",1,"4911",76,0,2013,3,"","Cass County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,53,58,55,537809,0,0,748
"31025",1,"49111",77,0,2013,1,"","Cass County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,54,52,54,584028,0,0,842
"31025",1,"49111",77,0,2013,2,"","Cass County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,51,54,55,481044,0,0,694
"31025",1,"49111",77,0,2013,3,"","Cass County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,53,58,55,537809,0,0,748
"31025",1,"491110",78,0,2013,1,"","Cass County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,54,52,54,584028,0,0,842
