"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"31061",0,"10",70,0,2013,1,"","Franklin County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",130,795,787,805,5143933,2417684,35969,497
"31061",0,"10",70,0,2013,2,"","Franklin County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",131,789,817,796,5201296,1153264,18902,500
"31061",0,"10",70,0,2013,3,"","Franklin County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",132,772,821,768,5240793,544646,8765,512
"31061",1,"10",71,0,2013,1,"","Franklin County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,19,20,24,199284,0,0,730
"31061",1,"10",71,0,2013,2,"","Franklin County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,18,23,21,186205,0,0,693
"31061",1,"10",71,0,2013,3,"","Franklin County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,22,20,16,188268,0,0,749
"31061",1,"102",72,0,2013,1,"","Franklin County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,19,20,24,199284,0,0,730
"31061",1,"102",72,0,2013,2,"","Franklin County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,18,23,21,186205,0,0,693
"31061",1,"102",72,0,2013,3,"","Franklin County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,22,20,16,188268,0,0,749
"31061",1,"1021",73,0,2013,1,"","Franklin County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,12,13,15,109041,0,0,629
"31061",1,"1021",73,0,2013,2,"","Franklin County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,12,16,14,88834,0,0,488
