"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"31113",0,"10",70,0,2013,1,"","Logan County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",41,201,197,196,1183670,568427,6359,460
"31113",0,"10",70,0,2013,2,"","Logan County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",42,200,201,189,1336275,287444,3027,523
"31113",0,"10",70,0,2013,3,"","Logan County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",42,186,180,194,1226091,153688,1681,505
"31113",1,"10",71,0,2013,1,"","Logan County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,2,2,2,22892,0,0,880
"31113",1,"10",71,0,2013,2,"","Logan County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,2,2,2,17137,0,0,659
"31113",1,"10",71,0,2013,3,"","Logan County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,2,2,2,19403,0,0,746
"31113",1,"102",72,0,2013,1,"","Logan County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,2,2,2,22892,0,0,880
"31113",1,"102",72,0,2013,2,"","Logan County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,2,2,2,17137,0,0,659
"31113",1,"102",72,0,2013,3,"","Logan County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,2,2,2,19403,0,0,746
"31113",1,"1021",73,0,2013,1,"","Logan County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,22892,0,0,880
"31113",1,"1021",73,0,2013,2,"","Logan County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,17137,0,0,659
"31113",1,"1021",73,0,2013,3,"","Logan County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,19403,0,0,746
"31113",1,"48-49",74,0,2013,1,"","Logan County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,22892,0,0,880
"31113",1,"48-49",74,0,2013,2,"","Logan County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,17137,0,0,659
"31113",1,"48-49",74,0,2013,3,"","Logan County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,19403,0,0,746
"31113",1,"491",75,0,2013,1,"","Logan County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,22892,0,0,880
"31113",1,"491",75,0,2013,2,"","Logan County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,17137,0,0,659
"31113",1,"491",75,0,2013,3,"","Logan County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,19403,0,0,746
"31113",1,"4911",76,0,2013,1,"","Logan County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,22892,0,0,880
"31113",1,"4911",76,0,2013,2,"","Logan County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,17137,0,0,659
"31113",1,"4911",76,0,2013,3,"","Logan County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,19403,0,0,746
"31113",1,"49111",77,0,2013,1,"","Logan County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,22892,0,0,880
"31113",1,"49111",77,0,2013,2,"","Logan County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,17137,0,0,659
"31113",1,"49111",77,0,2013,3,"","Logan County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,19403,0,0,746
"31113",1,"491110",78,0,2013,1,"","Logan County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,22892,0,0,880
"31113",1,"491110",78,0,2013,2,"","Logan County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,17137,0,0,659
"31113",1,"491110",78,0,2013,3,"","Logan County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,19403,0,0,746
"31113",2,"10",71,0,2013,1,"N","Logan County, Nebraska","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0
"31113",2,"10",71,0,2013,2,"N","Logan County, Nebraska","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0
"31113",2,"10",71,0,2013,3,"N","Logan County, Nebraska","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0
"31113",2,"102",72,0,2013,1,"N","Logan County, Nebraska","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0
