"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"31147",0,"10",70,0,2013,1,"","Richardson County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",324,2344,2392,2396,16488674,10135324,175140,534
"31147",0,"10",70,0,2013,2,"","Richardson County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",328,2443,2493,2520,17039997,3779258,64019,527
"31147",0,"10",70,0,2013,3,"","Richardson County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",333,2444,2441,2460,17591990,2107727,38058,553
"31147",1,"10",71,0,2013,1,"","Richardson County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,32,33,36,383653,0,0,877
"31147",1,"10",71,0,2013,2,"","Richardson County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,32,35,37,349214,0,0,775
"31147",1,"10",71,0,2013,3,"","Richardson County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,39,35,37,383190,0,0,797
"31147",1,"102",72,0,2013,1,"","Richardson County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,32,33,36,383653,0,0,877
"31147",1,"102",72,0,2013,2,"","Richardson County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,32,35,37,349214,0,0,775
"31147",1,"102",72,0,2013,3,"","Richardson County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,39,35,37,383190,0,0,797
"31147",1,"1021",73,0,2013,1,"","Richardson County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,24,25,27,289695,0,0,880
"31147",1,"1021",73,0,2013,2,"","Richardson County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,24,27,29,239192,0,0,690
"31147",1,"1021",73,0,2013,3,"","Richardson County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,27,28,30,283009,0,0,768
"31147",1,"1028",73,0,2013,1,"","Richardson County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,8,8,9,93958,0,0,867
"31147",1,"1028",73,0,2013,2,"","Richardson County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,8,8,8,110022,0,0,1058
"31147",1,"1028",73,0,2013,3,"","Richardson County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,12,7,7,100181,0,0,889
"31147",1,"48-49",74,0,2013,1,"","Richardson County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,24,25,27,289695,0,0,880
"31147",1,"48-49",74,0,2013,2,"","Richardson County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,24,27,29,239192,0,0,690
"31147",1,"48-49",74,0,2013,3,"","Richardson County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,27,28,30,283009,0,0,768
"31147",1,"491",75,0,2013,1,"","Richardson County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,24,25,27,289695,0,0,880
"31147",1,"491",75,0,2013,2,"","Richardson County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,24,27,29,239192,0,0,690
"31147",1,"491",75,0,2013,3,"","Richardson County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,27,28,30,283009,0,0,768
"31147",1,"4911",76,0,2013,1,"","Richardson County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,24,25,27,289695,0,0,880
"31147",1,"4911",76,0,2013,2,"","Richardson County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,24,27,29,239192,0,0,690
"31147",1,"4911",76,0,2013,3,"","Richardson County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,27,28,30,283009,0,0,768
"31147",1,"49111",77,0,2013,1,"","Richardson County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,24,25,27,289695,0,0,880
"31147",1,"49111",77,0,2013,2,"","Richardson County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,24,27,29,239192,0,0,690
"31147",1,"49111",77,0,2013,3,"","Richardson County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,27,28,30,283009,0,0,768
"31147",1,"491110",78,0,2013,1,"","Richardson County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,24,25,27,289695,0,0,880
"31147",1,"491110",78,0,2013,2,"","Richardson County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,24,27,29,239192,0,0,690
"31147",1,"491110",78,0,2013,3,"","Richardson County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,27,28,30,283009,0,0,768
