"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"32510",0,"10",70,0,2013,1,"","Carson City, Nevada","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2100,26764,27131,27376,302151862,140650836,3164443,858
"32510",0,"10",70,0,2013,2,"","Carson City, Nevada","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2091,27516,27778,27946,303901493,107966650,2558625,843
"32510",0,"10",70,0,2013,3,"","Carson City, Nevada","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2090,27661,27579,27394,309625484,75617068,1843730,865
"32510",1,"10",71,0,2013,1,"","Carson City, Nevada","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,509,514,513,8434905,0,0,1267
"32510",1,"10",71,0,2013,2,"","Carson City, Nevada","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,524,551,567,9558716,0,0,1343
"32510",1,"10",71,0,2013,3,"","Carson City, Nevada","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,572,571,567,9900014,0,0,1336
"32510",1,"102",72,0,2013,1,"","Carson City, Nevada","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,509,514,513,8434905,0,0,1267
"32510",1,"102",72,0,2013,2,"","Carson City, Nevada","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,524,551,567,9558716,0,0,1343
"32510",1,"102",72,0,2013,3,"","Carson City, Nevada","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,572,571,567,9900014,0,0,1336
"32510",1,"1021",73,0,2013,1,"","Carson City, Nevada","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,83,83,86,1400000,0,0,1282
"32510",1,"1021",73,0,2013,2,"","Carson City, Nevada","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,83,87,85,1170281,0,0,1059
"32510",1,"1021",73,0,2013,3,"","Carson City, Nevada","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,87,83,81,1347588,0,0,1239
"32510",1,"1023",73,0,2013,1,"","Carson City, Nevada","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,20,20,20,362298,0,0,1393
"32510",1,"1023",73,0,2013,2,"","Carson City, Nevada","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,20,20,20,424144,0,0,1631
"32510",1,"1023",73,0,2013,3,"","Carson City, Nevada","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,20,20,20,424979,0,0,1635
"32510",1,"1028",73,0,2013,1,"","Carson City, Nevada","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,406,411,407,6672607,0,0,1258
"32510",1,"1028",73,0,2013,2,"","Carson City, Nevada","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,421,444,462,7964291,0,0,1385
"32510",1,"1028",73,0,2013,3,"","Carson City, Nevada","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,465,468,466,8127447,0,0,1341
"32510",1,"48-49",74,0,2013,1,"","Carson City, Nevada","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,83,83,86,1400000,0,0,1282
"32510",1,"48-49",74,0,2013,2,"","Carson City, Nevada","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,83,87,85,1170281,0,0,1059
"32510",1,"48-49",74,0,2013,3,"","Carson City, Nevada","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,87,83,81,1347588,0,0,1239
"32510",1,"491",75,0,2013,1,"","Carson City, Nevada","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,83,83,86,1400000,0,0,1282
"32510",1,"491",75,0,2013,2,"","Carson City, Nevada","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,83,87,85,1170281,0,0,1059
"32510",1,"491",75,0,2013,3,"","Carson City, Nevada","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,87,83,81,1347588,0,0,1239
"32510",1,"4911",76,0,2013,1,"","Carson City, Nevada","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,83,83,86,1400000,0,0,1282
"32510",1,"4911",76,0,2013,2,"","Carson City, Nevada","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,83,87,85,1170281,0,0,1059
"32510",1,"4911",76,0,2013,3,"","Carson City, Nevada","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,87,83,81,1347588,0,0,1239
"32510",1,"49111",77,0,2013,1,"","Carson City, Nevada","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,83,83,86,1400000,0,0,1282
"32510",1,"49111",77,0,2013,2,"","Carson City, Nevada","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,83,87,85,1170281,0,0,1059
"32510",1,"49111",77,0,2013,3,"","Carson City, Nevada","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,87,83,81,1347588,0,0,1239
"32510",1,"491110",78,0,2013,1,"","Carson City, Nevada","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,83,83,86,1400000,0,0,1282
"32510",1,"491110",78,0,2013,2,"","Carson City, Nevada","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,83,87,85,1170281,0,0,1059
"32510",1,"491110",78,0,2013,3,"","Carson City, Nevada","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,87,83,81,1347588,0,0,1239
"32510",1,"52",74,0,2013,1,"","Carson City, Nevada","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,20,20,20,362298,0,0,1393
"32510",1,"52",74,0,2013,2,"","Carson City, Nevada","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,20,20,20,424144,0,0,1631
"32510",1,"52",74,0,2013,3,"","Carson City, Nevada","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,20,20,20,424979,0,0,1635
"32510",1,"522",75,0,2013,1,"","Carson City, Nevada","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,20,20,20,362298,0,0,1393
"32510",1,"522",75,0,2013,2,"","Carson City, Nevada","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,20,20,20,424144,0,0,1631
"32510",1,"522",75,0,2013,3,"","Carson City, Nevada","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,20,20,20,424979,0,0,1635
"32510",1,"5222",76,0,2013,1,"","Carson City, Nevada","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,20,20,20,362298,0,0,1393
"32510",1,"5222",76,0,2013,2,"","Carson City, Nevada","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,20,20,20,424144,0,0,1631
"32510",1,"5222",76,0,2013,3,"","Carson City, Nevada","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,20,20,20,424979,0,0,1635
"32510",1,"52229",77,0,2013,1,"","Carson City, Nevada","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,20,20,20,362298,0,0,1393
"32510",1,"52229",77,0,2013,2,"","Carson City, Nevada","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,20,20,20,424144,0,0,1631
"32510",1,"52229",77,0,2013,3,"","Carson City, Nevada","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,20,20,20,424979,0,0,1635
"32510",1,"522292",78,0,2013,1,"","Carson City, Nevada","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,20,20,20,362298,0,0,1393
"32510",1,"522292",78,0,2013,2,"","Carson City, Nevada","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,20,20,20,424144,0,0,1631
"32510",1,"522292",78,0,2013,3,"","Carson City, Nevada","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,20,20,20,424979,0,0,1635
"32510",1,"92",74,0,2013,1,"","Carson City, Nevada","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",16,406,411,407,6672607,0,0,1258
"32510",1,"92",74,0,2013,2,"","Carson City, Nevada","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",16,421,444,462,7964291,0,0,1385
"32510",1,"92",74,0,2013,3,"","Carson City, Nevada","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",16,465,468,466,8127447,0,0,1341
"32510",1,"921",75,0,2013,1,"","Carson City, Nevada","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,25,25,25,424827,0,0,1307
"32510",1,"921",75,0,2013,2,"","Carson City, Nevada","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,25,19,19,361927,0,0,1326
"32510",1,"921",75,0,2013,3,"","Carson City, Nevada","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,19,20,20,358453,0,0,1402
"32510",1,"9211",76,0,2013,1,"","Carson City, Nevada","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,25,25,25,424827,0,0,1307
"32510",1,"9211",76,0,2013,2,"","Carson City, Nevada","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,25,19,19,361927,0,0,1326
"32510",1,"9211",76,0,2013,3,"","Carson City, Nevada","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,19,20,20,358453,0,0,1402
"32510",1,"92119",77,0,2013,1,"","Carson City, Nevada","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,25,25,25,424827,0,0,1307
"32510",1,"92119",77,0,2013,2,"","Carson City, Nevada","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,25,19,19,361927,0,0,1326
"32510",1,"92119",77,0,2013,3,"","Carson City, Nevada","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,19,20,20,358453,0,0,1402
