"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"33009",0,"10",70,0,2013,1,"","Grafton County, New Hampshire","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3215,51920,52263,52151,642126524,230558658,5691038,948
"33009",0,"10",70,0,2013,2,"","Grafton County, New Hampshire","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3231,51277,51662,52050,648157016,106236770,2526548,965
"33009",0,"10",70,0,2013,3,"","Grafton County, New Hampshire","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3259,51789,52488,52554,618625429,60498491,1248521,910
"33009",1,"10",71,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",44,508,493,489,8328602,0,0,1290
"33009",1,"10",71,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",45,496,491,502,8543650,0,0,1324
"33009",1,"10",71,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",44,520,522,507,8160256,0,0,1216
"33009",1,"102",72,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",44,508,493,489,8328602,0,0,1290
"33009",1,"102",72,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",45,496,491,502,8543650,0,0,1324
"33009",1,"102",72,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",44,520,522,507,8160256,0,0,1216
"33009",1,"1021",73,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",31,186,183,179,2504893,0,0,1055
"33009",1,"1021",73,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",31,183,176,174,2044312,0,0,885
"33009",1,"1021",73,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",30,174,178,179,2474366,0,0,1075
"33009",1,"1024",73,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,215,204,206,4267521,0,0,1576
"33009",1,"1024",73,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,206,206,203,4736232,0,0,1777
"33009",1,"1024",73,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,211,209,205,3743291,0,0,1382
"33009",1,"1028",73,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,107,106,104,1556188,0,0,1133
"33009",1,"1028",73,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,107,109,125,1763106,0,0,1193
"33009",1,"1028",73,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,135,135,123,1942599,0,0,1141
"33009",1,"48-49",74,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",31,186,183,179,2504893,0,0,1055
"33009",1,"48-49",74,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",31,183,176,174,2044312,0,0,885
"33009",1,"48-49",74,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",30,174,178,179,2474366,0,0,1075
"33009",1,"491",75,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",31,186,183,179,2504893,0,0,1055
"33009",1,"491",75,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",31,183,176,174,2044312,0,0,885
"33009",1,"491",75,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",30,174,178,179,2474366,0,0,1075
"33009",1,"4911",76,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",31,186,183,179,2504893,0,0,1055
"33009",1,"4911",76,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",31,183,176,174,2044312,0,0,885
"33009",1,"4911",76,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",30,174,178,179,2474366,0,0,1075
"33009",1,"49111",77,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",31,186,183,179,2504893,0,0,1055
"33009",1,"49111",77,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",31,183,176,174,2044312,0,0,885
"33009",1,"49111",77,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",30,174,178,179,2474366,0,0,1075
"33009",1,"491110",78,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",31,186,183,179,2504893,0,0,1055
"33009",1,"491110",78,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",31,183,176,174,2044312,0,0,885
"33009",1,"491110",78,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",30,174,178,179,2474366,0,0,1075
"33009",1,"54",74,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,215,204,206,4267521,0,0,1576
"33009",1,"54",74,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,206,206,203,4736232,0,0,1777
"33009",1,"54",74,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,211,209,205,3743291,0,0,1382
"33009",1,"541",75,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,215,204,206,4267521,0,0,1576
"33009",1,"541",75,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,206,206,203,4736232,0,0,1777
"33009",1,"541",75,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,211,209,205,3743291,0,0,1382
"33009",1,"5413",76,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,214,203,205,4239711,0,0,1573
"33009",1,"5413",76,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,205,205,202,4702661,0,0,1773
"33009",1,"5413",76,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,210,208,204,3704125,0,0,1374
"33009",1,"54133",77,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,214,203,205,4239711,0,0,1573
"33009",1,"54133",77,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,205,205,202,4702661,0,0,1773
"33009",1,"54133",77,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,210,208,204,3704125,0,0,1374
"33009",1,"541330",78,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,214,203,205,4239711,0,0,1573
"33009",1,"541330",78,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,205,205,202,4702661,0,0,1773
"33009",1,"541330",78,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,210,208,204,3704125,0,0,1374
"33009",1,"5417",76,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Scientific research and development services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,27810,0,0,2139
"33009",1,"5417",76,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Scientific research and development services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,33571,0,0,2582
"33009",1,"5417",76,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Scientific research and development services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,39166,0,0,3013
"33009",1,"54171",77,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Physical, engineering and biological research","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,27810,0,0,2139
"33009",1,"54171",77,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Physical, engineering and biological research","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,33571,0,0,2582
"33009",1,"54171",77,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Physical, engineering and biological research","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,39166,0,0,3013
"33009",1,"541712",78,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Other physical and biological research","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,27810,0,0,2139
"33009",1,"541712",78,0,2013,2,"","Grafton County, New Hampshire","Federal Government","Other physical and biological research","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,33571,0,0,2582
"33009",1,"541712",78,0,2013,3,"","Grafton County, New Hampshire","Federal Government","Other physical and biological research","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,39166,0,0,3013
"33009",1,"92",74,0,2013,1,"","Grafton County, New Hampshire","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,107,106,104,1556188,0,0,1133
