"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"36015",0,"10",70,0,2013,1,"","Chemung County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1972,37213,36410,36439,391649090,149327038,7396100,821
"36015",0,"10",70,0,2013,2,"","Chemung County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1982,36505,37033,37371,388117685,40932491,1782592,808
"36015",0,"10",70,0,2013,3,"","Chemung County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1989,36345,36337,36690,375332665,27163252,1265362,792
"36015",1,"10",71,0,2013,1,"","Chemung County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,222,221,214,3359844,0,0,1180
"36015",1,"10",71,0,2013,2,"","Chemung County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,216,209,216,3107727,0,0,1119
"36015",1,"10",71,0,2013,3,"","Chemung County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,212,211,211,3258453,0,0,1186
"36015",1,"102",72,0,2013,1,"","Chemung County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,222,221,214,3359844,0,0,1180
"36015",1,"102",72,0,2013,2,"","Chemung County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,216,209,216,3107727,0,0,1119
"36015",1,"102",72,0,2013,3,"","Chemung County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,212,211,211,3258453,0,0,1186
"36015",1,"1021",73,0,2013,1,"","Chemung County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,165,165,158,2545843,0,0,1204
"36015",1,"1021",73,0,2013,2,"","Chemung County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,165,157,165,2279913,0,0,1080
"36015",1,"1021",73,0,2013,3,"","Chemung County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,161,163,163,2500024,0,0,1185
"36015",1,"1028",73,0,2013,1,"","Chemung County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,57,56,56,814001,0,0,1112
"36015",1,"1028",73,0,2013,2,"","Chemung County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,51,52,51,827814,0,0,1240
"36015",1,"1028",73,0,2013,3,"","Chemung County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,51,48,48,758429,0,0,1191
"36015",1,"48-49",74,0,2013,1,"","Chemung County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,165,165,158,2545843,0,0,1204
"36015",1,"48-49",74,0,2013,2,"","Chemung County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,165,157,165,2279913,0,0,1080
"36015",1,"48-49",74,0,2013,3,"","Chemung County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,161,163,163,2500024,0,0,1185
"36015",1,"488",75,0,2013,1,"","Chemung County, New York","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,25,25,26,497273,0,0,1510
"36015",1,"488",75,0,2013,2,"","Chemung County, New York","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,25,25,26,531853,0,0,1615
"36015",1,"488",75,0,2013,3,"","Chemung County, New York","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,25,25,25,465029,0,0,1431
"36015",1,"4881",76,0,2013,1,"","Chemung County, New York","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,25,25,26,497273,0,0,1510
"36015",1,"4881",76,0,2013,2,"","Chemung County, New York","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,25,25,26,531853,0,0,1615
"36015",1,"4881",76,0,2013,3,"","Chemung County, New York","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,25,25,25,465029,0,0,1431
"36015",1,"48811",77,0,2013,1,"","Chemung County, New York","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,25,25,26,497273,0,0,1510
"36015",1,"48811",77,0,2013,2,"","Chemung County, New York","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,25,25,26,531853,0,0,1615
"36015",1,"48811",77,0,2013,3,"","Chemung County, New York","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,25,25,25,465029,0,0,1431
"36015",1,"488111",78,0,2013,1,"","Chemung County, New York","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,25,25,26,497273,0,0,1510
"36015",1,"488111",78,0,2013,2,"","Chemung County, New York","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,25,25,26,531853,0,0,1615
"36015",1,"488111",78,0,2013,3,"","Chemung County, New York","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,25,25,25,465029,0,0,1431
"36015",1,"491",75,0,2013,1,"","Chemung County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,140,140,132,2048570,0,0,1147
"36015",1,"491",75,0,2013,2,"","Chemung County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,140,132,139,1748060,0,0,982
"36015",1,"491",75,0,2013,3,"","Chemung County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,136,138,138,2034995,0,0,1140
"36015",1,"4911",76,0,2013,1,"","Chemung County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,140,140,132,2048570,0,0,1147
"36015",1,"4911",76,0,2013,2,"","Chemung County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,140,132,139,1748060,0,0,982
"36015",1,"4911",76,0,2013,3,"","Chemung County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,136,138,138,2034995,0,0,1140
"36015",1,"49111",77,0,2013,1,"","Chemung County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,140,140,132,2048570,0,0,1147
"36015",1,"49111",77,0,2013,2,"","Chemung County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,140,132,139,1748060,0,0,982
"36015",1,"49111",77,0,2013,3,"","Chemung County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,136,138,138,2034995,0,0,1140
"36015",1,"491110",78,0,2013,1,"","Chemung County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,140,140,132,2048570,0,0,1147
"36015",1,"491110",78,0,2013,2,"","Chemung County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,140,132,139,1748060,0,0,982
"36015",1,"491110",78,0,2013,3,"","Chemung County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,136,138,138,2034995,0,0,1140
"36015",1,"92",74,0,2013,1,"","Chemung County, New York","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,57,56,56,814001,0,0,1112
"36015",1,"92",74,0,2013,2,"","Chemung County, New York","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,51,52,51,827814,0,0,1240
"36015",1,"92",74,0,2013,3,"","Chemung County, New York","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,51,48,48,758429,0,0,1191
"36015",1,"921",75,0,2013,1,"","Chemung County, New York","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,7,7,7,122250,0,0,1343
