"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"36031",0,"10",70,0,2013,1,"","Essex County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1237,14428,14485,14282,127103057,47246210,2346027,679
"36031",0,"10",70,0,2013,2,"","Essex County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1256,13564,14032,15000,130843445,17611837,884406,709
"36031",0,"10",70,0,2013,3,"","Essex County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1263,15305,15243,14752,132350605,16581793,881855,674
"36031",1,"10",71,0,2013,1,"","Essex County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,325,328,323,4513570,0,0,1067
"36031",1,"10",71,0,2013,2,"","Essex County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,329,331,326,4840993,0,0,1133
"36031",1,"10",71,0,2013,3,"","Essex County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,321,323,327,4976339,0,0,1183
"36031",1,"102",72,0,2013,1,"","Essex County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,325,328,323,4513570,0,0,1067
"36031",1,"102",72,0,2013,2,"","Essex County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,329,331,326,4840993,0,0,1133
"36031",1,"102",72,0,2013,3,"","Essex County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,321,323,327,4976339,0,0,1183
"36031",1,"1021",73,0,2013,1,"","Essex County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",28,75,77,74,939371,0,0,959
"36031",1,"1021",73,0,2013,2,"","Essex County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",28,76,79,77,775230,0,0,771
"36031",1,"1021",73,0,2013,3,"","Essex County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",28,75,77,77,920038,0,0,927
"36031",1,"1028",73,0,2013,1,"","Essex County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,250,251,249,3574199,0,0,1100
"36031",1,"1028",73,0,2013,2,"","Essex County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,253,252,249,4065763,0,0,1244
"36031",1,"1028",73,0,2013,3,"","Essex County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,246,246,250,4056301,0,0,1262
