"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"36061",0,"10",70,0,2013,1,"","New York County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",123349,2378039,2392068,2403148,76016507231,13362618014,638913753,2446
"36061",0,"10",70,0,2013,2,"","New York County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",123888,2414798,2423786,2433657,52799072314,2633413244,124316369,1675
"36061",0,"10",70,0,2013,3,"","New York County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",125083,2427327,2413208,2424459,52467582973,1997884868,96433573,1667
"36061",1,"10",71,0,2013,1,"","New York County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",147,21598,21732,21341,455346712,0,0,1625
"36061",1,"10",71,0,2013,2,"","New York County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",147,21658,21259,21402,453011069,0,0,1625
"36061",1,"10",71,0,2013,3,"","New York County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",148,21440,21521,21385,473763235,0,0,1699
"36061",1,"102",72,0,2013,1,"","New York County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",147,21598,21732,21341,455346712,0,0,1625
"36061",1,"102",72,0,2013,2,"","New York County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",147,21658,21259,21402,453011069,0,0,1625
"36061",1,"102",72,0,2013,3,"","New York County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",148,21440,21521,21385,473763235,0,0,1699
"36061",1,"1021",73,0,2013,1,"","New York County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",53,7295,7478,7102,124463457,0,0,1313
"36061",1,"1021",73,0,2013,2,"","New York County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",53,7432,7099,7199,101393909,0,0,1077
"36061",1,"1021",73,0,2013,3,"","New York County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",54,7185,7253,7235,117601988,0,0,1252
"36061",1,"1022",73,0,2013,1,"","New York County, New York","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,17,16,16,283171,0,0,1334
"36061",1,"1022",73,0,2013,2,"","New York County, New York","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,16,15,15,318250,0,0,1597
"36061",1,"1022",73,0,2013,3,"","New York County, New York","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,15,14,14,238125,0,0,1278
"36061",1,"1023",73,0,2013,1,"","New York County, New York","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,280,283,285,9884389,0,0,2690
"36061",1,"1023",73,0,2013,2,"","New York County, New York","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,286,284,284,11563314,0,0,3125
"36061",1,"1023",73,0,2013,3,"","New York County, New York","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,286,291,285,11558792,0,0,3094
"36061",1,"1024",73,0,2013,1,"","New York County, New York","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,396,394,394,9214782,0,0,1796
"36061",1,"1024",73,0,2013,2,"","New York County, New York","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,392,393,395,10538153,0,0,2061
"36061",1,"1024",73,0,2013,3,"","New York County, New York","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,407,402,399,8869756,0,0,1694
"36061",1,"1025",73,0,2013,1,"","New York County, New York","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1819,1802,1813,42983840,0,0,1825
"36061",1,"1025",73,0,2013,2,"","New York County, New York","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1819,1824,1834,36212762,0,0,1526
"36061",1,"1025",73,0,2013,3,"","New York County, New York","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1847,1854,1891,42937210,0,0,1772
"36061",1,"1026",73,0,2013,1,"","New York County, New York","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",4,515,525,521,8963635,0,0,1325
"36061",1,"1026",73,0,2013,2,"","New York County, New York","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",4,513,519,537,9464555,0,0,1392
"36061",1,"1026",73,0,2013,3,"","New York County, New York","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",4,552,565,560,9212995,0,0,1268
"36061",1,"1028",73,0,2013,1,"","New York County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",83,11276,11234,11210,259553438,0,0,1776
"36061",1,"1028",73,0,2013,2,"","New York County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",83,11200,11125,11138,283520126,0,0,1955
"36061",1,"1028",73,0,2013,3,"","New York County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",83,11148,11142,11001,283344369,0,0,1964
"36061",1,"48-49",74,0,2013,1,"","New York County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",53,7295,7478,7102,124463457,0,0,1313
"36061",1,"48-49",74,0,2013,2,"","New York County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",53,7432,7099,7199,101393909,0,0,1077
"36061",1,"48-49",74,0,2013,3,"","New York County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",54,7185,7253,7235,117601988,0,0,1252
"36061",1,"491",75,0,2013,1,"","New York County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",53,7295,7478,7102,124463457,0,0,1313
"36061",1,"491",75,0,2013,2,"","New York County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",53,7432,7099,7199,101393909,0,0,1077
"36061",1,"491",75,0,2013,3,"","New York County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",54,7185,7253,7235,117601988,0,0,1252
"36061",1,"4911",76,0,2013,1,"","New York County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",53,7295,7478,7102,124463457,0,0,1313
"36061",1,"4911",76,0,2013,2,"","New York County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",53,7432,7099,7199,101393909,0,0,1077
"36061",1,"4911",76,0,2013,3,"","New York County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",54,7185,7253,7235,117601988,0,0,1252
"36061",1,"49111",77,0,2013,1,"","New York County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",53,7295,7478,7102,124463457,0,0,1313
"36061",1,"49111",77,0,2013,2,"","New York County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",53,7432,7099,7199,101393909,0,0,1077
"36061",1,"49111",77,0,2013,3,"","New York County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",54,7185,7253,7235,117601988,0,0,1252
"36061",1,"491110",78,0,2013,1,"","New York County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",53,7295,7478,7102,124463457,0,0,1313
"36061",1,"491110",78,0,2013,2,"","New York County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",53,7432,7099,7199,101393909,0,0,1077
"36061",1,"491110",78,0,2013,3,"","New York County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",54,7185,7253,7235,117601988,0,0,1252
"36061",1,"51",74,0,2013,1,"","New York County, New York","Federal Government","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",1,17,16,16,283171,0,0,1334
"36061",1,"51",74,0,2013,2,"","New York County, New York","Federal Government","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,15,15,318250,0,0,1597
"36061",1,"51",74,0,2013,3,"","New York County, New York","Federal Government","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,14,14,238125,0,0,1278
"36061",1,"519",75,0,2013,1,"","New York County, New York","Federal Government","Other information services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,17,16,16,283171,0,0,1334
"36061",1,"519",75,0,2013,2,"","New York County, New York","Federal Government","Other information services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,15,15,318250,0,0,1597
"36061",1,"519",75,0,2013,3,"","New York County, New York","Federal Government","Other information services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,14,14,238125,0,0,1278
"36061",1,"5191",76,0,2013,1,"","New York County, New York","Federal Government","Other information services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,17,16,16,283171,0,0,1334
"36061",1,"5191",76,0,2013,2,"","New York County, New York","Federal Government","Other information services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,15,15,318250,0,0,1597
"36061",1,"5191",76,0,2013,3,"","New York County, New York","Federal Government","Other information services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,14,14,238125,0,0,1278
"36061",1,"51912",77,0,2013,1,"","New York County, New York","Federal Government","Libraries and archives","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,17,16,16,283171,0,0,1334
"36061",1,"51912",77,0,2013,2,"","New York County, New York","Federal Government","Libraries and archives","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,15,15,318250,0,0,1597
"36061",1,"51912",77,0,2013,3,"","New York County, New York","Federal Government","Libraries and archives","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,14,14,238125,0,0,1278
"36061",1,"519120",78,0,2013,1,"","New York County, New York","Federal Government","Libraries and archives","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,17,16,16,283171,0,0,1334
"36061",1,"519120",78,0,2013,2,"","New York County, New York","Federal Government","Libraries and archives","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,15,15,318250,0,0,1597
"36061",1,"519120",78,0,2013,3,"","New York County, New York","Federal Government","Libraries and archives","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,14,14,238125,0,0,1278
"36061",1,"52",74,0,2013,1,"","New York County, New York","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",3,280,283,285,9884389,0,0,2690
"36061",1,"52",74,0,2013,2,"","New York County, New York","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",3,286,284,284,11563314,0,0,3125
"36061",1,"52",74,0,2013,3,"","New York County, New York","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",3,286,291,285,11558792,0,0,3094
"36061",1,"522",75,0,2013,1,"","New York County, New York","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,27,27,28,792213,0,0,2229
"36061",1,"522",75,0,2013,2,"","New York County, New York","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,29,29,29,683437,0,0,1813
"36061",1,"522",75,0,2013,3,"","New York County, New York","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,29,30,31,869989,0,0,2231
"36061",1,"5222",76,0,2013,1,"","New York County, New York","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,27,27,28,792213,0,0,2229
"36061",1,"5222",76,0,2013,2,"","New York County, New York","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,29,29,29,683437,0,0,1813
