"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"36071",0,"10",70,0,2013,1,"","Orange County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",9799,130180,130109,130649,1337653580,509241605,21850636,790
"36071",0,"10",70,0,2013,2,"","Orange County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",9841,131789,132800,134524,1418712095,180696732,7441489,820
"36071",0,"10",70,0,2013,3,"","Orange County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",9979,126773,126832,133270,1265777441,114576507,4747600,755
"36071",1,"10",71,0,2013,1,"","Orange County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",97,4925,4943,4878,72320620,0,0,1132
"36071",1,"10",71,0,2013,2,"","Orange County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",97,4836,4758,4755,75776472,0,0,1219
"36071",1,"10",71,0,2013,3,"","Orange County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",94,4688,4707,4687,67053820,0,0,1099
"36071",1,"102",72,0,2013,1,"","Orange County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",97,4925,4943,4878,72320620,0,0,1132
"36071",1,"102",72,0,2013,2,"","Orange County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",97,4836,4758,4755,75776472,0,0,1219
"36071",1,"102",72,0,2013,3,"","Orange County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",94,4688,4707,4687,67053820,0,0,1099
"36071",1,"1021",73,0,2013,1,"","Orange County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",50,1110,1106,1062,14998988,0,0,1056
"36071",1,"1021",73,0,2013,2,"","Orange County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",50,1098,1075,1086,12766460,0,0,904
"36071",1,"1021",73,0,2013,3,"","Orange County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",48,1070,1067,974,13380541,0,0,993
"36071",1,"1023",73,0,2013,1,"","Orange County, New York","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,5,118044,0,0,1816
"36071",1,"1023",73,0,2013,2,"","Orange County, New York","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,5,118680,0,0,1826
"36071",1,"1023",73,0,2013,3,"","Orange County, New York","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,5,132503,0,0,2039
"36071",1,"1024",73,0,2013,1,"","Orange County, New York","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",8,37,35,33,597316,0,0,1313
"36071",1,"1024",73,0,2013,2,"","Orange County, New York","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",8,38,35,37,679702,0,0,1426
"36071",1,"1024",73,0,2013,3,"","Orange County, New York","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",8,36,36,32,549421,0,0,1219
"36071",1,"1025",73,0,2013,1,"","Orange County, New York","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",6,1435,1442,1428,23071215,0,0,1237
"36071",1,"1025",73,0,2013,2,"","Orange County, New York","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",6,1417,1408,1402,25723792,0,0,1404
"36071",1,"1025",73,0,2013,3,"","Orange County, New York","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",6,1348,1338,1378,20562303,0,0,1168
"36071",1,"1026",73,0,2013,1,"","Orange County, New York","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",10,531,561,557,3317315,0,0,464
"36071",1,"1026",73,0,2013,2,"","Orange County, New York","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",10,527,491,476,4082832,0,0,631
