"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"36123",0,"10",70,0,2013,1,"","Yates County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",635,6249,6584,6719,49932482,20780960,877893,589
"36123",0,"10",70,0,2013,2,"","Yates County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",635,6969,7191,7013,53807480,8625070,350467,586
"36123",0,"10",70,0,2013,3,"","Yates County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",637,6955,7026,7201,51351359,6068016,266071,559
"36123",1,"10",71,0,2013,1,"","Yates County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,56,60,60,745469,0,0,977
"36123",1,"10",71,0,2013,2,"","Yates County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,59,61,61,639540,0,0,815
"36123",1,"10",71,0,2013,3,"","Yates County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,60,63,61,739659,0,0,928
"36123",1,"102",72,0,2013,1,"","Yates County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,56,60,60,745469,0,0,977
"36123",1,"102",72,0,2013,2,"","Yates County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,59,61,61,639540,0,0,815
"36123",1,"102",72,0,2013,3,"","Yates County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,60,63,61,739659,0,0,928
"36123",1,"1021",73,0,2013,1,"","Yates County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,49,53,53,601765,0,0,896
"36123",1,"1021",73,0,2013,2,"","Yates County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,52,54,54,505740,0,0,729
"36123",1,"1021",73,0,2013,3,"","Yates County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,53,56,54,604183,0,0,855
"36123",1,"1028",73,0,2013,1,"","Yates County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,7,7,7,143704,0,0,1579
"36123",1,"1028",73,0,2013,2,"","Yates County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,7,7,7,133800,0,0,1470
"36123",1,"1028",73,0,2013,3,"","Yates County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,7,7,7,135476,0,0,1489
"36123",1,"48-49",74,0,2013,1,"","Yates County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,49,53,53,601765,0,0,896
"36123",1,"48-49",74,0,2013,2,"","Yates County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,52,54,54,505740,0,0,729
"36123",1,"48-49",74,0,2013,3,"","Yates County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,53,56,54,604183,0,0,855
