"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"37191",0,"10",70,0,2013,1,"","Wayne County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2300,42569,42824,42869,358409061,217689636,4719448,645
"37191",0,"10",70,0,2013,2,"","Wayne County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2294,42717,42997,43096,356337575,156490186,3231721,638
"37191",0,"10",70,0,2013,3,"","Wayne County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2279,41714,42738,43213,360517991,140782062,2242326,652
"37191",1,"10",71,0,2013,1,"","Wayne County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",34,1252,1243,1233,16146332,0,0,999
"37191",1,"10",71,0,2013,2,"","Wayne County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,1239,1239,1249,14514484,0,0,899
"37191",1,"10",71,0,2013,3,"","Wayne County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,1248,1236,1225,14759279,0,0,918
"37191",1,"102",72,0,2013,1,"","Wayne County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",34,1252,1243,1233,16146332,0,0,999
"37191",1,"102",72,0,2013,2,"","Wayne County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,1239,1239,1249,14514484,0,0,899
"37191",1,"102",72,0,2013,3,"","Wayne County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,1248,1236,1225,14759279,0,0,918
"37191",1,"1021",73,0,2013,1,"","Wayne County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,262,267,265,2890136,0,0,840
"37191",1,"1021",73,0,2013,2,"","Wayne County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,274,269,268,2557913,0,0,728
"37191",1,"1021",73,0,2013,3,"","Wayne County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,269,261,258,2738058,0,0,802
"37191",1,"1024",73,0,2013,1,"","Wayne County, North Carolina","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,6,125849,0,0,1452
"37191",1,"1024",73,0,2013,2,"","Wayne County, North Carolina","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,124321,0,0,1594
"37191",1,"1024",73,0,2013,3,"","Wayne County, North Carolina","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,95254,0,0,1221
"37191",1,"1026",73,0,2013,1,"","Wayne County, North Carolina","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",15,225,221,220,966097,0,0,335
"37191",1,"1026",73,0,2013,2,"","Wayne County, North Carolina","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",14,218,226,243,1175851,0,0,395
"37191",1,"1026",73,0,2013,3,"","Wayne County, North Carolina","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",14,240,242,235,1017777,0,0,328
"37191",1,"1028",73,0,2013,1,"","Wayne County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,758,748,742,12164250,0,0,1249
"37191",1,"1028",73,0,2013,2,"","Wayne County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,741,738,732,10656399,0,0,1112
"37191",1,"1028",73,0,2013,3,"","Wayne County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,733,727,726,10908190,0,0,1152
"37191",1,"44-45",74,0,2013,1,"","Wayne County, North Carolina","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,122,124,124,814425,0,0,508
"37191",1,"44-45",74,0,2013,2,"","Wayne County, North Carolina","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,130,125,127,862218,0,0,521
"37191",1,"44-45",74,0,2013,3,"","Wayne County, North Carolina","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,124,124,123,798938,0,0,497
"37191",1,"445",75,0,2013,1,"","Wayne County, North Carolina","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,49,47,50,434889,0,0,687
"37191",1,"445",75,0,2013,2,"","Wayne County, North Carolina","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,50,49,50,377895,0,0,585
"37191",1,"445",75,0,2013,3,"","Wayne County, North Carolina","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,50,50,48,405236,0,0,632
"37191",1,"4451",76,0,2013,1,"","Wayne County, North Carolina","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,49,47,50,434889,0,0,687
"37191",1,"4451",76,0,2013,2,"","Wayne County, North Carolina","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,50,49,50,377895,0,0,585
"37191",1,"4451",76,0,2013,3,"","Wayne County, North Carolina","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,50,50,48,405236,0,0,632
"37191",1,"44511",77,0,2013,1,"","Wayne County, North Carolina","Federal Government","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,49,47,50,434889,0,0,687
"37191",1,"44511",77,0,2013,2,"","Wayne County, North Carolina","Federal Government","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,50,49,50,377895,0,0,585
"37191",1,"44511",77,0,2013,3,"","Wayne County, North Carolina","Federal Government","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,50,50,48,405236,0,0,632
"37191",1,"445110",78,0,2013,1,"","Wayne County, North Carolina","Federal Government","Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,49,47,50,434889,0,0,687
"37191",1,"445110",78,0,2013,2,"","Wayne County, North Carolina","Federal Government","Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,50,49,50,377895,0,0,585
"37191",1,"445110",78,0,2013,3,"","Wayne County, North Carolina","Federal Government","Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,50,50,48,405236,0,0,632
"37191",1,"452",75,0,2013,1,"","Wayne County, North Carolina","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,73,77,74,379536,0,0,391
"37191",1,"452",75,0,2013,2,"","Wayne County, North Carolina","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,80,76,77,484323,0,0,480
"37191",1,"452",75,0,2013,3,"","Wayne County, North Carolina","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,74,74,75,393702,0,0,407
"37191",1,"4521",76,0,2013,1,"","Wayne County, North Carolina","Federal Government","Department stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,73,77,74,379536,0,0,391
"37191",1,"4521",76,0,2013,2,"","Wayne County, North Carolina","Federal Government","Department stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,80,76,77,484323,0,0,480
"37191",1,"4521",76,0,2013,3,"","Wayne County, North Carolina","Federal Government","Department stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,74,74,75,393702,0,0,407
"37191",1,"45211",77,0,2013,1,"","Wayne County, North Carolina","Federal Government","Department stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,73,77,74,379536,0,0,391
"37191",1,"45211",77,0,2013,2,"","Wayne County, North Carolina","Federal Government","Department stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,80,76,77,484323,0,0,480
"37191",1,"45211",77,0,2013,3,"","Wayne County, North Carolina","Federal Government","Department stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,74,74,75,393702,0,0,407
"37191",1,"452111",78,0,2013,1,"","Wayne County, North Carolina","Federal Government","Department stores, except discount","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,73,77,74,379536,0,0,391
"37191",1,"452111",78,0,2013,2,"","Wayne County, North Carolina","Federal Government","Department stores, except discount","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,80,76,77,484323,0,0,480
"37191",1,"452111",78,0,2013,3,"","Wayne County, North Carolina","Federal Government","Department stores, except discount","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,74,74,75,393702,0,0,407
"37191",1,"48-49",74,0,2013,1,"","Wayne County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,140,143,141,2075711,0,0,1130
"37191",1,"48-49",74,0,2013,2,"","Wayne County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,144,144,141,1695695,0,0,912
"37191",1,"48-49",74,0,2013,3,"","Wayne County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,145,137,135,1939120,0,0,1073
"37191",1,"491",75,0,2013,1,"","Wayne County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,140,143,141,2075711,0,0,1130
"37191",1,"491",75,0,2013,2,"","Wayne County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,144,144,141,1695695,0,0,912
"37191",1,"491",75,0,2013,3,"","Wayne County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,145,137,135,1939120,0,0,1073
"37191",1,"4911",76,0,2013,1,"","Wayne County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,140,143,141,2075711,0,0,1130
"37191",1,"4911",76,0,2013,2,"","Wayne County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,144,144,141,1695695,0,0,912
"37191",1,"4911",76,0,2013,3,"","Wayne County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,145,137,135,1939120,0,0,1073
"37191",1,"49111",77,0,2013,1,"","Wayne County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,140,143,141,2075711,0,0,1130
"37191",1,"49111",77,0,2013,2,"","Wayne County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,144,144,141,1695695,0,0,912
"37191",1,"49111",77,0,2013,3,"","Wayne County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,145,137,135,1939120,0,0,1073
"37191",1,"491110",78,0,2013,1,"","Wayne County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,140,143,141,2075711,0,0,1130
"37191",1,"491110",78,0,2013,2,"","Wayne County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,144,144,141,1695695,0,0,912
"37191",1,"491110",78,0,2013,3,"","Wayne County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,145,137,135,1939120,0,0,1073
"37191",1,"54",74,0,2013,1,"","Wayne County, North Carolina","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,7,6,125849,0,0,1452
"37191",1,"54",74,0,2013,2,"","Wayne County, North Carolina","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,124321,0,0,1594
"37191",1,"54",74,0,2013,3,"","Wayne County, North Carolina","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,95254,0,0,1221
"37191",1,"541",75,0,2013,1,"","Wayne County, North Carolina","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,7,6,125849,0,0,1452
"37191",1,"541",75,0,2013,2,"","Wayne County, North Carolina","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,124321,0,0,1594
"37191",1,"541",75,0,2013,3,"","Wayne County, North Carolina","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,95254,0,0,1221
"37191",1,"5413",76,0,2013,1,"","Wayne County, North Carolina","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,7,6,125849,0,0,1452
"37191",1,"5413",76,0,2013,2,"","Wayne County, North Carolina","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,124321,0,0,1594
"37191",1,"5413",76,0,2013,3,"","Wayne County, North Carolina","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,95254,0,0,1221
"37191",1,"54133",77,0,2013,1,"","Wayne County, North Carolina","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,7,6,125849,0,0,1452
"37191",1,"54133",77,0,2013,2,"","Wayne County, North Carolina","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,124321,0,0,1594
"37191",1,"54133",77,0,2013,3,"","Wayne County, North Carolina","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,95254,0,0,1221
"37191",1,"541330",78,0,2013,1,"","Wayne County, North Carolina","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,7,6,125849,0,0,1452
"37191",1,"541330",78,0,2013,2,"","Wayne County, North Carolina","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,124321,0,0,1594
"37191",1,"541330",78,0,2013,3,"","Wayne County, North Carolina","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,95254,0,0,1221
"37191",1,"71",74,0,2013,1,"-","Wayne County, North Carolina","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"37191",1,"71",74,0,2013,2,"","Wayne County, North Carolina","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,3,3,6560,0,0,252
"37191",1,"71",74,0,2013,3,"","Wayne County, North Carolina","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,3,3714,0,0,122
"37191",1,"713",75,0,2013,1,"-","Wayne County, North Carolina","Federal Government","Amusements, gambling, and recreation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"37191",1,"713",75,0,2013,2,"","Wayne County, North Carolina","Federal Government","Amusements, gambling, and recreation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,3,3,6560,0,0,252
"37191",1,"713",75,0,2013,3,"","Wayne County, North Carolina","Federal Government","Amusements, gambling, and recreation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,3,3714,0,0,122
"37191",1,"7139",76,0,2013,1,"-","Wayne County, North Carolina","Federal Government","Other amusement and recreation industries","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"37191",1,"7139",76,0,2013,2,"","Wayne County, North Carolina","Federal Government","Other amusement and recreation industries","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,3,3,6560,0,0,252
"37191",1,"7139",76,0,2013,3,"","Wayne County, North Carolina","Federal Government","Other amusement and recreation industries","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,3,3714,0,0,122
"37191",1,"71395",77,0,2013,1,"-","Wayne County, North Carolina","Federal Government","Bowling centers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"37191",1,"71395",77,0,2013,2,"","Wayne County, North Carolina","Federal Government","Bowling centers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,3,3,6560,0,0,252
"37191",1,"71395",77,0,2013,3,"","Wayne County, North Carolina","Federal Government","Bowling centers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,3,3714,0,0,122
"37191",1,"713950",78,0,2013,1,"-","Wayne County, North Carolina","Federal Government","Bowling centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"37191",1,"713950",78,0,2013,2,"","Wayne County, North Carolina","Federal Government","Bowling centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,3,3,6560,0,0,252
"37191",1,"713950",78,0,2013,3,"","Wayne County, North Carolina","Federal Government","Bowling centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,3,3714,0,0,122
"37191",1,"72",74,0,2013,1,"","Wayne County, North Carolina","Federal Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",15,225,221,220,966097,0,0,335
"37191",1,"72",74,0,2013,2,"","Wayne County, North Carolina","Federal Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",13,218,223,240,1169291,0,0,396
"37191",1,"72",74,0,2013,3,"","Wayne County, North Carolina","Federal Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",13,238,240,232,1014063,0,0,330
"37191",1,"722",75,0,2013,1,"","Wayne County, North Carolina","Federal Government","Food services and drinking places","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,225,221,220,966097,0,0,335
"37191",1,"722",75,0,2013,2,"","Wayne County, North Carolina","Federal Government","Food services and drinking places","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,218,223,240,1169291,0,0,396
"37191",1,"722",75,0,2013,3,"","Wayne County, North Carolina","Federal Government","Food services and drinking places","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,238,240,232,1014063,0,0,330
"37191",1,"7225",76,0,2013,1,"","Wayne County, North Carolina","Federal Government","Restaurants","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,225,221,220,966097,0,0,335
"37191",1,"7225",76,0,2013,2,"","Wayne County, North Carolina","Federal Government","Restaurants","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,218,223,240,1169291,0,0,396
"37191",1,"7225",76,0,2013,3,"","Wayne County, North Carolina","Federal Government","Restaurants","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,238,240,232,1014063,0,0,330
"37191",1,"72251",77,0,2013,1,"","Wayne County, North Carolina","Federal Government","Restaurants","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,225,221,220,966097,0,0,335
"37191",1,"72251",77,0,2013,2,"","Wayne County, North Carolina","Federal Government","Restaurants","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,218,223,240,1169291,0,0,396
"37191",1,"72251",77,0,2013,3,"","Wayne County, North Carolina","Federal Government","Restaurants","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,238,240,232,1014063,0,0,330
"37191",1,"722511",78,0,2013,1,"","Wayne County, North Carolina","Federal Government","Full-service restaurants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,225,221,220,966097,0,0,335
"37191",1,"722511",78,0,2013,2,"","Wayne County, North Carolina","Federal Government","Full-service restaurants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,218,223,240,1169291,0,0,396
"37191",1,"722511",78,0,2013,3,"","Wayne County, North Carolina","Federal Government","Full-service restaurants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,238,240,232,1014063,0,0,330
"37191",1,"92",74,0,2013,1,"","Wayne County, North Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,758,748,742,12164250,0,0,1249
"37191",1,"92",74,0,2013,2,"","Wayne County, North Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,741,738,732,10656399,0,0,1112
"37191",1,"92",74,0,2013,3,"","Wayne County, North Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,733,727,726,10908190,0,0,1152
"37191",1,"921",75,0,2013,1,"","Wayne County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37191",1,"921",75,0,2013,2,"","Wayne County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37191",1,"921",75,0,2013,3,"","Wayne County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37191",1,"9211",76,0,2013,1,"","Wayne County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37191",1,"9211",76,0,2013,2,"","Wayne County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37191",1,"9211",76,0,2013,3,"","Wayne County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37191",1,"92119",77,0,2013,1,"","Wayne County, North Carolina","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37191",1,"92119",77,0,2013,2,"","Wayne County, North Carolina","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37191",1,"92119",77,0,2013,3,"","Wayne County, North Carolina","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37191",1,"921190",78,0,2013,1,"","Wayne County, North Carolina","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37191",1,"921190",78,0,2013,2,"","Wayne County, North Carolina","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37191",1,"921190",78,0,2013,3,"","Wayne County, North Carolina","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37191",1,"923",75,0,2013,1,"","Wayne County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,26,26,26,425324,0,0,1258
"37191",1,"923",75,0,2013,2,"","Wayne County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,26,26,26,492261,0,0,1456
"37191",1,"923",75,0,2013,3,"","Wayne County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,26,26,26,400321,0,0,1184
"37191",1,"9231",76,0,2013,1,"","Wayne County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,26,26,26,425324,0,0,1258
"37191",1,"9231",76,0,2013,2,"","Wayne County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,26,26,26,492261,0,0,1456
"37191",1,"9231",76,0,2013,3,"","Wayne County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,26,26,26,400321,0,0,1184
