"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"38047",0,"10",70,0,2013,1,"","Logan County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",103,623,621,644,4097461,2455363,14034,501
"38047",0,"10",70,0,2013,2,"","Logan County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",102,609,657,646,4441990,2338151,16405,536
"38047",0,"10",70,0,2013,3,"","Logan County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",100,625,675,634,4186964,1991012,19629,500
"38047",1,"10",71,0,2013,1,"","Logan County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,19,16,16,162038,0,0,733
"38047",1,"10",71,0,2013,2,"","Logan County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,17,17,17,172593,0,0,781
"38047",1,"10",71,0,2013,3,"","Logan County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,17,15,18,197525,0,0,912
"38047",1,"102",72,0,2013,1,"","Logan County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,19,16,16,162038,0,0,733
"38047",1,"102",72,0,2013,2,"","Logan County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,17,17,17,172593,0,0,781
"38047",1,"102",72,0,2013,3,"","Logan County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,17,15,18,197525,0,0,912
"38047",1,"1021",73,0,2013,1,"","Logan County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,9,9,9,76824,0,0,657
"38047",1,"1021",73,0,2013,2,"","Logan County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,10,10,10,71090,0,0,547
"38047",1,"1021",73,0,2013,3,"","Logan County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,10,8,11,94185,0,0,749
"38047",1,"1028",73,0,2013,1,"","Logan County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,7,7,85214,0,0,819
"38047",1,"1028",73,0,2013,2,"","Logan County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,7,7,101503,0,0,1115
"38047",1,"1028",73,0,2013,3,"","Logan County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,7,7,103340,0,0,1136
"38047",1,"48-49",74,0,2013,1,"","Logan County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,9,9,9,76824,0,0,657
"38047",1,"48-49",74,0,2013,2,"","Logan County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,10,10,10,71090,0,0,547
"38047",1,"48-49",74,0,2013,3,"","Logan County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,10,8,11,94185,0,0,749
"38047",1,"491",75,0,2013,1,"","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,9,9,9,76824,0,0,657
"38047",1,"491",75,0,2013,2,"","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,10,10,10,71090,0,0,547
"38047",1,"491",75,0,2013,3,"","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,10,8,11,94185,0,0,749
"38047",1,"4911",76,0,2013,1,"","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,9,9,9,76824,0,0,657
"38047",1,"4911",76,0,2013,2,"","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,10,10,10,71090,0,0,547
"38047",1,"4911",76,0,2013,3,"","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,10,8,11,94185,0,0,749
"38047",1,"49111",77,0,2013,1,"","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,9,9,9,76824,0,0,657
"38047",1,"49111",77,0,2013,2,"","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,10,10,10,71090,0,0,547
"38047",1,"49111",77,0,2013,3,"","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,10,8,11,94185,0,0,749
"38047",1,"491110",78,0,2013,1,"","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,9,9,9,76824,0,0,657
"38047",1,"491110",78,0,2013,2,"","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,10,10,10,71090,0,0,547
"38047",1,"491110",78,0,2013,3,"","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,10,8,11,94185,0,0,749
"38047",1,"92",74,0,2013,1,"","Logan County, North Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,10,7,7,85214,0,0,819
"38047",1,"92",74,0,2013,2,"","Logan County, North Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,7,7,7,101503,0,0,1115
"38047",1,"92",74,0,2013,3,"","Logan County, North Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,7,7,7,103340,0,0,1136
"38047",1,"924",75,0,2013,1,"","Logan County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,38128,0,0,978
"38047",1,"924",75,0,2013,2,"","Logan County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,44654,0,0,1145
"38047",1,"924",75,0,2013,3,"","Logan County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,44958,0,0,1153
"38047",1,"9241",76,0,2013,1,"","Logan County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,38128,0,0,978
"38047",1,"9241",76,0,2013,2,"","Logan County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,44654,0,0,1145
"38047",1,"9241",76,0,2013,3,"","Logan County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,44958,0,0,1153
"38047",1,"92412",77,0,2013,1,"","Logan County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,38128,0,0,978
"38047",1,"92412",77,0,2013,2,"","Logan County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,44654,0,0,1145
"38047",1,"92412",77,0,2013,3,"","Logan County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,44958,0,0,1153
"38047",1,"924120",78,0,2013,1,"","Logan County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,38128,0,0,978
