"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"38073",0,"10",70,0,2013,1,"","Ransom County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",237,2074,2087,2088,15901970,9346747,59695,587
"38073",0,"10",70,0,2013,2,"","Ransom County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",234,2112,2162,2177,18471037,8844391,60296,661
"38073",0,"10",70,0,2013,3,"","Ransom County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",237,2080,2123,2151,16181132,6172327,48914,588
"38073",1,"10",71,0,2013,1,"","Ransom County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,38,38,36,432756,0,0,892
"38073",1,"10",71,0,2013,2,"","Ransom County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,41,38,42,432589,0,0,825
"38073",1,"10",71,0,2013,3,"","Ransom County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,36,41,37,450812,0,0,913
"38073",1,"102",72,0,2013,1,"","Ransom County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,38,38,36,432756,0,0,892
"38073",1,"102",72,0,2013,2,"","Ransom County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,41,38,42,432589,0,0,825
"38073",1,"102",72,0,2013,3,"","Ransom County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,36,41,37,450812,0,0,913
"38073",1,"1021",73,0,2013,1,"","Ransom County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,19,17,16,196265,0,0,871
"38073",1,"1021",73,0,2013,2,"","Ransom County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,19,19,19,160279,0,0,649
"38073",1,"1021",73,0,2013,3,"","Ransom County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,16,19,17,170324,0,0,756
"38073",1,"1028",73,0,2013,1,"","Ransom County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,19,21,20,236491,0,0,910
"38073",1,"1028",73,0,2013,2,"","Ransom County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,22,19,23,272310,0,0,982
"38073",1,"1028",73,0,2013,3,"","Ransom County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,20,22,20,280488,0,0,1044
"38073",1,"48-49",74,0,2013,1,"","Ransom County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,19,17,16,196265,0,0,871
"38073",1,"48-49",74,0,2013,2,"","Ransom County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,19,19,19,160279,0,0,649
"38073",1,"48-49",74,0,2013,3,"","Ransom County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,19,17,170324,0,0,756
"38073",1,"491",75,0,2013,1,"","Ransom County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,19,17,16,196265,0,0,871
"38073",1,"491",75,0,2013,2,"","Ransom County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,19,19,19,160279,0,0,649
"38073",1,"491",75,0,2013,3,"","Ransom County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,16,19,17,170324,0,0,756
"38073",1,"4911",76,0,2013,1,"","Ransom County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,19,17,16,196265,0,0,871
"38073",1,"4911",76,0,2013,2,"","Ransom County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,19,19,19,160279,0,0,649
"38073",1,"4911",76,0,2013,3,"","Ransom County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,16,19,17,170324,0,0,756
"38073",1,"49111",77,0,2013,1,"","Ransom County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,19,17,16,196265,0,0,871
"38073",1,"49111",77,0,2013,2,"","Ransom County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,19,19,19,160279,0,0,649
"38073",1,"49111",77,0,2013,3,"","Ransom County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,16,19,17,170324,0,0,756
"38073",1,"491110",78,0,2013,1,"","Ransom County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,19,17,16,196265,0,0,871
"38073",1,"491110",78,0,2013,2,"","Ransom County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,19,19,19,160279,0,0,649
"38073",1,"491110",78,0,2013,3,"","Ransom County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,16,19,17,170324,0,0,756
"38073",1,"92",74,0,2013,1,"","Ransom County, North Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,19,21,20,236491,0,0,910
"38073",1,"92",74,0,2013,2,"","Ransom County, North Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,22,19,23,272310,0,0,982
"38073",1,"92",74,0,2013,3,"","Ransom County, North Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,20,22,20,280488,0,0,1044
"38073",1,"924",75,0,2013,1,"","Ransom County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,14,13,14,175283,0,0,987
"38073",1,"924",75,0,2013,2,"","Ransom County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,14,14,14,200211,0,0,1100
"38073",1,"924",75,0,2013,3,"","Ransom County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,15,15,15,208971,0,0,1072
"38073",1,"9241",76,0,2013,1,"","Ransom County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,14,13,14,175283,0,0,987
"38073",1,"9241",76,0,2013,2,"","Ransom County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,14,14,14,200211,0,0,1100
"38073",1,"9241",76,0,2013,3,"","Ransom County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,15,15,15,208971,0,0,1072
"38073",1,"92412",77,0,2013,1,"","Ransom County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,14,13,14,175283,0,0,987
"38073",1,"92412",77,0,2013,2,"","Ransom County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,14,14,14,200211,0,0,1100
"38073",1,"92412",77,0,2013,3,"","Ransom County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,15,15,15,208971,0,0,1072
"38073",1,"924120",78,0,2013,1,"","Ransom County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,14,13,14,175283,0,0,987
"38073",1,"924120",78,0,2013,2,"","Ransom County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,14,14,14,200211,0,0,1100
"38073",1,"924120",78,0,2013,3,"","Ransom County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,15,15,15,208971,0,0,1072
"38073",1,"926",75,0,2013,1,"","Ransom County, North Dakota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,5,8,6,61208,0,0,743
"38073",1,"926",75,0,2013,2,"","Ransom County, North Dakota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,5,9,72099,0,0,756
"38073",1,"926",75,0,2013,3,"","Ransom County, North Dakota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,7,5,71517,0,0,971
"38073",1,"9261",76,0,2013,1,"","Ransom County, North Dakota","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,5,8,6,61208,0,0,743
"38073",1,"9261",76,0,2013,2,"","Ransom County, North Dakota","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,5,9,72099,0,0,756
"38073",1,"9261",76,0,2013,3,"","Ransom County, North Dakota","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,7,5,71517,0,0,971
"38073",1,"92611",77,0,2013,1,"","Ransom County, North Dakota","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,1,1,1,10709,0,0,824
"38073",1,"92611",77,0,2013,2,"","Ransom County, North Dakota","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,12494,0,0,961
"38073",1,"92611",77,0,2013,3,"","Ransom County, North Dakota","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,12494,0,0,961
"38073",1,"926110",78,0,2013,1,"","Ransom County, North Dakota","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,1,1,1,10709,0,0,824
"38073",1,"926110",78,0,2013,2,"","Ransom County, North Dakota","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,12494,0,0,961
"38073",1,"926110",78,0,2013,3,"","Ransom County, North Dakota","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,12494,0,0,961
"38073",1,"92614",77,0,2013,1,"","Ransom County, North Dakota","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,7,5,50499,0,0,728
