"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"41001",0,"10",70,0,2013,1,"","Baker County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",639,4780,4825,4901,37655831,21496753,627965,599
"41001",0,"10",70,0,2013,2,"","Baker County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",642,5055,5166,5211,40817645,21284922,638670,610
"41001",0,"10",70,0,2013,3,"","Baker County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",642,4941,5034,5145,40850810,18253103,551679,623
"41001",1,"10",71,0,2013,1,"","Baker County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,176,181,187,2454736,0,0,1041
"41001",1,"10",71,0,2013,2,"","Baker County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,200,215,229,3085483,0,0,1106
"41001",1,"10",71,0,2013,3,"","Baker County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,256,262,246,4131468,0,0,1248
"41001",1,"101",72,0,2013,1,"","Baker County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,96,98,102,1410922,0,0,1100
"41001",1,"101",72,0,2013,2,"","Baker County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,111,117,127,1930385,0,0,1255
"41001",1,"101",72,0,2013,3,"","Baker County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,147,148,136,2664884,0,0,1427
"41001",1,"1011",73,0,2013,1,"","Baker County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",2,96,98,102,1410922,0,0,1100
"41001",1,"1011",73,0,2013,2,"","Baker County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",2,111,117,127,1930385,0,0,1255
"41001",1,"1011",73,0,2013,3,"","Baker County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",2,147,148,136,2664884,0,0,1427
"41001",1,"102",72,0,2013,1,"","Baker County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,80,83,85,1043814,0,0,971
"41001",1,"102",72,0,2013,2,"","Baker County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,89,98,102,1155098,0,0,922
"41001",1,"102",72,0,2013,3,"","Baker County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,109,114,110,1466584,0,0,1016
"41001",1,"1021",73,0,2013,1,"","Baker County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,36,38,37,387117,0,0,805
"41001",1,"1021",73,0,2013,2,"","Baker County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,40,40,38,321420,0,0,629
"41001",1,"1021",73,0,2013,3,"","Baker County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,37,39,38,390562,0,0,791
"41001",1,"1028",73,0,2013,1,"","Baker County, Oregon","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,44,45,48,656697,0,0,1106
"41001",1,"1028",73,0,2013,2,"","Baker County, Oregon","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,49,58,64,833678,0,0,1125
"41001",1,"1028",73,0,2013,3,"","Baker County, Oregon","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,72,75,72,1076022,0,0,1134
"41001",1,"11",74,0,2013,1,"","Baker County, Oregon","Federal Government","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",2,96,98,102,1410922,0,0,1100
"41001",1,"11",74,0,2013,2,"","Baker County, Oregon","Federal Government","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",2,111,117,127,1930385,0,0,1255
"41001",1,"11",74,0,2013,3,"","Baker County, Oregon","Federal Government","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",2,147,148,136,2664884,0,0,1427
"41001",1,"113",75,0,2013,1,"","Baker County, Oregon","Federal Government","Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,96,98,102,1410922,0,0,1100
"41001",1,"113",75,0,2013,2,"","Baker County, Oregon","Federal Government","Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,111,117,127,1930385,0,0,1255
"41001",1,"113",75,0,2013,3,"","Baker County, Oregon","Federal Government","Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,147,148,136,2664884,0,0,1427
"41001",1,"1131",76,0,2013,1,"","Baker County, Oregon","Federal Government","Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,96,98,102,1410922,0,0,1100
"41001",1,"1131",76,0,2013,2,"","Baker County, Oregon","Federal Government","Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,111,117,127,1930385,0,0,1255
"41001",1,"1131",76,0,2013,3,"","Baker County, Oregon","Federal Government","Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,147,148,136,2664884,0,0,1427
"41001",1,"11311",77,0,2013,1,"","Baker County, Oregon","Federal Government","Timber tract operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,96,98,102,1410922,0,0,1100
"41001",1,"11311",77,0,2013,2,"","Baker County, Oregon","Federal Government","Timber tract operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,111,117,127,1930385,0,0,1255
"41001",1,"11311",77,0,2013,3,"","Baker County, Oregon","Federal Government","Timber tract operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,147,148,136,2664884,0,0,1427
"41001",1,"113110",78,0,2013,1,"","Baker County, Oregon","Federal Government","Timber tract operations","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,96,98,102,1410922,0,0,1100
"41001",1,"113110",78,0,2013,2,"","Baker County, Oregon","Federal Government","Timber tract operations","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,111,117,127,1930385,0,0,1255
"41001",1,"113110",78,0,2013,3,"","Baker County, Oregon","Federal Government","Timber tract operations","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,147,148,136,2664884,0,0,1427
"41001",1,"48-49",74,0,2013,1,"","Baker County, Oregon","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,36,38,37,387117,0,0,805
"41001",1,"48-49",74,0,2013,2,"","Baker County, Oregon","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,40,40,38,321420,0,0,629
"41001",1,"48-49",74,0,2013,3,"","Baker County, Oregon","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,37,39,38,390562,0,0,791
"41001",1,"491",75,0,2013,1,"","Baker County, Oregon","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,36,38,37,387117,0,0,805
"41001",1,"491",75,0,2013,2,"","Baker County, Oregon","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,40,40,38,321420,0,0,629
"41001",1,"491",75,0,2013,3,"","Baker County, Oregon","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,37,39,38,390562,0,0,791
"41001",1,"4911",76,0,2013,1,"","Baker County, Oregon","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,36,38,37,387117,0,0,805
"41001",1,"4911",76,0,2013,2,"","Baker County, Oregon","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,40,40,38,321420,0,0,629
"41001",1,"4911",76,0,2013,3,"","Baker County, Oregon","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,37,39,38,390562,0,0,791
"41001",1,"49111",77,0,2013,1,"","Baker County, Oregon","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,36,38,37,387117,0,0,805
"41001",1,"49111",77,0,2013,2,"","Baker County, Oregon","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,40,40,38,321420,0,0,629
"41001",1,"49111",77,0,2013,3,"","Baker County, Oregon","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,37,39,38,390562,0,0,791
"41001",1,"491110",78,0,2013,1,"","Baker County, Oregon","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,36,38,37,387117,0,0,805
"41001",1,"491110",78,0,2013,2,"","Baker County, Oregon","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,40,40,38,321420,0,0,629
"41001",1,"491110",78,0,2013,3,"","Baker County, Oregon","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,37,39,38,390562,0,0,791
"41001",1,"92",74,0,2013,1,"","Baker County, Oregon","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,44,45,48,656697,0,0,1106
"41001",1,"92",74,0,2013,2,"","Baker County, Oregon","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,49,58,64,833678,0,0,1125
"41001",1,"92",74,0,2013,3,"","Baker County, Oregon","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,72,75,72,1076022,0,0,1134
"41001",1,"922",75,0,2013,1,"","Baker County, Oregon","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,3,2,48341,0,0,1594
"41001",1,"922",75,0,2013,2,"","Baker County, Oregon","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,1,2,39777,0,0,1836
"41001",1,"922",75,0,2013,3,"","Baker County, Oregon","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,0,40964,0,0,2363
"41001",1,"9221",76,0,2013,1,"","Baker County, Oregon","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,3,2,48341,0,0,1594
"41001",1,"9221",76,0,2013,2,"","Baker County, Oregon","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,1,2,39777,0,0,1836
"41001",1,"9221",76,0,2013,3,"","Baker County, Oregon","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,0,40964,0,0,2363
