"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"41027",0,"10",70,0,2013,1,"","Hood River County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1165,12015,12308,12384,96689291,70119446,2069629,608
"41027",0,"10",70,0,2013,2,"","Hood River County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1182,11947,11927,12871,96938047,60251039,1809451,609
"41027",0,"10",70,0,2013,3,"","Hood River County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1201,13673,14921,14427,104226502,61710835,1891988,559
"41027",1,"10",71,0,2013,1,"","Hood River County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,88,93,94,1239693,0,0,1040
"41027",1,"10",71,0,2013,2,"","Hood River County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,98,102,109,1406031,0,0,1050
"41027",1,"10",71,0,2013,3,"","Hood River County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,136,131,123,2073875,0,0,1227
"41027",1,"101",72,0,2013,1,"","Hood River County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",3,50,56,57,739523,0,0,1047
"41027",1,"101",72,0,2013,2,"","Hood River County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",3,61,67,72,965130,0,0,1114
"41027",1,"101",72,0,2013,3,"","Hood River County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",3,99,96,87,1567665,0,0,1283
"41027",1,"1011",73,0,2013,1,"","Hood River County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",3,50,56,57,739523,0,0,1047
"41027",1,"1011",73,0,2013,2,"","Hood River County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",3,61,67,72,965130,0,0,1114
"41027",1,"1011",73,0,2013,3,"","Hood River County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",3,99,96,87,1567665,0,0,1283
"41027",1,"102",72,0,2013,1,"","Hood River County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,38,37,37,500170,0,0,1031
"41027",1,"102",72,0,2013,2,"","Hood River County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,37,35,37,440901,0,0,933
"41027",1,"102",72,0,2013,3,"","Hood River County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,37,35,36,506210,0,0,1082
"41027",1,"1021",73,0,2013,1,"","Hood River County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,35,35,35,468098,0,0,1029
"41027",1,"1021",73,0,2013,2,"","Hood River County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,35,34,35,402933,0,0,894
"41027",1,"1021",73,0,2013,3,"","Hood River County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,35,33,34,474725,0,0,1074
"41027",1,"1024",73,0,2013,1,"","Hood River County, Oregon","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,28910,0,0,2224
"41027",1,"1024",73,0,2013,2,"","Hood River County, Oregon","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,33729,0,0,2595
"41027",1,"1024",73,0,2013,3,"","Hood River County, Oregon","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,28910,0,0,2224
"41027",1,"1028",73,0,2013,1,"","Hood River County, Oregon","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,2,1,1,3162,0,0,182
"41027",1,"1028",73,0,2013,2,"","Hood River County, Oregon","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,1,0,1,4239,0,0,489
"41027",1,"1028",73,0,2013,3,"","Hood River County, Oregon","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,1,1,1,2575,0,0,198
"41027",1,"11",74,0,2013,1,"","Hood River County, Oregon","Federal Government","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",3,50,56,57,739523,0,0,1047
"41027",1,"11",74,0,2013,2,"","Hood River County, Oregon","Federal Government","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",3,61,67,72,965130,0,0,1114
"41027",1,"11",74,0,2013,3,"","Hood River County, Oregon","Federal Government","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",3,99,96,87,1567665,0,0,1283
"41027",1,"113",75,0,2013,1,"","Hood River County, Oregon","Federal Government","Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,50,56,57,739523,0,0,1047
"41027",1,"113",75,0,2013,2,"","Hood River County, Oregon","Federal Government","Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,61,67,72,965130,0,0,1114
"41027",1,"113",75,0,2013,3,"","Hood River County, Oregon","Federal Government","Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,99,96,87,1567665,0,0,1283
"41027",1,"1131",76,0,2013,1,"","Hood River County, Oregon","Federal Government","Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,50,56,57,739523,0,0,1047
"41027",1,"1131",76,0,2013,2,"","Hood River County, Oregon","Federal Government","Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,61,67,72,965130,0,0,1114
