"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"42067",0,"10",70,0,2013,1,"","Juniata County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",505,5907,5888,6056,46532855,29824957,1865114,602
"42067",0,"10",70,0,2013,2,"","Juniata County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",510,6122,6191,6305,48562651,9712295,614887,602
"42067",0,"10",70,0,2013,3,"","Juniata County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",510,6087,6173,6286,49145009,5343869,329206,612
"42067",1,"10",71,0,2013,1,"","Juniata County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,77,72,72,834660,0,0,872
"42067",1,"10",71,0,2013,2,"","Juniata County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,73,69,67,743647,0,0,821
"42067",1,"10",71,0,2013,3,"","Juniata County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,69,69,75,866478,0,0,939
"42067",1,"102",72,0,2013,1,"","Juniata County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,77,72,72,834660,0,0,872
"42067",1,"102",72,0,2013,2,"","Juniata County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,73,69,67,743647,0,0,821
"42067",1,"102",72,0,2013,3,"","Juniata County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,69,69,75,866478,0,0,939
"42067",1,"1021",73,0,2013,1,"","Juniata County, Pennsylvania","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,46,48,47,501540,0,0,821
"42067",1,"1021",73,0,2013,2,"","Juniata County, Pennsylvania","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,48,46,45,420160,0,0,698
"42067",1,"1021",73,0,2013,3,"","Juniata County, Pennsylvania","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,46,47,46,505868,0,0,840
"42067",1,"1023",73,0,2013,1,"","Juniata County, Pennsylvania","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
