"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"46091",0,"10",70,0,2013,1,"","Marshall County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",190,1569,1571,1594,12937104,9823289,101185,631
"46091",0,"10",70,0,2013,2,"","Marshall County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",190,1625,1747,1810,13472307,4652190,69164,600
"46091",0,"10",70,0,2013,3,"","Marshall County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",190,1724,1701,1689,13589147,2437451,42546,613
"46091",1,"10",71,0,2013,1,"","Marshall County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,25,24,27,225466,0,0,685
"46091",1,"10",71,0,2013,2,"","Marshall County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,22,26,27,200924,0,0,618
"46091",1,"10",71,0,2013,3,"","Marshall County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,19,19,24,191403,0,0,712
"46091",1,"102",72,0,2013,1,"","Marshall County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,25,24,27,225466,0,0,685
"46091",1,"102",72,0,2013,2,"","Marshall County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,22,26,27,200924,0,0,618
"46091",1,"102",72,0,2013,3,"","Marshall County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,19,19,24,191403,0,0,712
"46091",1,"1021",73,0,2013,1,"","Marshall County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,18,18,17,129540,0,0,564
"46091",1,"1021",73,0,2013,2,"","Marshall County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,16,16,17,107429,0,0,506
