"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"46117",0,"10",70,0,2013,1,"","Stanley County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",137,1224,1218,1265,9240662,7057665,166532,575
"46117",0,"10",70,0,2013,2,"","Stanley County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",137,1338,1367,1425,10279305,4081171,96451,574
"46117",0,"10",70,0,2013,3,"","Stanley County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",138,1394,1400,1382,11484490,2616901,72740,635
"46117",1,"10",71,0,2013,1,"","Stanley County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,9,9,8,120621,0,0,1071
"46117",1,"10",71,0,2013,2,"","Stanley County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,7,9,10,124971,0,0,1109
"46117",1,"10",71,0,2013,3,"","Stanley County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,10,10,11,173313,0,0,1290
"46117",1,"102",72,0,2013,1,"","Stanley County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,9,9,8,120621,0,0,1071
"46117",1,"102",72,0,2013,2,"","Stanley County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,7,9,10,124971,0,0,1109
"46117",1,"102",72,0,2013,3,"","Stanley County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,10,10,11,173313,0,0,1290
"46117",1,"1021",73,0,2013,1,"","Stanley County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,1,24208,0,0,1117
"46117",1,"1021",73,0,2013,2,"","Stanley County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,15945,0,0,1227
