"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"46127",0,"10",70,0,2013,1,"","Union County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",660,8863,8791,8859,96542285,62277057,606857,840
"46127",0,"10",70,0,2013,2,"","Union County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",661,8884,9069,9257,94882467,26935662,294568,805
"46127",0,"10",70,0,2013,3,"","Union County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",655,9156,9191,9163,97569007,12550269,149483,818
"46127",1,"10",71,0,2013,1,"","Union County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,41,43,40,471418,0,0,877
"46127",1,"10",71,0,2013,2,"","Union County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,41,45,44,455954,0,0,809
"46127",1,"10",71,0,2013,3,"","Union County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,43,45,54,576247,0,0,936
"46127",1,"102",72,0,2013,1,"","Union County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,41,43,40,471418,0,0,877
"46127",1,"102",72,0,2013,2,"","Union County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,41,45,44,455954,0,0,809
"46127",1,"102",72,0,2013,3,"","Union County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,43,45,54,576247,0,0,936
"46127",1,"1021",73,0,2013,1,"","Union County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,32,34,31,356195,0,0,847
"46127",1,"1021",73,0,2013,2,"","Union County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,32,36,35,320538,0,0,718
