"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"47163",0,"10",70,0,2013,1,"","Sullivan County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3221,66509,66592,68033,824685838,336745421,7990359,946
"47163",0,"10",70,0,2013,2,"","Sullivan County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3209,66958,67750,67252,674353656,92945401,2245917,771
"47163",0,"10",70,0,2013,3,"","Sullivan County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3222,65724,67822,67866,713955971,53117232,728207,818
"47163",1,"10",71,0,2013,1,"","Sullivan County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,493,494,476,7356522,0,0,1160
"47163",1,"10",71,0,2013,2,"","Sullivan County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,494,477,477,7378243,0,0,1176
"47163",1,"10",71,0,2013,3,"","Sullivan County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,474,471,471,7410946,0,0,1208
"47163",1,"102",72,0,2013,1,"","Sullivan County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,493,494,476,7356522,0,0,1160
"47163",1,"102",72,0,2013,2,"","Sullivan County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,494,477,477,7378243,0,0,1176
"47163",1,"102",72,0,2013,3,"","Sullivan County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,474,471,471,7410946,0,0,1208
"47163",1,"1021",73,0,2013,1,"","Sullivan County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,252,250,236,3807134,0,0,1190
"47163",1,"1021",73,0,2013,2,"","Sullivan County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,257,241,238,3360808,0,0,1054
"47163",1,"1021",73,0,2013,3,"","Sullivan County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,242,237,237,3807399,0,0,1227
"47163",1,"1028",73,0,2013,1,"","Sullivan County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,241,244,240,3549388,0,0,1130
"47163",1,"1028",73,0,2013,2,"","Sullivan County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,237,236,239,4017435,0,0,1302
"47163",1,"1028",73,0,2013,3,"","Sullivan County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,232,234,234,3603547,0,0,1188
"47163",1,"22",74,0,2013,1,"","Sullivan County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,18,18,18,290635,0,0,1242
"47163",1,"22",74,0,2013,2,"","Sullivan County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,19,19,19,331835,0,0,1343
"47163",1,"22",74,0,2013,3,"","Sullivan County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,19,18,18,301784,0,0,1266
"47163",1,"221",75,0,2013,1,"","Sullivan County, Tennessee","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,18,18,18,290635,0,0,1242
"47163",1,"221",75,0,2013,2,"","Sullivan County, Tennessee","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,19,19,19,331835,0,0,1343
