"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"47169",0,"10",70,0,2013,1,"","Trousdale County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",128,1482,1471,1496,10466392,5825217,135673,543
"47169",0,"10",70,0,2013,2,"","Trousdale County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",129,1456,1473,1504,11063016,2098073,48458,576
"47169",0,"10",70,0,2013,3,"","Trousdale County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",131,1468,1502,1485,9602755,1191398,14599,497
"47169",1,"10",71,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,35,34,34,587462,0,0,1316
"47169",1,"10",71,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,34,33,33,580694,0,0,1340
"47169",1,"10",71,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,32,39,36,582074,0,0,1255
"47169",1,"102",72,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,35,34,34,587462,0,0,1316
"47169",1,"102",72,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,34,33,33,580694,0,0,1340
"47169",1,"102",72,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,32,39,36,582074,0,0,1255
"47169",1,"1021",73,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,126540,0,0,1082
"47169",1,"1021",73,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,114330,0,0,977
"47169",1,"1021",73,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,123449,0,0,1055
"47169",1,"1028",73,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,26,25,25,460922,0,0,1400
"47169",1,"1028",73,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,25,24,24,466364,0,0,1474
"47169",1,"1028",73,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,23,30,27,458625,0,0,1323
"47169",1,"48-49",74,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,9,9,126540,0,0,1082
"47169",1,"48-49",74,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,9,9,114330,0,0,977
"47169",1,"48-49",74,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,9,9,123449,0,0,1055
"47169",1,"491",75,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,9,9,126540,0,0,1082
"47169",1,"491",75,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,9,9,114330,0,0,977
"47169",1,"491",75,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,9,9,123449,0,0,1055
"47169",1,"4911",76,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,9,9,126540,0,0,1082
"47169",1,"4911",76,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,9,9,114330,0,0,977
"47169",1,"4911",76,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,9,9,123449,0,0,1055
"47169",1,"49111",77,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,9,9,126540,0,0,1082
"47169",1,"49111",77,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,9,9,114330,0,0,977
"47169",1,"49111",77,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,9,9,123449,0,0,1055
"47169",1,"491110",78,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,9,9,126540,0,0,1082
"47169",1,"491110",78,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,9,9,114330,0,0,977
"47169",1,"491110",78,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,9,9,123449,0,0,1055
"47169",1,"92",74,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,26,25,25,460922,0,0,1400
"47169",1,"92",74,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,25,24,24,466364,0,0,1474
"47169",1,"92",74,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,23,30,27,458625,0,0,1323
"47169",1,"921",75,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,26,25,25,460922,0,0,1400
"47169",1,"921",75,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,25,24,24,466364,0,0,1474
"47169",1,"921",75,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,23,27,27,458399,0,0,1374
"47169",1,"9211",76,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,26,25,25,460922,0,0,1400
"47169",1,"9211",76,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,25,24,24,466364,0,0,1474
"47169",1,"9211",76,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,23,27,27,458399,0,0,1374
"47169",1,"92119",77,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,26,25,25,460922,0,0,1400
"47169",1,"92119",77,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,25,24,24,466364,0,0,1474
"47169",1,"92119",77,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,23,27,27,458399,0,0,1374
"47169",1,"921190",78,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,26,25,25,460922,0,0,1400
"47169",1,"921190",78,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,25,24,24,466364,0,0,1474
"47169",1,"921190",78,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,23,27,27,458399,0,0,1374
"47169",1,"924",75,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"47169",1,"924",75,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"47169",1,"924",75,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,3,0,226,0,0,17
"47169",1,"9241",76,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"47169",1,"9241",76,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"47169",1,"9241",76,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,3,0,226,0,0,17
"47169",1,"92412",77,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"47169",1,"92412",77,0,2013,2,"","Trousdale County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"47169",1,"92412",77,0,2013,3,"","Trousdale County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,3,0,226,0,0,17
"47169",1,"924120",78,0,2013,1,"","Trousdale County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
