"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"48125",0,"10",70,0,2013,1,"","Dickens County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",70,441,436,438,3201333,1626944,19168,562
"48125",0,"10",70,0,2013,2,"","Dickens County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",70,448,430,446,3188389,610082,7285,556
"48125",0,"10",70,0,2013,3,"","Dickens County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",69,430,426,437,3314379,317368,4001,592
"48125",1,"10",71,0,2013,1,"","Dickens County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,11,13,12,120295,0,0,771
"48125",1,"10",71,0,2013,2,"","Dickens County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,16,12,12,124268,0,0,717
"48125",1,"10",71,0,2013,3,"","Dickens County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,10,12,10,102866,0,0,742
"48125",1,"102",72,0,2013,1,"","Dickens County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,11,13,12,120295,0,0,771
"48125",1,"102",72,0,2013,2,"","Dickens County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,16,12,12,124268,0,0,717
"48125",1,"102",72,0,2013,3,"","Dickens County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,10,12,10,102866,0,0,742
"48125",1,"1021",73,0,2013,1,"","Dickens County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,6,8,7,55394,0,0,609
"48125",1,"1021",73,0,2013,2,"","Dickens County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,8,7,8,47491,0,0,476
"48125",1,"1021",73,0,2013,3,"","Dickens County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,6,8,7,52810,0,0,580
"48125",1,"1028",73,0,2013,1,"","Dickens County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,5,64901,0,0,998
"48125",1,"1028",73,0,2013,2,"","Dickens County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,8,5,4,76777,0,0,1042
"48125",1,"1028",73,0,2013,3,"","Dickens County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,4,4,3,50056,0,0,1050
"48125",1,"48-49",74,0,2013,1,"","Dickens County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,8,7,55394,0,0,609
"48125",1,"48-49",74,0,2013,2,"","Dickens County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,8,7,8,47491,0,0,476
"48125",1,"48-49",74,0,2013,3,"","Dickens County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,8,7,52810,0,0,580
"48125",1,"491",75,0,2013,1,"","Dickens County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,6,8,7,55394,0,0,609
"48125",1,"491",75,0,2013,2,"","Dickens County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,8,7,8,47491,0,0,476
"48125",1,"491",75,0,2013,3,"","Dickens County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,6,8,7,52810,0,0,580
"48125",1,"4911",76,0,2013,1,"","Dickens County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,6,8,7,55394,0,0,609
"48125",1,"4911",76,0,2013,2,"","Dickens County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,8,7,8,47491,0,0,476
"48125",1,"4911",76,0,2013,3,"","Dickens County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,6,8,7,52810,0,0,580
"48125",1,"49111",77,0,2013,1,"","Dickens County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,6,8,7,55394,0,0,609
"48125",1,"49111",77,0,2013,2,"","Dickens County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,8,7,8,47491,0,0,476
"48125",1,"49111",77,0,2013,3,"","Dickens County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,6,8,7,52810,0,0,580
"48125",1,"491110",78,0,2013,1,"","Dickens County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,6,8,7,55394,0,0,609
