"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"48247",0,"10",70,0,2013,1,"","Jim Hogg County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",153,2114,2149,2120,19607517,7107432,134876,709
"48247",0,"10",70,0,2013,2,"","Jim Hogg County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",147,2087,2056,2054,20078418,3153847,62567,748
"48247",0,"10",70,0,2013,3,"","Jim Hogg County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",145,2084,2069,2055,19811560,2290994,46830,736
"48247",1,"10",71,0,2013,1,"","Jim Hogg County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,266,266,266,6137295,0,0,1775
"48247",1,"10",71,0,2013,2,"","Jim Hogg County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,253,252,255,7057926,0,0,2143
"48247",1,"10",71,0,2013,3,"","Jim Hogg County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,259,261,255,6848486,0,0,2039
"48247",1,"102",72,0,2013,1,"","Jim Hogg County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,266,266,266,6137295,0,0,1775
"48247",1,"102",72,0,2013,2,"","Jim Hogg County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,253,252,255,7057926,0,0,2143
"48247",1,"102",72,0,2013,3,"","Jim Hogg County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,259,261,255,6848486,0,0,2039
"48247",1,"1021",73,0,2013,1,"","Jim Hogg County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,5,5,64789,0,0,1068
"48247",1,"1021",73,0,2013,2,"","Jim Hogg County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,56895,0,0,875
"48247",1,"1021",73,0,2013,3,"","Jim Hogg County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,65737,0,0,1011
"48247",1,"1023",73,0,2013,1,"","Jim Hogg County, Texas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,46450,0,0,1191
"48247",1,"1023",73,0,2013,2,"","Jim Hogg County, Texas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,54568,0,0,1399
