"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"51027",0,"10",70,0,2013,1,"","Buchanan County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",579,7767,7706,7741,88860334,37087772,1217042,883
"51027",0,"10",70,0,2013,2,"","Buchanan County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",576,7688,7686,7739,87694853,8080794,220759,876
"51027",0,"10",70,0,2013,3,"","Buchanan County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",582,7703,7557,7499,83155776,4692758,130119,843
"51027",1,"10",71,0,2013,1,"","Buchanan County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,66,63,65,908036,0,0,1080
"51027",1,"10",71,0,2013,2,"","Buchanan County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,61,65,67,829051,0,0,991
"51027",1,"10",71,0,2013,3,"","Buchanan County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,64,65,64,926454,0,0,1108
"51027",1,"102",72,0,2013,1,"","Buchanan County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,66,63,65,908036,0,0,1080
"51027",1,"102",72,0,2013,2,"","Buchanan County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,61,65,67,829051,0,0,991
"51027",1,"102",72,0,2013,3,"","Buchanan County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,64,65,64,926454,0,0,1108
"51027",1,"1021",73,0,2013,1,"","Buchanan County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,34,33,37,388276,0,0,862
"51027",1,"1021",73,0,2013,2,"","Buchanan County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,33,37,38,296006,0,0,632
"51027",1,"1021",73,0,2013,3,"","Buchanan County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,34,37,37,350028,0,0,748
"51027",1,"1028",73,0,2013,1,"","Buchanan County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,32,30,28,519760,0,0,1333
"51027",1,"1028",73,0,2013,2,"","Buchanan County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,28,28,29,533045,0,0,1447
"51027",1,"1028",73,0,2013,3,"","Buchanan County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,30,28,27,576426,0,0,1565
"51027",1,"48-49",74,0,2013,1,"","Buchanan County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,34,33,37,388276,0,0,862
"51027",1,"48-49",74,0,2013,2,"","Buchanan County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,33,37,38,296006,0,0,632
"51027",1,"48-49",74,0,2013,3,"","Buchanan County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,34,37,37,350028,0,0,748
"51027",1,"491",75,0,2013,1,"","Buchanan County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,34,33,37,388276,0,0,862
"51027",1,"491",75,0,2013,2,"","Buchanan County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,33,37,38,296006,0,0,632
"51027",1,"491",75,0,2013,3,"","Buchanan County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,34,37,37,350028,0,0,748
"51027",1,"4911",76,0,2013,1,"","Buchanan County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,34,33,37,388276,0,0,862
"51027",1,"4911",76,0,2013,2,"","Buchanan County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,33,37,38,296006,0,0,632
"51027",1,"4911",76,0,2013,3,"","Buchanan County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,34,37,37,350028,0,0,748
"51027",1,"49111",77,0,2013,1,"","Buchanan County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,34,33,37,388276,0,0,862
"51027",1,"49111",77,0,2013,2,"","Buchanan County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,33,37,38,296006,0,0,632
"51027",1,"49111",77,0,2013,3,"","Buchanan County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,34,37,37,350028,0,0,748
"51027",1,"491110",78,0,2013,1,"","Buchanan County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,34,33,37,388276,0,0,862
"51027",1,"491110",78,0,2013,2,"","Buchanan County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,33,37,38,296006,0,0,632
"51027",1,"491110",78,0,2013,3,"","Buchanan County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,34,37,37,350028,0,0,748
"51027",1,"92",74,0,2013,1,"","Buchanan County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,32,30,28,519760,0,0,1333
"51027",1,"92",74,0,2013,2,"","Buchanan County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,28,28,29,533045,0,0,1447
"51027",1,"92",74,0,2013,3,"","Buchanan County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,30,28,27,576426,0,0,1565
"51027",1,"926",75,0,2013,1,"","Buchanan County, Virginia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,32,30,28,519760,0,0,1333
"51027",1,"926",75,0,2013,2,"","Buchanan County, Virginia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,28,28,29,533045,0,0,1447
"51027",1,"926",75,0,2013,3,"","Buchanan County, Virginia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,30,28,27,576426,0,0,1565
"51027",1,"9261",76,0,2013,1,"","Buchanan County, Virginia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,32,30,28,519760,0,0,1333
"51027",1,"9261",76,0,2013,2,"","Buchanan County, Virginia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,28,28,29,533045,0,0,1447
"51027",1,"9261",76,0,2013,3,"","Buchanan County, Virginia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,30,28,27,576426,0,0,1565
"51027",1,"92615",77,0,2013,1,"","Buchanan County, Virginia","Federal Government","Licensing and regulating commercial sectors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,32,30,28,519760,0,0,1333
"51027",1,"92615",77,0,2013,2,"","Buchanan County, Virginia","Federal Government","Licensing and regulating commercial sectors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,28,28,29,533045,0,0,1447
"51027",1,"92615",77,0,2013,3,"","Buchanan County, Virginia","Federal Government","Licensing and regulating commercial sectors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,30,28,27,576426,0,0,1565
"51027",1,"926150",78,0,2013,1,"","Buchanan County, Virginia","Federal Government","Licensing and regulating commercial sectors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,32,30,28,519760,0,0,1333
"51027",1,"926150",78,0,2013,2,"","Buchanan County, Virginia","Federal Government","Licensing and regulating commercial sectors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,28,28,29,533045,0,0,1447
