"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"53073",0,"10",70,0,2013,1,"","Whatcom County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",7082,79098,79941,80862,834623144,555746267,10745377,803
"53073",0,"10",70,0,2013,2,"","Whatcom County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",7160,81020,81974,83394,817715270,467240030,9599718,766
"53073",0,"10",70,0,2013,3,"","Whatcom County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",7224,85127,83994,82675,880087129,391933493,8024168,807
"53073",1,"10",71,0,2013,1,"","Whatcom County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",44,1372,1364,1362,28432915,0,0,1601
"53073",1,"10",71,0,2013,2,"","Whatcom County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",43,1348,1364,1373,30863920,0,0,1744
"53073",1,"10",71,0,2013,3,"","Whatcom County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",43,1387,1379,1370,34040313,0,0,1899
"53073",1,"102",72,0,2013,1,"","Whatcom County, Washington","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",44,1372,1364,1362,28432915,0,0,1601
"53073",1,"102",72,0,2013,2,"","Whatcom County, Washington","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",43,1348,1364,1373,30863920,0,0,1744
"53073",1,"102",72,0,2013,3,"","Whatcom County, Washington","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",43,1387,1379,1370,34040313,0,0,1899
"53073",1,"1021",73,0,2013,1,"","Whatcom County, Washington","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,266,271,273,4237405,0,0,1207
"53073",1,"1021",73,0,2013,2,"","Whatcom County, Washington","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,271,274,274,3475706,0,0,979
"53073",1,"1021",73,0,2013,3,"","Whatcom County, Washington","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,277,271,273,4072760,0,0,1145
"53073",1,"1024",73,0,2013,1,"","Whatcom County, Washington","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,90274,0,0,1736
"53073",1,"1024",73,0,2013,2,"","Whatcom County, Washington","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,104961,0,0,2018
"53073",1,"1024",73,0,2013,3,"","Whatcom County, Washington","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,105952,0,0,2038
"53073",1,"1026",73,0,2013,1,"","Whatcom County, Washington","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,2,1,1,8538,0,0,493
"53073",1,"1026",73,0,2013,2,"","Whatcom County, Washington","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,0,5,15,77326,0,0,892
"53073",1,"1026",73,0,2013,3,"","Whatcom County, Washington","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,17,16,15,150555,0,0,724
"53073",1,"1028",73,0,2013,1,"","Whatcom County, Washington","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",25,1100,1088,1084,24096698,0,0,1700
"53073",1,"1028",73,0,2013,2,"","Whatcom County, Washington","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",25,1073,1081,1080,27205927,0,0,1941
"53073",1,"1028",73,0,2013,3,"","Whatcom County, Washington","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",25,1089,1088,1078,29711046,0,0,2106
"53073",1,"22",74,0,2013,1,"","Whatcom County, Washington","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,6,6,135150,0,0,1835
"53073",1,"22",74,0,2013,2,"","Whatcom County, Washington","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,156782,0,0,2010
"53073",1,"22",74,0,2013,3,"","Whatcom County, Washington","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,177384,0,0,2274
