"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"54005",0,"10",70,0,2013,1,"","Boone County, West Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",437,7228,7236,7308,93176651,49449612,1234746,988
"54005",0,"10",70,0,2013,2,"","Boone County, West Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",445,7302,7407,7515,100113518,11488205,290715,1040
"54005",0,"10",70,0,2013,3,"","Boone County, West Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",442,7279,7226,7138,82978183,6765249,169966,885
"54005",1,"10",71,0,2013,1,"","Boone County, West Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,73,74,74,865140,0,0,903
"54005",1,"10",71,0,2013,2,"","Boone County, West Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,70,73,70,814046,0,0,882
"54005",1,"10",71,0,2013,3,"","Boone County, West Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,70,71,70,831119,0,0,909
"54005",1,"102",72,0,2013,1,"","Boone County, West Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,73,74,74,865140,0,0,903
"54005",1,"102",72,0,2013,2,"","Boone County, West Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,70,73,70,814046,0,0,882
"54005",1,"102",72,0,2013,3,"","Boone County, West Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,70,71,70,831119,0,0,909
"54005",1,"1021",73,0,2013,1,"","Boone County, West Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",24,48,50,51,453599,0,0,703
"54005",1,"1021",73,0,2013,2,"","Boone County, West Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",24,48,51,48,375094,0,0,589
"54005",1,"1021",73,0,2013,3,"","Boone County, West Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",24,49,50,49,394392,0,0,615
