"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"54095",0,"10",70,0,2013,1,"","Tyler County, West Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",155,2322,2355,2337,23766413,12609954,363194,782
"54095",0,"10",70,0,2013,2,"","Tyler County, West Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",155,2346,2339,2391,23447800,4799442,147527,765
"54095",0,"10",70,0,2013,3,"","Tyler County, West Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",157,2277,2315,2403,23702757,2940574,90383,782
"54095",1,"10",71,0,2013,1,"","Tyler County, West Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,16,16,14,172775,0,0,867
"54095",1,"10",71,0,2013,2,"","Tyler County, West Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,17,15,15,149421,0,0,734
"54095",1,"10",71,0,2013,3,"","Tyler County, West Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,16,17,18,198115,0,0,896
"54095",1,"102",72,0,2013,1,"","Tyler County, West Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,16,16,14,172775,0,0,867
"54095",1,"102",72,0,2013,2,"","Tyler County, West Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,17,15,15,149421,0,0,734
"54095",1,"102",72,0,2013,3,"","Tyler County, West Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,16,17,18,198115,0,0,896
"54095",1,"1021",73,0,2013,1,"","Tyler County, West Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,14,14,12,149956,0,0,865
"54095",1,"1021",73,0,2013,2,"","Tyler County, West Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,15,13,13,122799,0,0,691
"54095",1,"1021",73,0,2013,3,"","Tyler County, West Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,14,15,16,171269,0,0,878
"54095",1,"1028",73,0,2013,1,"","Tyler County, West Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,22819,0,0,878
"54095",1,"1028",73,0,2013,2,"","Tyler County, West Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,26622,0,0,1024
"54095",1,"1028",73,0,2013,3,"","Tyler County, West Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,26846,0,0,1033
"54095",1,"48-49",74,0,2013,1,"","Tyler County, West Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,14,14,12,149956,0,0,865
"54095",1,"48-49",74,0,2013,2,"","Tyler County, West Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,15,13,13,122799,0,0,691
"54095",1,"48-49",74,0,2013,3,"","Tyler County, West Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,14,15,16,171269,0,0,878
"54095",1,"491",75,0,2013,1,"","Tyler County, West Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,14,14,12,149956,0,0,865
