"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"72057",0,"10",70,0,2013,1,"","Guayama Municipio, Puerto Rico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",524,11242,11160,11162,82205176,30113398,846004,565
"72057",0,"10",70,0,2013,2,"","Guayama Municipio, Puerto Rico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",533,11127,10982,10726,79315663,12087345,387514,557
"72057",0,"10",70,0,2013,3,"","Guayama Municipio, Puerto Rico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",533,10507,10628,10718,72803336,4531087,161019,527
"72057",1,"10",71,0,2013,1,"","Guayama Municipio, Puerto Rico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,37,37,37,702767,0,0,1461
"72057",1,"10",71,0,2013,2,"","Guayama Municipio, Puerto Rico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,35,36,34,556373,0,0,1223
"72057",1,"10",71,0,2013,3,"","Guayama Municipio, Puerto Rico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,36,35,35,657170,0,0,1431
"72057",1,"102",72,0,2013,1,"","Guayama Municipio, Puerto Rico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,37,37,37,702767,0,0,1461
"72057",1,"102",72,0,2013,2,"","Guayama Municipio, Puerto Rico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,35,36,34,556373,0,0,1223
"72057",1,"102",72,0,2013,3,"","Guayama Municipio, Puerto Rico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,36,35,35,657170,0,0,1431
"72057",1,"1021",73,0,2013,1,"","Guayama Municipio, Puerto Rico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,21,22,22,376030,0,0,1335
"72057",1,"1021",73,0,2013,2,"","Guayama Municipio, Puerto Rico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,20,21,20,303993,0,0,1150
"72057",1,"1021",73,0,2013,3,"","Guayama Municipio, Puerto Rico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,21,20,20,358805,0,0,1357
"72057",1,"1028",73,0,2013,1,"","Guayama Municipio, Puerto Rico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,16,15,15,326737,0,0,1639
"72057",1,"1028",73,0,2013,2,"","Guayama Municipio, Puerto Rico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,15,15,14,252380,0,0,1324
"72057",1,"1028",73,0,2013,3,"","Guayama Municipio, Puerto Rico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,15,15,15,298365,0,0,1530
"72057",1,"48-49",74,0,2013,1,"","Guayama Municipio, Puerto Rico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,22,22,376030,0,0,1335
"72057",1,"48-49",74,0,2013,2,"","Guayama Municipio, Puerto Rico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,20,21,20,303993,0,0,1150
"72057",1,"48-49",74,0,2013,3,"","Guayama Municipio, Puerto Rico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,20,20,358805,0,0,1357
"72057",1,"491",75,0,2013,1,"","Guayama Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,22,22,376030,0,0,1335
