"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C1202",0,"10",40,0,2013,1,"","Athens-Clarke County, GA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4761,76759,78132,77700,742654070,282079321,6236323,737
"C1202",0,"10",40,0,2013,2,"","Athens-Clarke County, GA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4813,78857,78461,77206,730373108,107643944,2153124,719
"C1202",0,"10",40,0,2013,3,"","Athens-Clarke County, GA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4862,77587,78811,79929,737518565,66222498,1350522,720
"C1202",1,"10",41,0,2013,1,"","Athens-Clarke County, GA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",62,1449,1320,1283,21845287,0,0,1244
"C1202",1,"10",41,0,2013,2,"","Athens-Clarke County, GA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",62,1268,1262,1243,21421526,0,0,1310
"C1202",1,"10",41,0,2013,3,"","Athens-Clarke County, GA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",62,1249,1242,1261,21421336,0,0,1318
"C1202",2,"10",41,0,2013,1,"","Athens-Clarke County, GA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",73,13474,14155,14134,153767303,377002,6255,850
"C1202",2,"10",41,0,2013,2,"","Athens-Clarke County, GA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",73,14230,13998,13820,150310068,46792,705,825
"C1202",2,"10",41,0,2013,3,"","Athens-Clarke County, GA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",74,13991,13849,14392,161111741,16880,247,880
"C1202",3,"10",41,0,2013,1,"","Athens-Clarke County, GA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",79,7812,7946,7949,64114426,4400155,28294,624
"C1202",3,"10",41,0,2013,2,"","Athens-Clarke County, GA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",79,8023,8106,7547,66250677,1530440,10753,646
"C1202",3,"10",41,0,2013,3,"","Athens-Clarke County, GA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",79,7505,7840,7871,63793385,647668,4962,634
"C1202",5,"10",41,0,2013,1,"","Athens-Clarke County, GA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4547,54024,54711,54334,502927054,277302164,6201774,712
"C1202",5,"10",41,0,2013,2,"","Athens-Clarke County, GA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4599,55336,55095,54596,492390837,106066712,2141666,689
