"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C1622",0,"10",40,0,2013,1,"","Casper, WY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3340,40836,40772,41168,480157150,348844229,10498288,903
"C1622",0,"10",40,0,2013,2,"","Casper, WY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3339,41181,42107,42223,485081453,214552197,6497939,892
"C1622",0,"10",40,0,2013,3,"","Casper, WY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3363,41991,41891,42036,495036929,134871765,4106012,907
"C1622",1,"10",41,0,2013,1,"","Casper, WY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",40,650,650,643,10798239,0,0,1283
"C1622",1,"10",41,0,2013,2,"","Casper, WY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",40,661,657,665,11350308,0,0,1321
"C1622",1,"10",41,0,2013,3,"","Casper, WY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",42,663,660,658,11119868,0,0,1295
"C1622",2,"10",41,0,2013,1,"","Casper, WY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",33,715,711,714,9606700,0,0,1036
"C1622",2,"10",41,0,2013,2,"","Casper, WY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",34,719,723,733,9705508,0,0,1030
"C1622",2,"10",41,0,2013,3,"","Casper, WY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",34,735,728,726,9839237,0,0,1037
"C1622",3,"10",41,0,2013,1,"","Casper, WY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",27,4280,4362,4448,48125989,5472436,116498,848
"C1622",3,"10",41,0,2013,2,"","Casper, WY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",27,4365,4537,4457,50269935,4072972,86739,868
"C1622",3,"10",41,0,2013,3,"","Casper, WY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",27,3973,3761,4310,45603019,1828479,40197,874
"C1622",5,"10",41,0,2013,1,"","Casper, WY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3240,35191,35049,35363,411626222,343371793,10381790,900
"C1622",5,"10",41,0,2013,2,"","Casper, WY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3238,35436,36190,36368,413755702,210479225,6411200,884
"C1622",5,"10",41,0,2013,3,"","Casper, WY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3260,36620,36742,36342,428474805,133043286,4065815,901
"C1622",5,"101",42,0,2013,1,"","Casper, WY MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",719,8861,8681,8758,151541588,126535863,4686805,1330
"C1622",5,"101",42,0,2013,2,"","Casper, WY MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",723,8820,9062,9192,151463811,63709137,2594469,1291
"C1622",5,"101",42,0,2013,3,"","Casper, WY MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",729,9294,9266,9186,157766022,34804399,1515430,1312
"C1622",5,"1011",43,0,2013,1,"","Casper, WY MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",219,4152,4054,4091,91232257,72543550,2273748,1712
"C1622",5,"1011",43,0,2013,2,"","Casper, WY MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",220,4158,4222,4252,89640084,25775450,815077,1638
"C1622",5,"1011",43,0,2013,3,"","Casper, WY MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",220,4234,4207,4234,91277868,13619465,463838,1662
"C1622",5,"1012",43,0,2013,1,"","Casper, WY MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",392,2892,2862,2921,36282091,33546069,1654998,965
"C1622",5,"1012",43,0,2013,2,"","Casper, WY MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",394,2906,3114,3222,38388562,24581219,1290276,959
"C1622",5,"1012",43,0,2013,3,"","Casper, WY MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",400,3336,3333,3251,43918266,15500656,850541,1022
"C1622",5,"1013",43,0,2013,1,"","Casper, WY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",108,1817,1765,1746,24027240,20446244,758059,1041
"C1622",5,"1013",43,0,2013,2,"","Casper, WY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",109,1756,1726,1718,23435165,13352468,489116,1040
"C1622",5,"1013",43,0,2013,3,"","Casper, WY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",109,1724,1726,1701,22569888,5684278,201051,1011
"C1622",5,"102",42,0,2013,1,"","Casper, WY MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2521,26330,26368,26605,260084634,216835930,5694985,757
"C1622",5,"102",42,0,2013,2,"","Casper, WY MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2515,26616,27128,27176,262291891,146770088,3816731,748
"C1622",5,"102",42,0,2013,3,"","Casper, WY MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2531,27326,27476,27156,270708783,98238887,2550385,762
"C1622",5,"1021",43,0,2013,1,"","Casper, WY MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",750,8809,8818,8861,92647394,84615382,2174928,807
"C1622",5,"1021",43,0,2013,2,"","Casper, WY MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",735,8821,8972,9035,91520891,54832644,1433565,787
"C1622",5,"1021",43,0,2013,3,"","Casper, WY MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",748,9043,9085,9060,94863828,33404989,872723,805
"C1622",5,"1022",43,0,2013,1,"","Casper, WY MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",27,454,447,451,4448449,4260183,100612,759
