"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C2130",0,"10",40,0,2013,1,"","Elmira, NY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",1972,37213,36410,36439,391649090,149327038,7396100,821
"C2130",0,"10",40,0,2013,2,"","Elmira, NY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",1982,36505,37033,37371,388117685,40932491,1782592,808
"C2130",0,"10",40,0,2013,3,"","Elmira, NY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",1989,36345,36337,36690,375332665,27163252,1265362,792
"C2130",1,"10",41,0,2013,1,"","Elmira, NY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",25,222,221,214,3359844,0,0,1180
"C2130",1,"10",41,0,2013,2,"","Elmira, NY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",25,216,209,216,3107727,0,0,1119
"C2130",1,"10",41,0,2013,3,"","Elmira, NY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",25,212,211,211,3258453,0,0,1186
"C2130",2,"10",41,0,2013,1,"","Elmira, NY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12,1722,1714,1720,27270686,0,0,1221
"C2130",2,"10",41,0,2013,2,"","Elmira, NY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12,1712,1710,1709,33354185,0,0,1500
"C2130",2,"10",41,0,2013,3,"","Elmira, NY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12,1707,1704,1701,28263952,0,0,1276
"C2130",3,"10",41,0,2013,1,"","Elmira, NY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",69,4536,4520,4534,48187862,347590,6946,818
"C2130",3,"10",41,0,2013,2,"","Elmira, NY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",69,4529,4640,4702,55589882,127841,2467,925
"C2130",3,"10",41,0,2013,3,"","Elmira, NY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",69,3745,3637,4239,39815788,69344,1186,791
"C2130",5,"10",41,0,2013,1,"","Elmira, NY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1866,30733,29955,29971,312830698,148979448,7389154,796
"C2130",5,"10",41,0,2013,2,"","Elmira, NY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1876,30048,30474,30744,296065891,40804650,1780125,749
"C2130",5,"10",41,0,2013,3,"","Elmira, NY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1883,30681,30785,30539,303994472,27093908,1264176,762
"C2130",5,"101",42,0,2013,1,"","Elmira, NY MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",258,7241,6779,6719,101178476,57518162,4042217,1126
"C2130",5,"101",42,0,2013,2,"","Elmira, NY MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",260,6683,6829,6957,94505393,7566385,574257,1065
"C2130",5,"101",42,0,2013,3,"","Elmira, NY MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",261,7069,7108,7029,97009046,6258089,504015,1056
"C2130",5,"1011",43,0,2013,1,"","Elmira, NY MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",12,440,433,445,9211923,3652772,247221,1613
"C2130",5,"1011",43,0,2013,2,"","Elmira, NY MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",12,407,408,412,10116899,246165,15187,1903
"C2130",5,"1011",43,0,2013,3,"","Elmira, NY MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",12,389,379,372,7543826,165792,10197,1527
"C2130",5,"1012",43,0,2013,1,"","Elmira, NY MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",154,1179,1142,1179,13213997,8646973,734041,871
"C2130",5,"1012",43,0,2013,2,"","Elmira, NY MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",157,1209,1362,1499,15264971,3605368,312534,866
"C2130",5,"1012",43,0,2013,3,"","Elmira, NY MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",159,1601,1634,1556,19818156,3675248,320460,955
"C2130",5,"1013",43,0,2013,1,"","Elmira, NY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",92,5622,5204,5095,78752556,45218417,3060955,1141
"C2130",5,"1013",43,0,2013,2,"","Elmira, NY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",91,5067,5059,5046,69123523,3714852,246536,1051
"C2130",5,"1013",43,0,2013,3,"","Elmira, NY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",90,5079,5095,5101,69647064,2417049,173358,1052
"C2130",5,"102",42,0,2013,1,"","Elmira, NY MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1608,23492,23176,23252,211652222,91461286,3346937,699
