"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C2430",0,"10",40,0,2013,1,"","Grand Junction, CO MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4710,56332,56684,57364,546364907,289504039,8581457,740
"C2430",0,"10",40,0,2013,2,"","Grand Junction, CO MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4683,58214,58928,58782,566958224,127243425,3706321,744
"C2430",0,"10",40,0,2013,3,"","Grand Junction, CO MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4706,58412,58847,59391,582209419,81000368,2362010,761
"C2430",1,"10",41,0,2013,1,"","Grand Junction, CO MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",44,1475,1448,1445,25110357,0,0,1327
"C2430",1,"10",41,0,2013,2,"","Grand Junction, CO MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",44,1482,1454,1489,23159406,0,0,1208
"C2430",1,"10",41,0,2013,3,"","Grand Junction, CO MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",44,1491,1496,1497,25602619,0,0,1318
"C2430",2,"10",41,0,2013,1,"","Grand Junction, CO MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",25,1750,1901,1909,21081992,0,0,875
"C2430",2,"10",41,0,2013,2,"","Grand Junction, CO MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",25,1925,1944,1739,19054647,0,0,784
"C2430",2,"10",41,0,2013,3,"","Grand Junction, CO MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",24,1601,1880,1979,25032307,0,0,1058
"C2430",3,"10",41,0,2013,1,"","Grand Junction, CO MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",40,5598,5654,5712,55398095,5013622,23989,754
"C2430",3,"10",41,0,2013,2,"","Grand Junction, CO MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,5694,5929,5912,57890434,5270962,21480,762
"C2430",3,"10",41,0,2013,3,"","Grand Junction, CO MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,5404,5383,5647,55845131,4991919,19134,784
"C2430",5,"10",41,0,2013,1,"","Grand Junction, CO MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4601,47509,47681,48298,444774463,284490417,8557468,715
"C2430",5,"10",41,0,2013,2,"","Grand Junction, CO MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4573,49113,49601,49642,466853737,121972463,3684841,726
"C2430",5,"10",41,0,2013,3,"","Grand Junction, CO MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4597,49916,50088,50268,475729362,76008449,2342876,731
"C2430",5,"101",42,0,2013,1,"","Grand Junction, CO MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",971,8464,8463,8751,112969587,75036630,3486302,1015
"C2430",5,"101",42,0,2013,2,"","Grand Junction, CO MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",975,8933,9271,9422,119080766,26253355,1348798,995
"C2430",5,"101",42,0,2013,3,"","Grand Junction, CO MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",978,9530,9791,9727,126876577,17829827,890181,1008
"C2430",5,"1011",43,0,2013,1,"","Grand Junction, CO MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",273,3017,2981,3042,52796357,29025775,1095726,1348
"C2430",5,"1011",43,0,2013,2,"","Grand Junction, CO MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",267,3021,3100,3138,51562659,6757756,312325,1285
"C2430",5,"1011",43,0,2013,3,"","Grand Junction, CO MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",268,3129,3236,3201,53883093,5443677,239165,1300
"C2430",5,"1012",43,0,2013,1,"","Grand Junction, CO MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",527,2896,2927,3102,33244389,25755749,1648405,860
"C2430",5,"1012",43,0,2013,2,"","Grand Junction, CO MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",535,3246,3432,3553,39901777,11973538,760178,900
"C2430",5,"1012",43,0,2013,3,"","Grand Junction, CO MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",532,3607,3721,3755,44777678,8886999,520430,932
"C2430",5,"1013",43,0,2013,1,"","Grand Junction, CO MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",171,2551,2555,2607,26928841,20255106,742171,806
"C2430",5,"1013",43,0,2013,2,"","Grand Junction, CO MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",173,2666,2739,2731,27616330,7522061,276295,783
"C2430",5,"1013",43,0,2013,3,"","Grand Junction, CO MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",178,2794,2834,2771,28215806,3499151,130586,775
"C2430",5,"102",42,0,2013,1,"","Grand Junction, CO MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3630,39045,39218,39547,331804876,209453787,5071166,650
"C2430",5,"102",42,0,2013,2,"","Grand Junction, CO MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3598,40180,40330,40220,347772971,95719108,2336043,665
"C2430",5,"102",42,0,2013,3,"","Grand Junction, CO MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3619,40386,40297,40541,348852785,58178622,1452695,664
