"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C2658",0,"10",40,0,2013,1,"","Huntington-Ashland, WV-KY-OH MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",8389,127647,127929,129194,1269999701,625555029,19185027,762
"C2658",0,"10",40,0,2013,2,"","Huntington-Ashland, WV-KY-OH MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",8380,129762,130753,130388,1331043389,253501967,7383566,786
"C2658",0,"10",40,0,2013,3,"","Huntington-Ashland, WV-KY-OH MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",8405,125894,127988,130370,1238905472,144836246,4282927,744
"C2658",1,"10",41,0,2013,1,"","Huntington-Ashland, WV-KY-OH MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",112,3159,3160,3142,52869759,0,0,1290
"C2658",1,"10",41,0,2013,2,"","Huntington-Ashland, WV-KY-OH MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",113,3135,3127,3105,49749053,0,0,1226
"C2658",1,"10",41,0,2013,3,"","Huntington-Ashland, WV-KY-OH MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",113,3108,3107,3134,53429116,0,0,1319
"C2658",2,"10",41,0,2013,1,"","Huntington-Ashland, WV-KY-OH MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",140,5214,5259,5215,49110722,164170,4940,722
"C2658",2,"10",41,0,2013,2,"","Huntington-Ashland, WV-KY-OH MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",139,5301,5299,4996,49218002,42848,1208,728
"C2658",2,"10",41,0,2013,3,"","Huntington-Ashland, WV-KY-OH MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",139,4955,4953,5253,50218689,11209,204,764
"C2658",3,"10",41,0,2013,1,"","Huntington-Ashland, WV-KY-OH MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",301,13895,13979,14018,122114958,9129385,168804,673
"C2658",3,"10",41,0,2013,2,"","Huntington-Ashland, WV-KY-OH MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",301,13931,14009,13537,140445187,4061611,76011,781
"C2658",3,"10",41,0,2013,3,"","Huntington-Ashland, WV-KY-OH MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",300,9781,11431,13779,94548174,1292054,25594,624
