"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C2762",0,"10",40,0,2013,1,"","Jefferson City, MO MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3868,72049,71996,72428,659121139,299734061,6243269,703
"C2762",0,"10",40,0,2013,2,"","Jefferson City, MO MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3864,73049,73412,72991,673736615,144696298,3343340,708
"C2762",0,"10",40,0,2013,3,"","Jefferson City, MO MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3884,71289,71937,73052,663546008,74451808,1658000,708
"C2762",1,"10",41,0,2013,1,"","Jefferson City, MO MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",69,831,825,814,11784997,0,0,1101
"C2762",1,"10",41,0,2013,2,"","Jefferson City, MO MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",70,813,796,797,12060551,0,0,1157
"C2762",1,"10",41,0,2013,3,"","Jefferson City, MO MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",70,817,797,801,11648404,0,0,1113
"C2762",2,"10",41,0,2013,1,"N","Jefferson City, MO MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",99,0,0,0,0,0,0,0
"C2762",2,"10",41,0,2013,2,"N","Jefferson City, MO MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",100,0,0,0,0,0,0,0
"C2762",2,"10",41,0,2013,3,"N","Jefferson City, MO MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",100,0,0,0,0,0,0,0
"C2762",3,"10",41,0,2013,1,"N","Jefferson City, MO MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",167,0,0,0,0,0,0,0
"C2762",3,"10",41,0,2013,2,"N","Jefferson City, MO MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",168,0,0,0,0,0,0,0
"C2762",3,"10",41,0,2013,3,"N","Jefferson City, MO MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",168,0,0,0,0,0,0,0
"C2762",5,"10",41,0,2013,1,"","Jefferson City, MO MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3533,46745,46608,47111,424241578,296157630,6199705,697
"C2762",5,"10",41,0,2013,2,"","Jefferson City, MO MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3526,47633,47896,47514,428219670,142563541,3317318,691
"C2762",5,"10",41,0,2013,3,"","Jefferson City, MO MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3546,47192,47838,47869,433877643,73690545,1648527,701
"C2762",5,"101",42,0,2013,1,"","Jefferson City, MO MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",652,9115,9133,9407,93723053,78390945,2658407,782
"C2762",5,"101",42,0,2013,2,"","Jefferson City, MO MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",652,9692,9718,9587,101685926,37047765,1377527,809
"C2762",5,"101",42,0,2013,3,"","Jefferson City, MO MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",655,9618,9584,9380,100134165,13596054,540774,808
"C2762",5,"1011",43,0,2013,1,"","Jefferson City, MO MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",48,575,582,613,4380177,4133227,97252,571
"C2762",5,"1011",43,0,2013,2,"","Jefferson City, MO MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",48,601,589,550,4839711,2394363,62778,642
"C2762",5,"1011",43,0,2013,3,"","Jefferson City, MO MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",48,564,565,556,4685900,747402,15170,642
"C2762",5,"1012",43,0,2013,1,"","Jefferson City, MO MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",451,2978,2985,3180,31517825,26505871,1316406,796
"C2762",5,"1012",43,0,2013,2,"","Jefferson City, MO MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",450,3450,3465,3351,40168173,15580171,837489,903
"C2762",5,"1012",43,0,2013,3,"","Jefferson City, MO MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",452,3391,3407,3263,37505202,7014085,374358,860
"C2762",5,"1013",43,0,2013,1,"","Jefferson City, MO MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",153,5562,5566,5614,57825051,47751847,1244749,797
"C2762",5,"1013",43,0,2013,2,"","Jefferson City, MO MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",154,5641,5664,5686,56678042,19073231,477260,770
"C2762",5,"1013",43,0,2013,3,"","Jefferson City, MO MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",155,5663,5612,5561,57943063,5834567,151246,794
"C2762",5,"102",42,0,2013,1,"","Jefferson City, MO MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2881,37630,37475,37704,330518525,217766685,3541298,676
"C2762",5,"102",42,0,2013,2,"","Jefferson City, MO MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2874,37941,38178,37927,326533744,105515776,1939791,661
"C2762",5,"102",42,0,2013,3,"","Jefferson City, MO MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2891,37574,38254,38489,333743478,60094491,1107753,674
